k3,l2,modulus,parent_class_mod9,parent_type_count,retarded_deterministic_types,advanced_absent_types,advanced_deterministic_types,advanced_three_image_types,advanced_other_image_types,fixed_modulus_closure
2,0,9,2,1,1,0,0,1,0,no
2,0,9,5,1,1,1,0,0,0,yes
2,0,9,8,1,1,0,0,1,0,no
2,1,18,2,2,2,0,0,2,0,no
2,1,18,5,2,2,2,0,0,0,yes
2,1,18,8,2,2,0,0,2,0,no
2,2,36,2,4,4,0,0,4,0,no
2,2,36,5,4,4,4,0,0,0,yes
2,2,36,8,4,4,0,0,4,0,no
2,3,72,2,8,8,0,0,8,0,no
2,3,72,5,8,8,8,0,0,0,yes
2,3,72,8,8,8,0,0,8,0,no
2,4,144,2,16,16,0,0,16,0,no
2,4,144,5,16,16,16,0,0,0,yes
2,4,144,8,16,16,0,0,16,0,no
2,5,288,2,32,32,0,0,32,0,no
2,5,288,5,32,32,32,0,0,0,yes
2,5,288,8,32,32,0,0,32,0,no
3,0,27,2,3,3,0,0,3,0,no
3,0,27,5,3,3,3,0,0,0,yes
3,0,27,8,3,3,0,0,3,0,no
3,1,54,2,6,6,0,0,6,0,no
3,1,54,5,6,6,6,0,0,0,yes
3,1,54,8,6,6,0,0,6,0,no
3,2,108,2,12,12,0,0,12,0,no
3,2,108,5,12,12,12,0,0,0,yes
3,2,108,8,12,12,0,0,12,0,no
3,3,216,2,24,24,0,0,24,0,no
3,3,216,5,24,24,24,0,0,0,yes
3,3,216,8,24,24,0,0,24,0,no
3,4,432,2,48,48,0,0,48,0,no
3,4,432,5,48,48,48,0,0,0,yes
3,4,432,8,48,48,0,0,48,0,no
3,5,864,2,96,96,0,0,96,0,no
3,5,864,5,96,96,96,0,0,0,yes
3,5,864,8,96,96,0,0,96,0,no
4,0,81,2,9,9,0,0,9,0,no
4,0,81,5,9,9,9,0,0,0,yes
4,0,81,8,9,9,0,0,9,0,no
4,1,162,2,18,18,0,0,18,0,no
4,1,162,5,18,18,18,0,0,0,yes
4,1,162,8,18,18,0,0,18,0,no
4,2,324,2,36,36,0,0,36,0,no
4,2,324,5,36,36,36,0,0,0,yes
4,2,324,8,36,36,0,0,36,0,no
4,3,648,2,72,72,0,0,72,0,no
4,3,648,5,72,72,72,0,0,0,yes
4,3,648,8,72,72,0,0,72,0,no
4,4,1296,2,144,144,0,0,144,0,no
4,4,1296,5,144,144,144,0,0,0,yes
4,4,1296,8,144,144,0,0,144,0,no
4,5,2592,2,288,288,0,0,288,0,no
4,5,2592,5,288,288,288,0,0,0,yes
4,5,2592,8,288,288,0,0,288,0,no
5,0,243,2,27,27,0,0,27,0,no
5,0,243,5,27,27,27,0,0,0,yes
5,0,243,8,27,27,0,0,27,0,no
5,1,486,2,54,54,0,0,54,0,no
5,1,486,5,54,54,54,0,0,0,yes
5,1,486,8,54,54,0,0,54,0,no
5,2,972,2,108,108,0,0,108,0,no
5,2,972,5,108,108,108,0,0,0,yes
5,2,972,8,108,108,0,0,108,0,no
5,3,1944,2,216,216,0,0,216,0,no
5,3,1944,5,216,216,216,0,0,0,yes
5,3,1944,8,216,216,0,0,216,0,no
5,4,3888,2,432,432,0,0,432,0,no
5,4,3888,5,432,432,432,0,0,0,yes
5,4,3888,8,432,432,0,0,432,0,no
5,5,7776,2,864,864,0,0,864,0,no
5,5,7776,5,864,864,864,0,0,0,yes
5,5,7776,8,864,864,0,0,864,0,no
6,0,729,2,81,81,0,0,81,0,no
6,0,729,5,81,81,81,0,0,0,yes
6,0,729,8,81,81,0,0,81,0,no
6,1,1458,2,162,162,0,0,162,0,no
6,1,1458,5,162,162,162,0,0,0,yes
6,1,1458,8,162,162,0,0,162,0,no
6,2,2916,2,324,324,0,0,324,0,no
6,2,2916,5,324,324,324,0,0,0,yes
6,2,2916,8,324,324,0,0,324,0,no
6,3,5832,2,648,648,0,0,648,0,no
6,3,5832,5,648,648,648,0,0,0,yes
6,3,5832,8,648,648,0,0,648,0,no
6,4,11664,2,1296,1296,0,0,1296,0,no
6,4,11664,5,1296,1296,1296,0,0,0,yes
6,4,11664,8,1296,1296,0,0,1296,0,no
6,5,23328,2,2592,2592,0,0,2592,0,no
6,5,23328,5,2592,2592,2592,0,0,0,yes
6,5,23328,8,2592,2592,0,0,2592,0,no
7,0,2187,2,243,243,0,0,243,0,no
7,0,2187,5,243,243,243,0,0,0,yes
7,0,2187,8,243,243,0,0,243,0,no
7,1,4374,2,486,486,0,0,486,0,no
7,1,4374,5,486,486,486,0,0,0,yes
7,1,4374,8,486,486,0,0,486,0,no
7,2,8748,2,972,972,0,0,972,0,no
7,2,8748,5,972,972,972,0,0,0,yes
7,2,8748,8,972,972,0,0,972,0,no
7,3,17496,2,1944,1944,0,0,1944,0,no
7,3,17496,5,1944,1944,1944,0,0,0,yes
7,3,17496,8,1944,1944,0,0,1944,0,no
7,4,34992,2,3888,3888,0,0,3888,0,no
7,4,34992,5,3888,3888,3888,0,0,0,yes
7,4,34992,8,3888,3888,0,0,3888,0,no
7,5,69984,2,7776,7776,0,0,7776,0,no
7,5,69984,5,7776,7776,7776,0,0,0,yes
7,5,69984,8,7776,7776,0,0,7776,0,no
