k3,l2,modulus,parent_class_mod9,parent_residue_mod_M,lift_0,lift_1,lift_2,child_0_mod_M,child_1_mod_M,child_2_mod_M,distinct_child_types
2,0,9,2,2,2,11,20,2,5,8,3
2,0,9,8,8,8,17,26,5,2,8,3
2,1,18,2,2,2,20,38,2,8,14,3
2,1,18,8,8,8,26,44,5,17,11,3
2,2,36,2,2,2,38,74,2,14,26,3
2,2,36,8,8,8,44,80,5,29,17,3
2,3,72,2,2,2,74,146,2,26,50,3
2,3,72,8,8,8,80,152,5,53,29,3
2,4,144,2,2,2,146,290,2,50,98,3
2,4,144,8,8,8,152,296,5,101,53,3
2,5,288,2,2,2,290,578,2,98,194,3
2,5,288,8,8,8,296,584,5,197,101,3
3,0,27,2,2,2,29,56,2,11,20,3
3,0,27,8,8,8,35,62,5,23,14,3
3,1,54,2,2,2,56,110,2,20,38,3
3,1,54,8,8,8,62,116,5,41,23,3
3,2,108,2,2,2,110,218,2,38,74,3
3,2,108,8,8,8,116,224,5,77,41,3
3,3,216,2,2,2,218,434,2,74,146,3
3,3,216,8,8,8,224,440,5,149,77,3
3,4,432,2,2,2,434,866,2,146,290,3
3,4,432,8,8,8,440,872,5,293,149,3
3,5,864,2,2,2,866,1730,2,290,578,3
3,5,864,8,8,8,872,1736,5,581,293,3
4,0,81,2,2,2,83,164,2,29,56,3
4,0,81,8,8,8,89,170,5,59,32,3
4,1,162,2,2,2,164,326,2,56,110,3
4,1,162,8,8,8,170,332,5,113,59,3
4,2,324,2,2,2,326,650,2,110,218,3
4,2,324,8,8,8,332,656,5,221,113,3
4,3,648,2,2,2,650,1298,2,218,434,3
4,3,648,8,8,8,656,1304,5,437,221,3
4,4,1296,2,2,2,1298,2594,2,434,866,3
4,4,1296,8,8,8,1304,2600,5,869,437,3
4,5,2592,2,2,2,2594,5186,2,866,1730,3
4,5,2592,8,8,8,2600,5192,5,1733,869,3
5,0,243,2,2,2,245,488,2,83,164,3
5,0,243,8,8,8,251,494,5,167,86,3
5,1,486,2,2,2,488,974,2,164,326,3
5,1,486,8,8,8,494,980,5,329,167,3
5,2,972,2,2,2,974,1946,2,326,650,3
5,2,972,8,8,8,980,1952,5,653,329,3
5,3,1944,2,2,2,1946,3890,2,650,1298,3
5,3,1944,8,8,8,1952,3896,5,1301,653,3
5,4,3888,2,2,2,3890,7778,2,1298,2594,3
5,4,3888,8,8,8,3896,7784,5,2597,1301,3
5,5,7776,2,2,2,7778,15554,2,2594,5186,3
5,5,7776,8,8,8,7784,15560,5,5189,2597,3
6,0,729,2,2,2,731,1460,2,245,488,3
6,0,729,8,8,8,737,1466,5,491,248,3
6,1,1458,2,2,2,1460,2918,2,488,974,3
6,1,1458,8,8,8,1466,2924,5,977,491,3
6,2,2916,2,2,2,2918,5834,2,974,1946,3
6,2,2916,8,8,8,2924,5840,5,1949,977,3
6,3,5832,2,2,2,5834,11666,2,1946,3890,3
6,3,5832,8,8,8,5840,11672,5,3893,1949,3
6,4,11664,2,2,2,11666,23330,2,3890,7778,3
6,4,11664,8,8,8,11672,23336,5,7781,3893,3
6,5,23328,2,2,2,23330,46658,2,7778,15554,3
6,5,23328,8,8,8,23336,46664,5,15557,7781,3
7,0,2187,2,2,2,2189,4376,2,731,1460,3
7,0,2187,8,8,8,2195,4382,5,1463,734,3
7,1,4374,2,2,2,4376,8750,2,1460,2918,3
7,1,4374,8,8,8,4382,8756,5,2921,1463,3
7,2,8748,2,2,2,8750,17498,2,2918,5834,3
7,2,8748,8,8,8,8756,17504,5,5837,2921,3
7,3,17496,2,2,2,17498,34994,2,5834,11666,3
7,3,17496,8,8,8,17504,35000,5,11669,5837,3
7,4,34992,2,2,2,34994,69986,2,11666,23330,3
7,4,34992,8,8,8,35000,69992,5,23333,11669,3
7,5,69984,2,2,2,69986,139970,2,23330,46658,3
7,5,69984,8,8,8,69992,139976,5,46661,23333,3
