a,c,x,qAdv,xAdv,target_count,retarded_count,advanced_full_count,advanced_window_count,e5_numerator,e5_gap,deterministic_atom_gap,advanced_window_gap,closure_percent,partition_ok,pairwise_disjoint_ok,advanced_subset_ok,gap_identity_ok,route_hooks_ok,window_hooks_ok,all_hooks_ok,target_sha256,retarded_sha256,advanced_full_sha256,advanced_window_sha256,advanced_boundary_examples
8,5,1024,64,960,437,47,388,376,424,13,1,12,97.025171625,yes,yes,yes,yes,yes,yes,yes,89c30da30d654a3a77d6616091c7aa949207c026f187a0865567df7fb2e09b85,778861fb2a8966721c6552537694f7a271a3789815cae597cde93cf81baee385,645d941593017fc83d41765160c892c6a96950815d1d3d13ed9a8f5bbab5765b,0ee4005bb6afbd2212b4af346e3407aa3a8d5f3604bd9bf75ffb4952536bcedf,435 653 657 870 964 976 980 984 986 988 994 996
17,11,2176,64,2112,581,42,537,513,556,25,1,24,95.697074010,yes,yes,yes,yes,yes,yes,yes,59751605ec7d32b3fd8f6a743c39387e59b0487b473c17db5d75fe0cb2dc3a0f,3d2d58fcc4b557eebc31e48573ca81dfae7b4c25c6d905429f78588543aab619,aefb3da24b3542ca61297d2a49fcdbdfba3c434e68be66b109a7c8763d6aca0c,841da0b4116b4f59dc36ff5b8047487eb5cd1f940743453b4e2307fdd349f40a,631 747 841 947 963 1121 1262 1421 1429 1445 1494 1682
26,17,3328,64,3264,959,40,917,903,944,15,1,14,98.435870699,yes,yes,yes,yes,yes,yes,yes,fd80ac0995ef958c28eea90bf0f129ff02be0891421ad90567fadf3db33fab5d,3e5a3b24fb245a0a0996a6c8dbdc1c5013e8f3d7bbb9779c8bcf5e36d4a1de4f,8d7f4fc97da4c5e40b3afc57cfbeb5f4b8e7ede01053efa1a34cf74db22d3ac8,58d2acd846907d784f307d83c1d35f3b030c4a90a637a186c3c2a8e0e7e51c28,1459 1945 2181 2189 2205 2918 3268 3272 3274 3276 3280 3284
35,23,4480,64,4416,205,51,152,152,204,1,1,0,99.512195122,yes,yes,yes,yes,yes,yes,yes,c4911b0c2db168c29613d5c3ac88e3df2362f6f4b3abc989a30cd365a2040b15,1e402471f152ca42926dea8891a0d74be6ce011680cf66027616a769d1a996f1,0e8baa6b0128844b91ceb70daf1c952a95d6e611b5f5a7cb2b4c7b638a50c582,0e8baa6b0128844b91ceb70daf1c952a95d6e611b5f5a7cb2b4c7b638a50c582,
44,29,5632,64,5568,820,48,770,766,815,5,1,4,99.390243902,yes,yes,yes,yes,yes,yes,yes,e2aa06cf55c50d97fa7d5f29948d88b40a1c6ca475025434e27b4876ae4abbf6,ac612d1fea85263bb3e1efc1d6b234edf6e656377df41973244d19d7462b820a,fabeecc36e7f7dafdbb2fc4880a2c192a31d6c10c386a91b6b9282448caddc30,e4108dce38e4a89c8f2dacc56fc734c426db6836ddda66188a010f64bd4e7efe,3729 5592 5594 5596
53,35,6784,64,6720,1948,35,1911,1911,1947,1,1,0,99.948665298,yes,yes,yes,yes,yes,yes,yes,854a9da3ef9be4b44512553777cce788c190c0b42d21e26ecf6da8c98f02960e,7ecd09519d2d485eb27751a8a21d840305f4bd16c36878ed9ec8a6210785c6b2,c54e386530353a5a7e51ff525c1dd5afd28197627226b749a790e052e74d105a,c54e386530353a5a7e51ff525c1dd5afd28197627226b749a790e052e74d105a,
62,41,7936,64,7872,443,203,238,238,442,1,1,0,99.774266366,yes,yes,yes,yes,yes,yes,yes,0928aad0dd689e9786ca7d548f5c87fe5358eb73a9414e8e7f62e5304668a9b4,4998c57f2004d0a30ad4ea053c237ad46a70f6d0af7181f73a749e6623c7a2e7,a44d99568ccc511a6b149c68cea02ef305c28cab84cb9e66bbb934200fadb1ee,a44d99568ccc511a6b149c68cea02ef305c28cab84cb9e66bbb934200fadb1ee,
71,47,9088,64,9024,1103,52,1049,1049,1102,1,1,0,99.909338169,yes,yes,yes,yes,yes,yes,yes,98454e6061f7c34fe85822a0d137a8daddc71c1983c739a03778353ef59c3878,361e10a12c41c932497808e34217441394ed6614a68b2e263ab252c3e62f447a,b132a2b83ee6cfc54373b2fd26bef26067f4e69ebbd7e6f9dd1b54f34447da99,b132a2b83ee6cfc54373b2fd26bef26067f4e69ebbd7e6f9dd1b54f34447da99,
80,53,10240,64,10176,3027,43,2982,2964,3008,19,1,18,99.372315824,yes,yes,yes,yes,yes,yes,yes,255a6537ac657bfb76a7eb2a7fd7430cded3a44e2e85fdde4341080a7661beb8,576eef0168659d67cca0b3e5b115bf4dc90ae1b88f91d2163b37402cc72c9a09,6e7bc4c1bcdcc0d1db424437cd4a5d6c2222c3b09d35b91d2c4a850504d00347,7c2d6d178223fac14073e350c674d8124b974fb8f5986eca292a5f927f4b5a15,3579 4027 4531 5369 6041 6797 6805 6813 7158 8054 9062 10192
89,59,11392,64,11328,474,69,403,403,473,1,1,0,99.789029536,yes,yes,yes,yes,yes,yes,yes,e3b460f5bb848e4ed4ef1aec12e425d62d7a11574fb318e085c115bb1d5d2f21,67104b5d0ff0b403118fd4240440d18885f2d0b1a2275d42cb9f43500fb4b636,114aae3afa735c6e1571b60590f66545a9cbd2e3828bbbd3e0b0ba3053bb9427,114aae3afa735c6e1571b60590f66545a9cbd2e3828bbbd3e0b0ba3053bb9427,
