a,c,x,qAdv,xAdv,target_count,retarded_count,advanced_full_count,advanced_window_count,e5_numerator,e5_gap,deterministic_atom_gap,advanced_window_gap,closure_percent,partition_ok,pairwise_disjoint_ok,advanced_subset_ok,gap_identity_ok,route_hooks_ok,window_hooks_ok,all_hooks_ok,target_sha256,retarded_sha256,advanced_full_sha256,advanced_window_sha256,advanced_boundary_examples
8,5,4096,256,3840,1597,165,1430,1320,1486,111,1,110,93.049467752,yes,yes,yes,yes,yes,yes,yes,cb7df44017881623c4124c2a635aa61c8eeba3e88bb797b5c4543f986b7280fb,ea3972e53128de226460497ffe83946a63965cb7b345fa9e87cd0b8c94bf5475,d0bbf99c424852f59c9e18148e0e7536a2c4471279e396e47d5597c3ec4c6019,91129f1644cc30e8c8d1c72111cc7036e34ac8425fda41f875668c53a320d9ff,559 745 839 993 1063 1118 1143 1159 1207 1259 1417 1490
17,11,8704,256,8448,2306,126,2178,2109,2236,70,1,69,96.964440590,yes,yes,yes,yes,yes,yes,yes,95daa4f9277e21202a6cfd6b563e00a3b0bd93c4531e6d4269141eb4c5f71e19,a9b710aa5140846b8172ce417ae732ce84066854db7e0a1cc9d2dbbd499f4057,9b1874bb4c761f0d1ff0f464bfa1575b51b097da69b43774b249519e924385a7,09b406bf82c56c693adc9233d69cf22874113c72918cd93e2ca3e0179418aa6b,1119 1679 2238 2519 3358 3387 3763 3779 3787 3795 3811 4476
26,17,13312,256,13056,3509,137,3370,3304,3442,67,1,66,98.090624109,yes,yes,yes,yes,yes,yes,yes,adc096315e5576f95928149d9c36f7aa2d8acf7949cd1f85bd1b1ff612e0b178,d3ee8622f9e95aa988d2c25ee45b37f5ddbe6d3a2b86d1f38b0dd41dce62a5bb,23cc393e54600daadda619e2e6b68bb784c87ba2831308cf43541c585affe3f0,185886fcb6280e0f23137ccc232d5ac3b91b1fb0eeb453fbc5c944b56a277db0,3495 3895 3927 5193 5243 5811 5835 5843 5891 5899 6990 7790
35,23,17920,256,17664,5231,177,5052,4985,5163,68,1,67,98.700057350,yes,yes,yes,yes,yes,yes,yes,80f0cfc25c43cb388c1f863a85c25918dc43b6ce66e42e8ba04b8385185dd581,499e1a6bb1f528378d97269a4c2347cb941badaaaa337cf34a4d5d72a2f3661d,f7826f4c7c44bbe2379982a85ca7a4d0b296e941717e0bbccf02c24d79bc80ba,2d480bf75b22eae2263f64d2f1f001d13d986d74b1bc1142d9a612ca6685a1bc,3535 4713 5239 5303 6985 7070 7859 7891 7939 7955 9313 9426
44,29,22528,256,22272,2967,178,2787,2763,2942,25,1,24,99.157398045,yes,yes,yes,yes,yes,yes,yes,8d42544dd52413f53971be029615adfca0b7f90f5cfe6d8ecdf278e5d42b8013,8025a38dbc9587ecf6f2f8a742f0d85d853ef948231c893f2a76cfadfbb0a9ef,8bbaeabab13cd9698e397fe0e9e6c82f13a93905183fc8402f15f8a6c1192588,635171505de6e078f2c451c58630897056ab5bd94d58e721a44e2cbd7a7a62cf,9939 14853 14909 14913 14917 14925 19878 22280 22282 22284 22300 22360
53,35,27136,256,26880,7953,115,7836,7811,7927,26,1,25,99.673079341,yes,yes,yes,yes,yes,yes,yes,4610224778574df50f1b374e6fa56b89a3d234ee8080095effac25ed1650080f,184128332d7228b77f384dbc131d8956ac75fe2242d62ec5e4f015b794e5d29f,cd25c5c745a94a39f1b736beaae5c099bec183c9fa514ffbd8ea1c372f8bbee1,d1ba7cc312c393a5bd2afbb3b272415c10626689f0008f1339de9156ee87fb7a,7131 8023 10697 12035 14262 16046 18001 18037 18053 21394 24070 26914
62,41,31744,256,31488,1841,728,1111,1111,1840,1,1,0,99.945681695,yes,yes,yes,yes,yes,yes,yes,e863c9b186b76ce4bcbb7b71f76ddb6a2c8982b8aff7fd1d1ec8ca45e850fe18,4eea7b14d8c8c8fcd09659b576345898140321c04dd1afc13626f3f6f718af2e,2dba879922cd68bb54498ca3a9bdc384bad5ab3c87d00a81f26178ababcd04ef,2dba879922cd68bb54498ca3a9bdc384bad5ab3c87d00a81f26178ababcd04ef,
71,47,36352,256,36096,4400,227,4171,4165,4393,7,1,6,99.840909091,yes,yes,yes,yes,yes,yes,yes,211b7bea1811299d580330c027ac0ffbf2a58a94a0d6cd6511633971803b6557,8f75b533e3a22b3930a7ee137b2ab2f9607e7447c3ea95585e855f91a44091f9,6486f1d6c59e8e89bda6fa690738a0848e00fdfe4edff69d54f8488aca4f93dd,50a1225572c8c3a1355b3bdb58804e1d82740fdf6d681ee3b23f9559ad16cfda,24069 24109 36104 36106 36108 36164
80,53,40960,256,40704,11829,166,11661,11604,11771,58,1,57,99.509679601,yes,yes,yes,yes,yes,yes,yes,af610c9a9a2db633e7d6860a1c4ef49c31caee5a0f19f57cd44244fe55ee3d33,1413b7527a8d840ca005aa22b626a5f7bb68a4b82f28675aceb8cec05cd85948,4b9f747a228ea28defa159c607a5bddad4df0f0877f0781303ed5831a2c7fbd8,b4ba67eb849ea67e3d82df6a90404da2d06f5eabfd9a41d64f9bc572b1117172,8079 12119 16158 18091 18147 18179 18187 24121 24238 24249 27137 27189
89,59,45568,256,45312,1908,235,1671,1671,1907,1,1,0,99.947589099,yes,yes,yes,yes,yes,yes,yes,efc01e47b0582066bd28022ca981e3098cd62c21449880f6a2e80718288ed54a,067b9ba34fbe9e2038b8900b46993692d8824a4edf0ab5094bf75b72660af72e,bdde28bd84181a8e685ecbbbb099beb24860510c1029a52d403dd035d2fdaaa7,bdde28bd84181a8e685ecbbbb099beb24860510c1029a52d403dd035d2fdaaa7,
98,65,50176,256,49920,3895,97,3796,3796,3894,1,1,0,99.974326059,yes,yes,yes,yes,yes,yes,yes,f4b928f838a904bd8d96df845ce04f69d7692cebe561b9d3d2b5fab068d893fc,ef7eff857b450e750bae49780be2e3917e8aeac620f96c8817d1f29189fd97d1,3b6e461332908d397c19c77ffd1f06b4936ef5fa7cc33555c35ea7d98b69751c,3b6e461332908d397c19c77ffd1f06b4936ef5fa7cc33555c35ea7d98b69751c,
107,71,54784,256,54528,6812,184,6626,6578,6763,49,1,48,99.280681151,yes,yes,yes,yes,yes,yes,yes,c50c9560762422d81011815fbc40e522cb099b5a1cff656578747cbadd787d8c,b809bf5996730cc4c5feb958d05bcccfb31665e3de0b232e400b88d6852fc810,c2af00ecc219e46e09da4aa579184c407566afa1bfa47000575a0ae4938cdaae,355904e2609abb7cac08cb6e235234939a374945c9bc4ebbec15880fc45176cd,16183 19179 21577 24275 24307 24339 28769 32366 32409 36385 36413 36421
116,77,59392,256,59136,1852,184,1666,1666,1851,1,1,0,99.946004320,yes,yes,yes,yes,yes,yes,yes,51efc0d529ad3dca26658f4c676967bb42bbe21203f9f89f9ed86040576ca034,3b25856ebaad04c3470e3eab5404aaa43c2808d9ebcc9f9c97a33cbfb728d6c9,042d2cf96a067359be20d6fa5fec95740cfaa64956f1db4de70116487b23b9dd,042d2cf96a067359be20d6fa5fec95740cfaa64956f1db4de70116487b23b9dd,
