phase,modulus,parent_class,parent_residue,y,roots_per_lift,target_mass_lift0,target_mass_lift1,target_mass_lift2,target_mass_total,advanced_mass_lift0,advanced_mass_lift1,advanced_mass_lift2,advanced_mass_total,advanced_share_lift0_fraction,advanced_share_lift1_fraction,advanced_share_lift2_fraction,advanced_share_lift0,advanced_share_lift1,advanced_share_lift2,min_advanced_share,max_advanced_share,advanced_capture_fraction,advanced_total_nonzero
calibration,36,2,2,8,8,50633,7782,24199,82614,48980,2802,18408,70190,4898/7019,1401/35095,9204/35095,0.697820202308,0.039920216555,0.262259581137,0.039920216555,0.697820202308,35095/41307,True
calibration,36,2,2,9,8,100835,15084,49102,165021,97688,5560,37522,140770,48844/70385,556/14077,18761/70385,0.693954677843,0.039497051929,0.266548270228,0.039497051929,0.693954677843,140770/165021,True
calibration,36,2,2,10,8,199641,30194,95483,325318,193357,10944,72293,276594,193357/276594,1824/46099,72293/276594,0.699064332560,0.039567018807,0.261368648633,0.039567018807,0.699064332560,138297/162659,True
calibration,36,2,11,8,8,9703,57310,10998,78011,2659,50226,8996,61881,2659/61881,16742/20627,8996/61881,0.042969570627,0.811654627430,0.145375801942,0.042969570627,0.811654627430,61881/78011,True
calibration,36,2,11,9,8,19392,113402,22737,155531,5465,99020,17588,122073,5465/122073,99020/122073,17588/122073,0.044768294381,0.811153981634,0.144077723985,0.044768294381,0.811153981634,122073/155531,True
calibration,36,2,11,10,8,38773,225587,44916,309276,10832,197006,35348,243186,5416/121593,98503/121593,17674/121593,0.044542037782,0.810104200077,0.145353762141,0.044542037782,0.810104200077,40531/51546,True
calibration,36,2,20,8,8,49300,41732,14633,105665,40148,39743,9522,89413,40148/89413,39743/89413,9522/89413,0.449017480680,0.444487937996,0.106494581325,0.106494581325,0.449017480680,89413/105665,True
calibration,36,2,20,9,8,99073,83278,29336,211687,80882,79302,18770,178954,40441/89477,39651/89477,9385/89477,0.451970897549,0.443141812980,0.104887289471,0.104887289471,0.451970897549,178954/211687,True
calibration,36,2,20,10,8,201054,165694,58957,425705,163159,157249,37187,357595,163159/357595,157249/357595,37187/357595,0.456267565262,0.439740488542,0.103991946196,0.103991946196,0.456267565262,10217/12163,True
calibration,36,2,29,8,8,14976,8902,36827,60705,12713,2684,30773,46170,12713/46170,1342/23085,30773/46170,0.275351960147,0.058132986788,0.666515053065,0.058132986788,0.666515053065,54/71,True
calibration,36,2,29,9,8,29633,18589,73192,121414,25336,5408,61435,92179,25336/92179,5408/92179,61435/92179,0.274856529144,0.058668460278,0.666475010577,0.058668460278,0.666475010577,92179/121414,True
calibration,36,2,29,10,8,59055,38065,143791,240911,50554,10721,120811,182086,25277/91043,10721/182086,120811/182086,0.277638039168,0.058878771569,0.663483189262,0.058878771569,0.663483189262,1006/1331,True
calibration,36,8,8,8,8,6759,21630,28718,57107,5529,17738,28142,51409,5529/51409,17738/51409,28142/51409,0.107549261802,0.345036861250,0.547413876948,0.107549261802,0.547413876948,51409/57107,True
calibration,36,8,8,9,8,12933,42783,57583,113299,10430,35207,56374,102011,1490/14573,1853/5369,56374/102011,0.102243875660,0.345129446824,0.552626677515,0.102243875660,0.552626677515,102011/113299,True
calibration,36,8,8,10,8,26859,86318,115167,228344,22124,71029,112719,205872,5531/51468,71029/205872,37573/68624,0.107464832517,0.345015349343,0.547519818139,0.107464832517,0.547519818139,25734/28543,True
calibration,36,8,17,8,8,25173,71074,5882,102129,23684,70366,4358,98408,5921/24602,35183/49204,2179/49204,0.240671490123,0.715043492399,0.044285017478,0.044285017478,0.715043492399,98408/102129,True
calibration,36,8,17,9,8,49957,139850,11812,201619,47146,138459,8529,194134,23573/97067,138459/194134,8529/194134,0.242852874818,0.713213553525,0.043933571657,0.043933571657,0.713213553525,194134/201619,True
calibration,36,8,17,10,8,97953,277796,24989,400738,92586,274959,17814,385359,2374/9881,91653/128453,5938/128453,0.240259083089,0.713513892241,0.046227024671,0.046227024671,0.713513892241,29643/30826,True
calibration,36,8,26,8,8,63112,7873,56915,127900,62385,5969,55419,123773,62385/123773,5969/123773,4263/9521,0.504027534276,0.048225380333,0.447747085390,0.048225380333,0.504027534276,123773/127900,True
calibration,36,8,26,9,8,125743,15173,115181,256097,124487,11737,110735,246959,124487/246959,11737/246959,110735/246959,0.504079624553,0.047526107573,0.448394267874,0.047526107573,0.504079624553,246959/256097,True
calibration,36,8,26,10,8,250272,30586,229177,510035,247653,23701,220589,491943,82551/163981,23701/491943,220589/491943,0.503418078924,0.048178345865,0.448403575211,0.048178345865,0.503418078924,491943/510035,True
calibration,36,8,35,8,8,21598,71979,18430,112007,19878,70915,17771,108564,3313/18094,70915/108564,17771/108564,0.183099369957,0.653209166943,0.163691463100,0.163691463100,0.653209166943,108564/112007,True
calibration,36,8,35,9,8,43121,143446,38264,224831,39669,141455,36977,218101,39669/218101,7445/11479,36977/218101,0.181883622725,0.648575659901,0.169540717374,0.169540717374,0.648575659901,218101/224831,True
calibration,36,8,35,10,8,86947,283635,79444,450026,80084,279243,76778,436105,80084/436105,279243/436105,76778/436105,0.183634675136,0.640311392898,0.176053931966,0.176053931966,0.640311392898,436105/450026,True
calibration,108,2,2,8,8,49582,10037,69420,129039,46045,8498,66991,121534,46045/121534,607/8681,66991/121534,0.378865173532,0.069922819952,0.551212006517,0.069922819952,0.551212006517,121534/129039,True
calibration,108,2,2,9,8,98520,20033,138923,257476,91326,17003,133987,242316,15221/40386,17003/242316,133987/242316,0.376888030506,0.070168705327,0.552943264167,0.070168705327,0.552943264167,60579/64369,True
calibration,108,2,2,10,8,194994,40124,278264,513382,180938,34293,268538,483769,180938/483769,34293/483769,268538/483769,0.374017351256,0.070887138283,0.555095510461,0.070887138283,0.555095510461,483769/513382,True
calibration,108,2,11,8,8,6637,11745,10268,28650,2646,1826,6807,11279,2646/11279,1826/11279,6807/11279,0.234595265538,0.161893784910,0.603510949552,0.161893784910,0.603510949552,11279/28650,True
calibration,108,2,11,9,8,13082,22918,20647,56647,5011,3663,13847,22521,5011/22521,1221/7507,13847/22521,0.222503441233,0.162648195018,0.614848363749,0.162648195018,0.614848363749,22521/56647,True
calibration,108,2,11,10,8,26655,44541,41718,112914,10112,6910,28278,45300,2528/11325,691/4530,4713/7550,0.223222958057,0.152538631347,0.624238410596,0.152538631347,0.624238410596,7550/18819,True
calibration,108,2,20,8,8,65293,15596,19617,100506,50317,5875,16587,72779,50317/72779,5875/72779,16587/72779,0.691367015210,0.080723835172,0.227909149617,0.080723835172,0.691367015210,10397/14358,True
calibration,108,2,20,9,8,134595,31811,39538,205944,103877,12146,33445,149468,103877/149468,6073/74734,33445/149468,0.694978189311,0.081261540932,0.223760269757,0.081261540932,0.694978189311,37367/51486,True
calibration,108,2,20,10,8,267757,66902,82516,417175,206008,23473,69974,299455,206008/299455,23473/299455,69974/299455,0.687943096626,0.078385734084,0.233671169291,0.078385734084,0.687943096626,59891/83435,True
calibration,108,2,29,8,8,8568,19183,11342,39093,6359,16626,9189,32174,6359/32174,8313/16087,9189/32174,0.197644060421,0.516752657425,0.285603282153,0.197644060421,0.516752657425,32174/39093,True
calibration,108,2,29,9,8,16824,38004,22916,77744,12082,32972,18753,63807,12082/63807,32972/63807,6251/21269,0.189352265425,0.516745811588,0.293901922987,0.189352265425,0.516745811588,63807/77744,True
calibration,108,2,29,10,8,33183,77596,45318,156097,23878,67047,37565,128490,11939/64245,22349/42830,7513/25698,0.185835473578,0.521807144525,0.292357381897,0.185835473578,0.521807144525,128490/156097,True
calibration,108,2,38,8,8,12015,8655,7595,28265,2400,5349,2690,10439,2400/10439,5349/10439,2690/10439,0.229907079222,0.512405402816,0.257687517961,0.229907079222,0.512405402816,10439/28265,True
calibration,108,2,38,9,8,23522,16955,15013,55490,4947,10599,5106,20652,1649/6884,3533/6884,851/3442,0.239540964555,0.513219058687,0.247239976758,0.239540964555,0.513219058687,10326/27745,True
calibration,108,2,38,10,8,46681,35290,30343,112314,9376,22758,10240,42374,4688/21187,11379/21187,5120/21187,0.221267758531,0.537074621230,0.241657620239,0.221267758531,0.537074621230,21187/56157,True
calibration,108,2,47,8,8,13773,50589,88003,152365,5126,47977,29028,82131,5126/82131,47977/82131,9676/27377,0.062412487368,0.584152147180,0.353435365453,0.062412487368,0.584152147180,82131/152365,True
calibration,108,2,47,9,8,27569,100269,175048,302886,10321,95185,57884,163390,10321/163390,19037/32678,28942/81695,0.063167880531,0.582563192362,0.354268927107,0.063167880531,0.582563192362,81695/151443,True
calibration,108,2,47,10,8,54667,198717,349020,602404,20744,188815,114914,324473,20744/324473,188815/324473,114914/324473,0.063931359466,0.581912824796,0.354155815738,0.063931359466,0.581912824796,324473/602404,True
calibration,108,2,56,8,8,24482,42524,7558,74564,22716,38600,6049,67365,2524/7485,7720/13473,6049/67365,0.337207748831,0.572997847547,0.089794403622,0.089794403622,0.572997847547,67365/74564,True
calibration,108,2,56,9,8,52297,84231,14446,150974,48867,76709,11644,137220,16289/45740,76709/137220,2911/34305,0.356121556624,0.559022008454,0.084856434922,0.084856434922,0.559022008454,68610/75487,True
calibration,108,2,56,10,8,103163,166549,29433,299145,95884,151906,23826,271616,23971/67904,75953/135808,11913/135808,0.353013077286,0.559267495287,0.087719427427,0.087719427427,0.559267495287,271616/299145,True
calibration,108,2,65,8,8,8286,9028,9812,27126,4049,2619,1510,8178,4049/8178,873/2726,755/4089,0.495108828564,0.320249449743,0.184641721692,0.184641721692,0.495108828564,1363/4521,True
