phase,modulus,parent_class,parent_residue,lift,q,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,root_residue_hook,lift_index_hook,q_membership_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,36,2,2,0,0,2,1,2,8,512,384,264,197,True,True,True,True,True,True,True,True
calibration,36,2,2,0,0,2,1,2,9,1024,768,440,347,True,True,True,True,True,True,True,True
calibration,36,2,2,0,0,2,1,2,10,2048,1536,810,631,True,True,True,True,True,True,True,True
calibration,36,2,2,0,1,110,73,146,8,28160,28032,914,735,True,True,True,True,True,True,True,True
calibration,36,2,2,0,1,110,73,146,9,56320,56064,1705,1386,True,True,True,True,True,True,True,True
calibration,36,2,2,0,1,110,73,146,10,112640,112128,3317,2706,True,True,True,True,True,True,True,True
calibration,36,2,2,0,2,218,145,290,8,55808,55680,1600,1139,True,True,True,True,True,True,True,True
calibration,36,2,2,0,2,218,145,290,9,111616,111360,3599,2594,True,True,True,True,True,True,True,True
calibration,36,2,2,0,2,218,145,290,10,223232,222720,6917,5046,True,True,True,True,True,True,True,True
calibration,36,2,2,0,3,326,217,434,8,83456,83328,701,533,True,True,True,True,True,True,True,True
calibration,36,2,2,0,3,326,217,434,9,166912,166656,1327,1017,True,True,True,True,True,True,True,True
calibration,36,2,2,0,3,326,217,434,10,333824,333312,2517,1961,True,True,True,True,True,True,True,True
calibration,36,2,2,0,4,434,289,578,8,111104,110976,706,539,True,True,True,True,True,True,True,True
calibration,36,2,2,0,4,434,289,578,9,222208,221952,1352,1032,True,True,True,True,True,True,True,True
calibration,36,2,2,0,4,434,289,578,10,444416,443904,2516,1861,True,True,True,True,True,True,True,True
calibration,36,2,2,0,5,542,361,722,8,138752,138624,3270,3017,True,True,True,True,True,True,True,True
calibration,36,2,2,0,5,542,361,722,9,277504,277248,6612,6175,True,True,True,True,True,True,True,True
calibration,36,2,2,0,5,542,361,722,10,555008,554496,13293,12134,True,True,True,True,True,True,True,True
calibration,36,2,2,0,6,650,433,866,8,166400,166272,40721,40490,True,True,True,True,True,True,True,True
calibration,36,2,2,0,6,650,433,866,9,332800,332544,80557,80156,True,True,True,True,True,True,True,True
calibration,36,2,2,0,6,650,433,866,10,665600,665088,160196,159417,True,True,True,True,True,True,True,True
calibration,36,2,2,0,7,758,505,1010,8,194048,193920,2457,2330,True,True,True,True,True,True,True,True
calibration,36,2,2,0,7,758,505,1010,9,388096,387840,5243,4981,True,True,True,True,True,True,True,True
calibration,36,2,2,0,7,758,505,1010,10,776192,775680,10075,9601,True,True,True,True,True,True,True,True
calibration,36,2,2,1,0,38,25,50,8,9728,9600,952,183,True,True,True,True,True,True,True,True
calibration,36,2,2,1,0,38,25,50,9,19456,19200,1820,354,True,True,True,True,True,True,True,True
calibration,36,2,2,1,0,38,25,50,10,38912,38400,3468,663,True,True,True,True,True,True,True,True
calibration,36,2,2,1,1,146,97,194,8,37376,37248,921,566,True,True,True,True,True,True,True,True
calibration,36,2,2,1,1,146,97,194,9,74752,74496,1821,1140,True,True,True,True,True,True,True,True
calibration,36,2,2,1,1,146,97,194,10,149504,148992,3575,2156,True,True,True,True,True,True,True,True
calibration,36,2,2,1,2,254,169,338,8,65024,64896,824,538,True,True,True,True,True,True,True,True
calibration,36,2,2,1,2,254,169,338,9,130048,129792,1538,981,True,True,True,True,True,True,True,True
calibration,36,2,2,1,2,254,169,338,10,260096,259584,3412,2122,True,True,True,True,True,True,True,True
calibration,36,2,2,1,3,362,241,482,8,92672,92544,799,156,True,True,True,True,True,True,True,True
calibration,36,2,2,1,3,362,241,482,9,185344,185088,1467,293,True,True,True,True,True,True,True,True
calibration,36,2,2,1,3,362,241,482,10,370688,370176,3136,535,True,True,True,True,True,True,True,True
calibration,36,2,2,1,4,470,313,626,8,120320,120192,1019,273,True,True,True,True,True,True,True,True
calibration,36,2,2,1,4,470,313,626,9,240640,240384,2226,772,True,True,True,True,True,True,True,True
calibration,36,2,2,1,4,470,313,626,10,481280,480768,4171,1428,True,True,True,True,True,True,True,True
calibration,36,2,2,1,5,578,385,770,8,147968,147840,688,261,True,True,True,True,True,True,True,True
calibration,36,2,2,1,5,578,385,770,9,295936,295680,1343,480,True,True,True,True,True,True,True,True
calibration,36,2,2,1,5,578,385,770,10,591872,591360,2586,978,True,True,True,True,True,True,True,True
calibration,36,2,2,1,6,686,457,914,8,175616,175488,1556,241,True,True,True,True,True,True,True,True
calibration,36,2,2,1,6,686,457,914,9,351232,350976,2965,428,True,True,True,True,True,True,True,True
calibration,36,2,2,1,6,686,457,914,10,702464,701952,6024,807,True,True,True,True,True,True,True,True
calibration,36,2,2,1,7,794,529,1058,8,203264,203136,1023,584,True,True,True,True,True,True,True,True
calibration,36,2,2,1,7,794,529,1058,9,406528,406272,1904,1112,True,True,True,True,True,True,True,True
calibration,36,2,2,1,7,794,529,1058,10,813056,812544,3822,2255,True,True,True,True,True,True,True,True
calibration,36,2,2,2,0,74,49,98,8,18944,18816,1599,1221,True,True,True,True,True,True,True,True
calibration,36,2,2,2,0,74,49,98,9,37888,37632,3773,3034,True,True,True,True,True,True,True,True
calibration,36,2,2,2,0,74,49,98,10,75776,75264,7337,5922,True,True,True,True,True,True,True,True
calibration,36,2,2,2,1,182,121,242,8,46592,46464,7859,5882,True,True,True,True,True,True,True,True
calibration,36,2,2,2,1,182,121,242,9,93184,92928,15601,11676,True,True,True,True,True,True,True,True
calibration,36,2,2,2,1,182,121,242,10,186368,185856,30769,22239,True,True,True,True,True,True,True,True
calibration,36,2,2,2,2,290,193,386,8,74240,74112,1761,905,True,True,True,True,True,True,True,True
calibration,36,2,2,2,2,290,193,386,9,148480,148224,3384,1681,True,True,True,True,True,True,True,True
calibration,36,2,2,2,2,290,193,386,10,296960,296448,6402,3233,True,True,True,True,True,True,True,True
calibration,36,2,2,2,3,398,265,530,8,101888,101760,1429,1116,True,True,True,True,True,True,True,True
calibration,36,2,2,2,3,398,265,530,9,203776,203520,3011,2321,True,True,True,True,True,True,True,True
calibration,36,2,2,2,3,398,265,530,10,407552,407040,5616,4286,True,True,True,True,True,True,True,True
calibration,36,2,2,2,4,506,337,674,8,129536,129408,3478,3040,True,True,True,True,True,True,True,True
calibration,36,2,2,2,4,506,337,674,9,259072,258816,6869,6032,True,True,True,True,True,True,True,True
calibration,36,2,2,2,4,506,337,674,10,518144,517632,13310,11746,True,True,True,True,True,True,True,True
calibration,36,2,2,2,5,614,409,818,8,157184,157056,2265,1723,True,True,True,True,True,True,True,True
