phase,modulus,parent_class,parent_residue,y,roots_lift0,roots_lift1,roots_lift2,target_mass_lift0,target_mass_lift1,target_mass_lift2,target_mass_total,advanced_mass_lift0,advanced_mass_lift1,advanced_mass_lift2,advanced_mass_total,advanced_share_lift0_fraction,advanced_share_lift1_fraction,advanced_share_lift2_fraction,advanced_share_lift0,advanced_share_lift1,advanced_share_lift2,min_advanced_share,max_advanced_share,advanced_capture_fraction,advanced_total_nonzero
calibration,36,2,2,8,96,96,96,267918,128474,384519,780911,240578,36055,199443,476076,120289/238038,36055/476076,66481/158692,0.505335282602,0.075733706383,0.418931011015,0.075733706383,0.505335282602,476076/780911,True
calibration,36,2,2,9,96,96,96,533494,255314,771144,1559952,478865,71246,399880,949991,478865/949991,10178/135713,399880/949991,0.504073196483,0.074996499967,0.420930303550,0.074996499967,0.504073196483,949991/1559952,True
calibration,36,2,2,10,96,96,96,1058894,510091,1544682,3113667,951624,143595,793879,1889098,475812/944549,143595/1889098,793879/1889098,0.503745173623,0.076012467326,0.420242359052,0.076012467326,0.503745173623,1889098/3113667,True
calibration,36,2,11,8,96,96,96,119104,383104,182112,684320,37192,233237,154243,424672,4649/53084,233237/424672,154243/424672,0.087578177982,0.549216807324,0.363205014694,0.087578177982,0.549216807324,13271/21385,True
calibration,36,2,11,9,96,96,96,238416,768456,364726,1371598,73930,467192,308861,849983,73930/849983,467192/849983,308861/849983,0.086978210152,0.549648640032,0.363373149816,0.086978210152,0.549648640032,849983/1371598,True
calibration,36,2,11,10,96,96,96,472994,1535927,728929,2737850,145835,924603,619923,1690361,145835/1690361,924603/1690361,619923/1690361,0.086274470365,0.546985525577,0.366740004058,0.086274470365,0.546985525577,99433/161050,True
calibration,36,2,20,8,96,96,96,331786,236194,129285,697265,218243,209197,48576,476016,218243/476016,4451/10128,1012/9917,0.458478286444,0.439474723539,0.102046990017,0.102046990017,0.458478286444,476016/697265,True
calibration,36,2,20,9,96,96,96,666105,471190,258578,1395873,441129,418652,96918,956699,441129/956699,418652/956699,96918/956699,0.461094868919,0.437600541027,0.101304590054,0.101304590054,0.461094868919,956699/1395873,True
calibration,36,2,20,10,96,96,96,1330876,950137,514093,2795106,879742,843591,191082,1914415,879742/1914415,843591/1914415,191082/1914415,0.459535680613,0.440652105212,0.099812214175,0.099812214175,0.459535680613,1914415/2795106,True
calibration,36,2,29,8,96,96,96,180139,112711,323813,616663,152977,40229,222078,415284,152977/415284,40229/415284,37013/69214,0.368367189682,0.096871056915,0.534761753402,0.096871056915,0.534761753402,415284/616663,True
calibration,36,2,29,9,96,96,96,358594,230296,645639,1234529,304187,82645,445709,832541,304187/832541,82645/832541,445709/832541,0.365371795503,0.099268384380,0.535359820117,0.099268384380,0.535359820117,832541/1234529,True
calibration,36,2,29,10,96,96,96,721944,463555,1293220,2478719,610385,165307,896485,1672177,610385/1672177,165307/1672177,896485/1672177,0.365024157132,0.098857357804,0.536118485065,0.098857357804,0.536118485065,1672177/2478719,True
calibration,36,8,8,8,96,96,96,109770,280296,852769,1242835,86014,265292,843884,1195190,43007/597595,132646/597595,421942/597595,0.071966800258,0.221966381914,0.706066817828,0.071966800258,0.706066817828,239038/248567,True
calibration,36,8,8,9,96,96,96,218622,557373,1703045,2479040,171069,528989,1684854,2384912,171069/2384912,528989/2384912,842427/1192456,0.071729690655,0.221806506907,0.706463802438,0.071729690655,0.706463802438,149057/154940,True
calibration,36,8,8,10,96,96,96,444394,1123250,3394218,4961862,348259,1065427,3359265,4772951,348259/4772951,1065427/4772951,3359265/4772951,0.072965132054,0.223221860019,0.703813007927,0.072965132054,0.703813007927,4772951/4961862,True
calibration,36,8,17,8,96,96,96,276338,725282,110257,1111877,263188,716917,82666,1062771,263188/1062771,716917/1062771,82666/1062771,0.247643189361,0.674573355878,0.077783454761,0.077783454761,0.674573355878,1062771/1111877,True
calibration,36,8,17,9,96,96,96,547995,1448575,222920,2219490,522566,1431727,168225,2122518,261283/1061259,1431727/2122518,56075/707506,0.246200974503,0.674541747114,0.079257278384,0.079257278384,0.674541747114,353753/369915,True
calibration,36,8,17,10,96,96,96,1083495,2893136,444933,4421564,1032194,2860183,335239,4227616,516097/2113808,2860183/4227616,335239/4227616,0.244155098287,0.676547491541,0.079297410172,0.079297410172,0.676547491541,1056904/1105391,True
calibration,36,8,26,8,96,96,96,430655,100431,349757,880843,422171,77646,337781,837598,422171/837598,38823/418799,337781/837598,0.504025797578,0.092700794415,0.403273408007,0.092700794415,0.504025797578,837598/880843,True
