phase,interval_lower,interval_upper_exclusive,modulus,parent_class,parent_residue,lift,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,interval_hook,root_residue_hook,lift_index_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,1,10369,36,2,2,0,2,1,2,8,512,384,264,197,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2,1,2,9,1024,768,440,347,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,2,1,2,10,2048,1536,810,631,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,110,73,146,8,28160,28032,914,735,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,110,73,146,9,56320,56064,1705,1386,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,110,73,146,10,112640,112128,3317,2706,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,218,145,290,8,55808,55680,1600,1139,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,218,145,290,9,111616,111360,3599,2594,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,218,145,290,10,223232,222720,6917,5046,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,326,217,434,8,83456,83328,701,533,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,326,217,434,9,166912,166656,1327,1017,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,326,217,434,10,333824,333312,2517,1961,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,434,289,578,8,111104,110976,706,539,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,434,289,578,9,222208,221952,1352,1032,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,434,289,578,10,444416,443904,2516,1861,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,542,361,722,8,138752,138624,3270,3017,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,542,361,722,9,277504,277248,6612,6175,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,542,361,722,10,555008,554496,13293,12134,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,650,433,866,8,166400,166272,40721,40490,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,650,433,866,9,332800,332544,80557,80156,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,650,433,866,10,665600,665088,160196,159417,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,758,505,1010,8,194048,193920,2457,2330,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,758,505,1010,9,388096,387840,5243,4981,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,758,505,1010,10,776192,775680,10075,9601,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,866,577,1154,8,221696,221568,53750,53519,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,866,577,1154,9,443392,443136,106137,105705,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,866,577,1154,10,886784,886272,212522,211677,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,974,649,1298,8,249344,249216,1565,727,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,974,649,1298,9,498688,498432,3337,1712,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,974,649,1298,10,997376,996864,6452,3392,True,True,True,True,True,True,True,True
