# ordinal	kind	name
1	def	joinPosition
2	def	positionBlock
3	def	positionLocal
4	theorem	positionBlock_join
5	theorem	positionLocal_join
6	def	fin27Shift
7	def	fin9Shift
8	def	fin243Block
9	def	fin243Local
10	def	fin81Block
11	def	fin81Local
12	theorem	fin27Shift_block_local
13	theorem	fin9Shift_block_local
14	def	liftPilotEdge
15	def	edgeBlock
16	def	edgeLocal
17	theorem	liftPilotEdge_edgeBlock_edgeLocal
18	theorem	fin9Shift_div3
19	theorem	fin9Shift_mod3
20	theorem	directSourceUnrank_shift
21	theorem	liftSourceUnrank_shift
22	theorem	formulaSource_liftPilotEdge
23	theorem	rowStart_shift
24	theorem	rowStart_formulaSource_liftPilotEdge
25	theorem	frozenPos_liftPilotEdge
26	theorem	frozenPos_eq_joinPosition
27	def	corePositionUnrank
28	def	corePositionToRank
29	theorem	corePositionUnrank_frozenPos
30	theorem	corePositionToRank_frozenPos
