# F3 arithmetic-codec pilot repair explicit-source declaration inventory v1
# source: CollatzClassical/KL2003/F3ReturnExcursionCoreArithmeticCodecPilotRepair.lean
# scope: every explicit public top-level def/theorem/named-instance/abbrev/inductive
# private declarations: none
# excluded from the 151 count: compiler-generated constructors, recursors,
# casesOn/noConfusion helpers, and deriving implementations attached to the two
# inventoried inductives.  They are not separately written source declarations.
# The inductive constants themselves are inventoried.  After elaboration, the
# audit's environmental namespace enumerator separately logs Lean.collectAxioms
# for every generated constant; that runtime layer is not part of this 151 count.
# Dependencies used by designated final public theorems are also covered
# transitively by those theorems' #print axioms results.
# Any future explicit declaration changes this file and invalidates the freeze.
ordinal	kind	name
1	def	encodeNat
2	theorem	encodeNat_lt_729
3	theorem	encodeNat_mod9
4	def	CoreCode
5	def	encode
6	theorem	encode_mem_coreCode
7	def	decodeNat
8	theorem	decodeNat_lt_243
9	def	decode
10	theorem	decode_encode
11	theorem	encode_decode
12	theorem	encode_injective
13	theorem	decode_injective
14	def	coreCodeEquiv
15	instance	coreCodeFintype
16	theorem	coreCode_card
17	def	bucketCode
18	theorem	bucketCode_lt_three
19	def	stateCodeNat
20	theorem	stateCodeNat_lt_729
21	theorem	stateCodeNat_mod9
22	def	stateCode
23	theorem	decode_stateCode_affine_val
24	def	n0
25	def	adjust
26	def	a
27	def	c
28	theorem	adjust_zero_spec
29	theorem	adjust_one_spec
30	theorem	adjust_two_spec
31	theorem	a_bucketCode
32	theorem	c_expanded
33	theorem	c_mod2
34	abbrev	DirectSource
35	abbrev	LiftSource
36	theorem	directSource_mod9
37	theorem	liftSource_mod9
38	def	directSourceRankNat
39	theorem	directSourceRankNat_lt_81
40	def	directSourceRank
41	def	directSourceUnrankNat
42	theorem	directSourceUnrankNat_lt_243
43	theorem	directSourceUnrank_eligible
44	def	directSourceUnrank
45	theorem	directSource_rank_unrank
46	theorem	directSource_unrank_rank
47	def	directSourceEquiv
48	theorem	directSourceRank_injective
49	def	liftSourceRankNat
50	theorem	liftSourceRankNat_lt_81
51	def	liftSourceRank
52	def	liftSourceUnrankNat
53	theorem	liftSourceUnrankNat_lt_243
54	theorem	liftSourceUnrank_eligible
55	def	liftSourceUnrank
56	theorem	liftSource_rank_unrank
57	theorem	liftSource_unrank_rank
58	def	liftSourceEquiv
59	theorem	liftSourceRank_injective
60	inductive	FormulaEdge
61	def	retardedTarget
62	def	directOffset
63	theorem	direct_c_mod3
64	theorem	lift_c_mod3
65	theorem	lift_twice_c_mod3
66	theorem	direct_c_bucket
67	theorem	lift_twice_c_bucket
68	def	directStateCode
69	def	liftStateCode
70	def	directTarget
71	def	liftTarget
72	def	directK
73	theorem	direct_c_affine
74	def	liftK
75	theorem	lift_twice_c_affine
76	def	directTargetClosed
77	def	liftTargetClosed
78	theorem	directK_mod81
79	theorem	liftK_mod81
80	theorem	directTarget_closed_form
81	theorem	liftTarget_closed_form
82	def	formulaSource
83	def	formulaTarget
84	def	formulaChannelNat
85	def	realize
86	theorem	directTarget_ell_injective
87	theorem	liftTarget_ell_injective
88	theorem	realize_injective
89	def	formulaRank
90	def	formulaUnrank
91	theorem	formulaRank_unrank
92	theorem	formulaRank_injective_raw
93	theorem	formulaUnrank_rank
94	def	formulaEdgeEquivFin729
95	theorem	formulaRank_injective
96	theorem	formulaEdge_card
97	def	formulaCoreList
98	theorem	formulaCoreList_length
99	theorem	formulaCoreList_nodup
100	theorem	formula_channel_cardinality
101	inductive	PilotFormulaEdge
102	def	fin27To243
103	def	fin9To81
104	def	pilotEmbed
105	def	pilotRank
106	def	pilotUnrank
107	theorem	pilotRank_unrank
108	theorem	pilotRank_injective_raw
109	theorem	pilotUnrank_rank
110	def	pilotEdgeEquivFin81
111	theorem	pilotRank_injective
112	theorem	pilotFormulaEdge_card
113	theorem	pilot_channel_cardinality
114	theorem	pilotEmbed_injective
115	def	pilotRealize
116	theorem	pilotRealize_injective
117	def	pilotFormulaList
118	theorem	pilotFormulaList_length
119	theorem	pilotFormulaList_nodup
120	def	rowStart
121	def	frozenPosNat
122	theorem	frozenPosNat_lt_729
123	def	frozenPos
124	theorem	pilotFrozenPos_lt_81
125	def	pilotFrozenPos
126	theorem	pilotFrozenPos_agrees
127	def	pilotFrozen
128	def	pilotPositionToRank
129	def	pilotPositionUnrank
130	theorem	pilotPositionToRank_frozenPos
131	theorem	pilotPositionUnrank_frozenPos
132	theorem	pilotFrozenPos_injective
133	def	pilotPositionRealize
134	theorem	pilotFrozen_position_normalization
135	theorem	pilotFrozen_length
136	theorem	pilot_position_at_formula
137	theorem	pilot_frozen_at_formula
138	theorem	pilotRealize_mem_frozen
139	theorem	pilotFormulaList_subset_frozen
140	theorem	saturation_perm_of_subset_nodup_card
141	theorem	pilotFrozen_perm_formula
142	theorem	pilotFrozen_nodup
143	theorem	pilotFrozen_toFinset_eq_formula
144	theorem	pilotEmbed_source_lt_27
145	theorem	pilot_frozen_scope
146	def	edgeMatches
147	def	matrixOf
148	theorem	matrixOf_eq_of_perm
149	def	pilotFrozenMatrix
150	def	pilotFormulaMatrix
151	theorem	pilot_matrix_eq_formulaMatrix
