phase,K,a,y,x,c,x_phase_a,source_type,retarded_type,advanced_route,advanced_type_or_tail,target_count,retarded_visible_count,advanced_full_count,advanced_phase_a_count,advanced_visible_phase_a_count,advanced_tail_phase_a_count,atom_tail_count,phase_loss_tail_count,visible_total,q_total,capture_fraction,tail_fraction,partition_pass,disjoint_pass,phase_subset_pass,route_pass,denominator_pass,all_hooks_pass
calibration,5,5,8,1280,3,768,d5:r5:podd:b0,d5:r20:peven:b2,Q_K:T0,Q_K:T0,474,463,9,9,0,9,2,0,463,11,0.976793248945,0.023206751055,yes,yes,yes,yes,yes,yes
calibration,5,5,9,2560,3,1536,d5:r5:podd:b0,d5:r20:peven:b2,Q_K:T0,Q_K:T0,934,922,10,10,0,10,2,0,922,12,0.987152034261,0.012847965739,yes,yes,yes,yes,yes,yes
calibration,5,5,10,5120,3,3072,d5:r5:podd:b0,d5:r20:peven:b2,Q_K:T0,Q_K:T0,3017,3004,11,11,0,11,2,0,3004,13,0.995691083858,0.004308916142,yes,yes,yes,yes,yes,yes
calibration,5,8,8,2048,5,1280,d5:r8:peven:b2,d5:r32:peven:b2,visible,d4:r5:podd:b0,807,91,714,474,474,0,2,240,565,242,0.700123915737,0.299876084263,yes,yes,yes,yes,yes,yes
calibration,5,8,9,4096,5,2560,d5:r8:peven:b2,d5:r32:peven:b2,visible,d4:r5:podd:b0,1597,165,1430,934,934,0,2,496,1099,498,0.688165309956,0.311834690044,yes,yes,yes,yes,yes,yes
calibration,5,8,10,8192,5,5120,d5:r8:peven:b2,d5:r32:peven:b2,visible,d4:r5:podd:b0,5087,353,4732,3017,3017,0,2,1715,3370,1717,0.662472970316,0.337527029684,yes,yes,yes,yes,yes,yes
calibration,5,11,8,2816,7,1792,d5:r11:podd:b0,d5:r44:peven:b2,Q_K:T0,Q_K:T0,723,450,271,174,0,174,2,97,450,273,0.622406639004,0.377593360996,yes,yes,yes,yes,yes,yes
calibration,5,11,9,5632,7,3584,d5:r11:podd:b0,d5:r44:peven:b2,Q_K:T0,Q_K:T0,1385,820,563,343,0,343,2,220,820,565,0.592057761733,0.407942238267,yes,yes,yes,yes,yes,yes
calibration,5,11,10,11264,7,7168,d5:r11:podd:b0,d5:r44:peven:b2,Q_K:T0,Q_K:T0,2728,1606,1120,739,0,739,2,381,1606,1122,0.588709677419,0.411290322581,yes,yes,yes,yes,yes,yes
calibration,5,14,8,3584,9,2304,d5:r14:peven:b1,d5:r56:peven:b2,Q_K:T0,Q_K:T0,342,331,9,9,0,9,2,0,331,11,0.967836257310,0.032163742690,yes,yes,yes,yes,yes,yes
calibration,5,14,9,7168,9,4608,d5:r14:peven:b1,d5:r56:peven:b2,Q_K:T0,Q_K:T0,738,726,10,10,0,10,2,0,726,12,0.983739837398,0.016260162602,yes,yes,yes,yes,yes,yes
calibration,5,14,10,14336,9,9216,d5:r14:peven:b1,d5:r56:peven:b2,Q_K:T0,Q_K:T0,1381,1368,11,11,0,11,2,0,1368,13,0.990586531499,0.009413468501,yes,yes,yes,yes,yes,yes
calibration,5,17,8,4352,11,2816,d5:r17:podd:b0,d5:r68:peven:b2,visible,d4:r11:podd:b0,1182,80,1100,723,723,0,2,377,803,379,0.679357021997,0.320642978003,yes,yes,yes,yes,yes,yes
calibration,5,17,9,8704,11,5632,d5:r17:podd:b0,d5:r68:peven:b2,visible,d4:r11:podd:b0,2306,126,2178,1385,1385,0,2,793,1511,795,0.655247181266,0.344752818734,yes,yes,yes,yes,yes,yes
calibration,5,17,10,17408,11,11264,d5:r17:podd:b0,d5:r68:peven:b2,visible,d4:r11:podd:b0,4290,221,4067,2728,2728,0,2,1339,2949,1341,0.687412587413,0.312587412587,yes,yes,yes,yes,yes,yes
calibration,5,20,8,5120,13,3328,d5:r20:peven:b2,d5:r80:peven:b2,Q_K:T0,Q_K:T0,3004,1571,1431,960,0,960,2,471,1571,1433,0.522969374168,0.477030625832,yes,yes,yes,yes,yes,yes
calibration,5,20,9,10240,13,6656,d5:r20:peven:b2,d5:r80:peven:b2,Q_K:T0,Q_K:T0,5789,3027,2760,1889,0,1889,2,871,3027,2762,0.522888236310,0.477111763690,yes,yes,yes,yes,yes,yes
calibration,5,20,10,20480,13,13312,d5:r20:peven:b2,d5:r80:peven:b2,Q_K:T0,Q_K:T0,11498,6041,5455,3510,0,3510,2,1945,6041,5457,0.525395720995,0.474604279005,yes,yes,yes,yes,yes,yes
calibration,5,23,8,5888,15,3840,d5:r23:podd:b0,d5:r92:peven:b2,Q_K:T0,Q_K:T0,1662,1651,9,9,0,9,2,0,1651,11,0.993381468111,0.006618531889,yes,yes,yes,yes,yes,yes
calibration,5,23,9,11776,15,7680,d5:r23:podd:b0,d5:r92:peven:b2,Q_K:T0,Q_K:T0,3346,3334,10,10,0,10,2,0,3334,12,0.996413628213,0.003586371787,yes,yes,yes,yes,yes,yes
calibration,5,23,10,23552,15,15360,d5:r23:podd:b0,d5:r92:peven:b2,Q_K:T0,Q_K:T0,6625,6612,11,11,0,11,2,0,6612,13,0.998037735849,0.001962264151,yes,yes,yes,yes,yes,yes
calibration,5,26,8,6656,17,4352,d5:r26:peven:b1,d5:r104:peven:b2,visible,d4:r17:podd:b0,1888,81,1805,1182,1182,0,2,623,1263,625,0.668961864407,0.331038135593,yes,yes,yes,yes,yes,yes
calibration,5,26,9,13312,17,8704,d5:r26:peven:b1,d5:r104:peven:b2,visible,d4:r17:podd:b0,3509,137,3370,2306,2306,0,2,1064,2443,1066,0.696209746366,0.303790253634,yes,yes,yes,yes,yes,yes
calibration,5,26,10,26624,17,17408,d5:r26:peven:b1,d5:r104:peven:b2,visible,d4:r17:podd:b0,6901,223,6676,4290,4290,0,2,2386,4513,2388,0.653963193740,0.346036806260,yes,yes,yes,yes,yes,yes
calibration,5,29,8,7424,19,4864,d5:r29:podd:b0,d5:r116:peven:b2,Q_K:T0,Q_K:T0,1060,306,752,500,0,500,2,252,306,754,0.288679245283,0.711320754717,yes,yes,yes,yes,yes,yes
calibration,5,29,9,14848,19,9728,d5:r29:podd:b0,d5:r116:peven:b2,Q_K:T0,Q_K:T0,1937,533,1402,953,0,953,2,449,533,1404,0.275167785235,0.724832214765,yes,yes,yes,yes,yes,yes
calibration,5,29,10,29696,19,19456,d5:r29:podd:b0,d5:r116:peven:b2,Q_K:T0,Q_K:T0,3679,1043,2634,1821,0,1821,2,813,1043,2636,0.283500951345,0.716499048655,yes,yes,yes,yes,yes,yes
calibration,5,32,8,8192,21,5376,d5:r32:peven:b2,d5:r128:peven:b2,Q_K:T0,Q_K:T0,353,342,9,9,0,9,2,0,342,11,0.968838526912,0.031161473088,yes,yes,yes,yes,yes,yes
calibration,5,32,9,16384,21,10752,d5:r32:peven:b2,d5:r128:peven:b2,Q_K:T0,Q_K:T0,659,647,10,10,0,10,2,0,647,12,0.981790591806,0.018209408194,yes,yes,yes,yes,yes,yes
calibration,5,32,10,32768,21,21504,d5:r32:peven:b2,d5:r128:peven:b2,Q_K:T0,Q_K:T0,1244,1231,11,11,0,11,2,0,1231,13,0.989549839228,0.010450160772,yes,yes,yes,yes,yes,yes
calibration,5,35,8,8960,23,5888,d5:r35:podd:b0,d5:r140:peven:b2,visible,d4:r23:podd:b0,2572,88,2482,1662,1662,0,2,820,1750,822,0.680404354588,0.319595645412,yes,yes,yes,yes,yes,yes
calibration,5,35,9,17920,23,11776,d5:r35:podd:b0,d5:r140:peven:b2,visible,d4:r23:podd:b0,5231,177,5052,3346,3346,0,2,1706,3523,1708,0.673484993309,0.326515006691,yes,yes,yes,yes,yes,yes
calibration,5,35,10,35840,23,23552,d5:r35:podd:b0,d5:r140:peven:b2,visible,d4:r23:podd:b0,10209,311,9896,6625,6625,0,2,3271,6936,3273,0.679400528945,0.320599471055,yes,yes,yes,yes,yes,yes
calibration,5,38,8,9728,25,6400,d5:r38:peven:b1,d5:r152:peven:b2,Q_K:T0,Q_K:T0,952,766,184,115,0,115,2,69,766,186,0.804621848739,0.195378151261,yes,yes,yes,yes,yes,yes
calibration,5,38,9,19456,25,12800,d5:r38:peven:b1,d5:r152:peven:b2,Q_K:T0,Q_K:T0,1820,1463,355,237,0,237,2,118,1463,357,0.803846153846,0.196153846154,yes,yes,yes,yes,yes,yes
calibration,5,38,10,38912,25,25600,d5:r38:peven:b1,d5:r152:peven:b2,Q_K:T0,Q_K:T0,3468,2802,664,448,0,448,2,216,2802,666,0.807958477509,0.192041522491,yes,yes,yes,yes,yes,yes
calibration,5,41,8,10496,27,6912,d5:r41:podd:b0,d5:r164:peven:b2,Q_K:T0,Q_K:T0,329,318,9,9,0,9,2,0,318,11,0.966565349544,0.033434650456,yes,yes,yes,yes,yes,yes
calibration,5,41,9,20992,27,13824,d5:r41:podd:b0,d5:r164:peven:b2,Q_K:T0,Q_K:T0,750,738,10,10,0,10,2,0,738,12,0.984000000000,0.016000000000,yes,yes,yes,yes,yes,yes
calibration,5,41,10,41984,27,27648,d5:r41:podd:b0,d5:r164:peven:b2,Q_K:T0,Q_K:T0,1437,1424,11,11,0,11,2,0,1424,13,0.990953375087,0.009046624913,yes,yes,yes,yes,yes,yes
calibration,5,44,8,11264,29,7424,d5:r44:peven:b2,d5:r176:peven:b2,visible,d4:r29:podd:b0,1606,88,1516,1060,1060,0,2,456,1148,458,0.714819427148,0.285180572852,yes,yes,yes,yes,yes,yes
calibration,5,44,9,22528,29,14848,d5:r44:peven:b2,d5:r176:peven:b2,visible,d4:r29:podd:b0,2967,178,2787,1937,1937,0,2,850,2115,852,0.712841253792,0.287158746208,yes,yes,yes,yes,yes,yes
calibration,5,44,10,45056,29,29696,d5:r44:peven:b2,d5:r176:peven:b2,visible,d4:r29:podd:b0,6013,324,5687,3679,3679,0,2,2008,4003,2010,0.665724264094,0.334275735906,yes,yes,yes,yes,yes,yes
calibration,5,47,8,12032,31,7936,d5:r47:podd:b0,d5:r188:peven:b2,Q_K:T0,Q_K:T0,1410,733,675,444,0,444,2,231,733,677,0.519858156028,0.480141843972,yes,yes,yes,yes,yes,yes
calibration,5,47,9,24064,31,15872,d5:r47:podd:b0,d5:r188:peven:b2,Q_K:T0,Q_K:T0,2849,1428,1419,968,0,968,2,451,1428,1421,0.501228501229,0.498771498771,yes,yes,yes,yes,yes,yes
calibration,5,47,10,48128,31,31744,d5:r47:podd:b0,d5:r188:peven:b2,Q_K:T0,Q_K:T0,5549,2822,2725,1842,0,1842,2,883,2822,2727,0.508560100919,0.491439899081,yes,yes,yes,yes,yes,yes
calibration,5,50,8,12800,33,8448,d5:r50:peven:b1,d5:r200:peven:b2,Q_K:T0,Q_K:T0,236,225,9,9,0,9,2,0,225,11,0.953389830508,0.046610169492,yes,yes,yes,yes,yes,yes
calibration,5,50,9,25600,33,16896,d5:r50:peven:b1,d5:r200:peven:b2,Q_K:T0,Q_K:T0,447,435,10,10,0,10,2,0,435,12,0.973154362416,0.026845637584,yes,yes,yes,yes,yes,yes
calibration,5,50,10,51200,33,33792,d5:r50:peven:b1,d5:r200:peven:b2,Q_K:T0,Q_K:T0,941,928,11,11,0,11,2,0,928,13,0.986184909671,0.013815090329,yes,yes,yes,yes,yes,yes
calibration,5,53,8,13568,35,8960,d5:r53:podd:b0,d5:r212:peven:b2,visible,d4:r35:podd:b0,4050,62,3986,2572,2572,0,2,1414,2634,1416,0.650370370370,0.349629629630,yes,yes,yes,yes,yes,yes
calibration,5,53,9,27136,35,17920,d5:r53:podd:b0,d5:r212:peven:b2,visible,d4:r35:podd:b0,7953,115,7836,5231,5231,0,2,2605,5346,2607,0.672199170124,0.327800829876,yes,yes,yes,yes,yes,yes
calibration,5,53,10,54272,35,35840,d5:r53:podd:b0,d5:r212:peven:b2,visible,d4:r35:podd:b0,15374,208,15164,10209,10209,0,2,4955,10417,4957,0.677572525042,0.322427474958,yes,yes,yes,yes,yes,yes
calibration,5,56,8,14336,37,9472,d5:r56:peven:b2,d5:r224:peven:b2,Q_K:T0,Q_K:T0,1368,150,1216,837,0,837,2,379,150,1218,0.109649122807,0.890350877193,yes,yes,yes,yes,yes,yes
calibration,5,56,9,28672,37,18944,d5:r56:peven:b2,d5:r224:peven:b2,Q_K:T0,Q_K:T0,3056,325,2729,1600,0,1600,2,1129,325,2731,0.106348167539,0.893651832461,yes,yes,yes,yes,yes,yes
calibration,5,56,10,57344,37,37888,d5:r56:peven:b2,d5:r224:peven:b2,Q_K:T0,Q_K:T0,6102,603,5497,3774,0,3774,2,1723,603,5499,0.098820058997,0.901179941003,yes,yes,yes,yes,yes,yes
calibration,5,59,8,15104,39,9984,d5:r59:podd:b0,d5:r236:peven:b2,Q_K:T0,Q_K:T0,542,531,9,9,0,9,2,0,531,11,0.979704797048,0.020295202952,yes,yes,yes,yes,yes,yes
calibration,5,59,9,30208,39,19968,d5:r59:podd:b0,d5:r236:peven:b2,Q_K:T0,Q_K:T0,1010,998,10,10,0,10,2,0,998,12,0.988118811881,0.011881188119,yes,yes,yes,yes,yes,yes
calibration,5,59,10,60416,39,39936,d5:r59:podd:b0,d5:r236:peven:b2,Q_K:T0,Q_K:T0,2166,2153,11,11,0,11,2,0,2153,13,0.993998153278,0.006001846722,yes,yes,yes,yes,yes,yes
calibration,5,62,8,15872,41,10496,d5:r62:peven:b1,d5:r5:peven:b2,visible,d4:r41:podd:b0,967,385,580,329,329,0,2,251,714,253,0.738366080662,0.261633919338,yes,yes,yes,yes,yes,yes
calibration,5,62,9,31744,41,20992,d5:r62:peven:b1,d5:r5:peven:b2,visible,d4:r41:podd:b0,1841,728,1111,750,750,0,2,361,1478,363,0.802824551874,0.197175448126,yes,yes,yes,yes,yes,yes
calibration,5,62,10,63488,41,41984,d5:r62:peven:b1,d5:r5:peven:b2,visible,d4:r41:podd:b0,3586,1446,2138,1437,1437,0,2,701,2883,703,0.803959843837,0.196040156163,yes,yes,yes,yes,yes,yes
