phase,K,a,y,x,c,x_phase_a,source_type,retarded_type,advanced_route,advanced_type_or_tail,target_count,retarded_visible_count,advanced_full_count,advanced_phase_a_count,advanced_visible_phase_a_count,advanced_tail_phase_a_count,atom_tail_count,phase_loss_tail_count,visible_total,q_total,capture_fraction,tail_fraction,partition_pass,disjoint_pass,phase_subset_pass,route_pass,denominator_pass,all_hooks_pass
calibration,5,5,8,1280,3,1152,d5:r5:podd:b0,d5:r20:peven:b2,Q_K:T0,Q_K:T0,474,463,9,9,0,9,2,0,463,11,0.976793248945,0.023206751055,yes,yes,yes,yes,yes,yes
calibration,5,5,9,2560,3,2304,d5:r5:podd:b0,d5:r20:peven:b2,Q_K:T0,Q_K:T0,934,922,10,10,0,10,2,0,922,12,0.987152034261,0.012847965739,yes,yes,yes,yes,yes,yes
calibration,5,5,10,5120,3,4608,d5:r5:podd:b0,d5:r20:peven:b2,Q_K:T0,Q_K:T0,3017,3004,11,11,0,11,2,0,3004,13,0.995691083858,0.004308916142,yes,yes,yes,yes,yes,yes
calibration,5,8,8,2048,5,1920,d5:r8:peven:b2,d5:r32:peven:b2,visible,d4:r5:podd:b0,807,91,714,677,677,0,2,37,768,39,0.951672862454,0.048327137546,yes,yes,yes,yes,yes,yes
calibration,5,8,9,4096,5,3840,d5:r8:peven:b2,d5:r32:peven:b2,visible,d4:r5:podd:b0,1597,165,1430,1320,1320,0,2,110,1485,112,0.929868503444,0.070131496556,yes,yes,yes,yes,yes,yes
calibration,5,8,10,8192,5,7680,d5:r8:peven:b2,d5:r32:peven:b2,visible,d4:r5:podd:b0,5087,353,4732,4455,4455,0,2,277,4808,279,0.945154314920,0.054845685080,yes,yes,yes,yes,yes,yes
calibration,5,11,8,2816,7,2688,d5:r11:podd:b0,d5:r44:peven:b2,Q_K:T0,Q_K:T0,723,450,271,260,0,260,2,11,450,273,0.622406639004,0.377593360996,yes,yes,yes,yes,yes,yes
calibration,5,11,9,5632,7,5376,d5:r11:podd:b0,d5:r44:peven:b2,Q_K:T0,Q_K:T0,1385,820,563,532,0,532,2,31,820,565,0.592057761733,0.407942238267,yes,yes,yes,yes,yes,yes
calibration,5,11,10,11264,7,10752,d5:r11:podd:b0,d5:r44:peven:b2,Q_K:T0,Q_K:T0,2728,1606,1120,1062,0,1062,2,58,1606,1122,0.588709677419,0.411290322581,yes,yes,yes,yes,yes,yes
calibration,5,14,8,3584,9,3456,d5:r14:peven:b1,d5:r56:peven:b2,Q_K:T0,Q_K:T0,342,331,9,9,0,9,2,0,331,11,0.967836257310,0.032163742690,yes,yes,yes,yes,yes,yes
