a,c,y,x,kind,raw_count,first_hit_count,discarded_count,discarded_fraction
5,3,8,1280,direct,9,9,0,0.0
5,3,8,1280,parityLift,8,8,0,0.0
8,5,8,2048,direct,474,474,0,0.0
8,5,8,2048,parityLift,464,464,0,0.0
11,7,8,2816,direct,174,174,0,0.0
11,7,8,2816,parityLift,173,173,0,0.0
14,9,8,3584,direct,9,9,0,0.0
14,9,8,3584,parityLift,8,8,0,0.0
17,11,8,4352,direct,723,723,0,0.0
17,11,8,4352,parityLift,451,451,0,0.0
20,13,8,5120,direct,960,960,0,0.0
20,13,8,5120,parityLift,959,959,0,0.0
23,15,8,5888,direct,9,9,0,0.0
23,15,8,5888,parityLift,8,8,0,0.0
26,17,8,6656,direct,1182,1182,0,0.0
26,17,8,6656,parityLift,81,81,0,0.0
29,19,8,7424,direct,500,500,0,0.0
29,19,8,7424,parityLift,499,499,0,0.0
32,21,8,8192,direct,9,9,0,0.0
32,21,8,8192,parityLift,8,8,0,0.0
35,23,8,8960,direct,1662,1662,0,0.0
35,23,8,8960,parityLift,1652,1652,0,0.0
38,25,8,9728,direct,115,115,0,0.0
38,25,8,9728,parityLift,114,114,0,0.0
41,27,8,10496,direct,9,9,0,0.0
41,27,8,10496,parityLift,8,8,0,0.0
44,29,8,11264,direct,1060,1060,0,0.0
44,29,8,11264,parityLift,307,307,0,0.0
47,31,8,12032,direct,444,444,0,0.0
47,31,8,12032,parityLift,443,443,0,0.0
50,33,8,12800,direct,9,9,0,0.0
50,33,8,12800,parityLift,8,8,0,0.0
53,35,8,13568,direct,2572,2572,0,0.0
53,35,8,13568,parityLift,89,89,0,0.0
56,37,8,14336,direct,837,837,0,0.0
56,37,8,14336,parityLift,836,836,0,0.0
59,39,8,15104,direct,9,9,0,0.0
59,39,8,15104,parityLift,8,8,0,0.0
62,41,8,15872,direct,329,329,0,0.0
62,41,8,15872,parityLift,319,319,0,0.0
65,43,8,16640,direct,436,436,0,0.0
65,43,8,16640,parityLift,435,435,0,0.0
68,45,8,17408,direct,9,9,0,0.0
68,45,8,17408,parityLift,8,8,0,0.0
71,47,8,18176,direct,1410,1410,0,0.0
71,47,8,18176,parityLift,734,734,0,0.0
74,49,8,18944,direct,841,841,0,0.0
74,49,8,18944,parityLift,840,840,0,0.0
77,51,8,19712,direct,9,9,0,0.0
77,51,8,19712,parityLift,8,8,0,0.0
80,53,8,20480,direct,4050,4050,0,0.0
80,53,8,20480,parityLift,63,63,0,0.0
83,55,8,21248,direct,386,386,0,0.0
83,55,8,21248,parityLift,385,385,0,0.0
86,57,8,22016,direct,9,9,0,0.0
86,57,8,22016,parityLift,8,8,0,0.0
89,59,8,22784,direct,542,542,0,0.0
89,59,8,22784,parityLift,532,532,0,0.0
92,61,8,23552,direct,4092,4092,0,0.0
92,61,8,23552,parityLift,4091,4091,0,0.0
95,63,8,24320,direct,9,9,0,0.0
95,63,8,24320,parityLift,8,8,0,0.0
98,65,8,25088,direct,1017,1017,0,0.0
98,65,8,25088,parityLift,411,411,0,0.0
101,67,8,25856,direct,748,748,0,0.0
101,67,8,25856,parityLift,747,747,0,0.0
104,69,8,26624,direct,9,9,0,0.0
104,69,8,26624,parityLift,8,8,0,0.0
107,71,8,27392,direct,2248,2248,0,0.0
107,71,8,27392,parityLift,128,128,0,0.0
110,73,8,28160,direct,422,422,0,0.0
110,73,8,28160,parityLift,421,421,0,0.0
113,75,8,28928,direct,9,9,0,0.0
113,75,8,28928,parityLift,8,8,0,0.0
116,77,8,29696,direct,583,583,0,0.0
116,77,8,29696,parityLift,573,573,0,0.0
119,79,8,30464,direct,107,107,0,0.0
119,79,8,30464,parityLift,106,106,0,0.0
122,81,8,31232,direct,9,9,0,0.0
122,81,8,31232,parityLift,8,8,0,0.0
125,83,8,32000,direct,802,802,0,0.0
125,83,8,32000,parityLift,210,210,0,0.0
