ordinal,source_local,target_local,channel
0,0,8,0
1,0,1,2
2,0,82,2
3,0,163,2
4,1,8,0
5,1,1,2
6,1,82,2
7,1,163,2
8,2,8,0
9,2,1,2
10,2,82,2
11,2,163,2
12,3,20,0
13,4,20,0
14,5,20,0
15,6,32,0
16,6,3,1
17,6,165,1
18,6,84,1
19,7,32,0
20,7,3,1
21,7,165,1
22,7,84,1
23,8,32,0
24,8,3,1
25,8,165,1
26,8,84,1
27,9,44,0
28,9,13,2
29,9,94,2
30,9,175,2
31,10,44,0
32,10,13,2
33,10,94,2
34,10,175,2
35,11,44,0
36,11,13,2
37,11,94,2
38,11,175,2
39,12,56,0
40,13,56,0
41,14,56,0
42,15,68,0
43,15,9,1
44,15,171,1
45,15,90,1
46,16,68,0
47,16,9,1
48,16,171,1
49,16,90,1
50,17,68,0
51,17,9,1
52,17,171,1
53,17,90,1
54,18,80,0
55,18,25,2
56,18,106,2
57,18,187,2
58,19,80,0
59,19,25,2
60,19,106,2
61,19,187,2
62,20,80,0
63,20,25,2
64,20,106,2
65,20,187,2
66,21,92,0
67,22,92,0
68,23,92,0
69,24,104,0
70,24,15,1
71,24,177,1
72,24,96,1
73,25,104,0
74,25,15,1
75,25,177,1
76,25,96,1
77,26,104,0
78,26,15,1
79,26,177,1
80,26,96,1
81,27,116,0
82,27,37,2
83,27,118,2
84,27,199,2
85,28,116,0
86,28,37,2
87,28,118,2
88,28,199,2
89,29,116,0
90,29,37,2
91,29,118,2
92,29,199,2
93,30,128,0
94,31,128,0
95,32,128,0
96,33,140,0
97,33,21,1
98,33,183,1
99,33,102,1
100,34,140,0
101,34,21,1
102,34,183,1
103,34,102,1
104,35,140,0
105,35,21,1
106,35,183,1
107,35,102,1
108,36,152,0
109,36,49,2
110,36,130,2
111,36,211,2
112,37,152,0
113,37,49,2
114,37,130,2
115,37,211,2
116,38,152,0
117,38,49,2
118,38,130,2
119,38,211,2
120,39,164,0
121,40,164,0
122,41,164,0
123,42,176,0
124,42,27,1
125,42,189,1
126,42,108,1
127,43,176,0
128,43,27,1
129,43,189,1
130,43,108,1
131,44,176,0
132,44,27,1
133,44,189,1
134,44,108,1
135,45,188,0
136,45,61,2
137,45,142,2
138,45,223,2
139,46,188,0
140,46,61,2
141,46,142,2
142,46,223,2
143,47,188,0
144,47,61,2
145,47,142,2
146,47,223,2
147,48,200,0
148,49,200,0
149,50,200,0
150,51,212,0
151,51,33,1
152,51,195,1
153,51,114,1
154,52,212,0
155,52,33,1
156,52,195,1
157,52,114,1
158,53,212,0
159,53,33,1
160,53,195,1
161,53,114,1
162,54,224,0
163,54,73,2
164,54,154,2
165,54,235,2
166,55,224,0
167,55,73,2
168,55,154,2
169,55,235,2
170,56,224,0
171,56,73,2
172,56,154,2
173,56,235,2
174,57,236,0
175,58,236,0
176,59,236,0
177,60,5,0
178,60,39,1
179,60,201,1
180,60,120,1
181,61,5,0
182,61,39,1
183,61,201,1
184,61,120,1
185,62,5,0
186,62,39,1
187,62,201,1
188,62,120,1
189,63,17,0
190,63,85,2
191,63,166,2
192,63,4,2
193,64,17,0
194,64,85,2
195,64,166,2
196,64,4,2
197,65,17,0
198,65,85,2
199,65,166,2
200,65,4,2
201,66,29,0
202,67,29,0
203,68,29,0
204,69,41,0
205,69,45,1
206,69,207,1
207,69,126,1
208,70,41,0
209,70,45,1
210,70,207,1
211,70,126,1
212,71,41,0
213,71,45,1
214,71,207,1
215,71,126,1
216,72,53,0
217,72,97,2
218,72,178,2
219,72,16,2
220,73,53,0
221,73,97,2
222,73,178,2
223,73,16,2
224,74,53,0
225,74,97,2
226,74,178,2
227,74,16,2
228,75,65,0
229,76,65,0
230,77,65,0
231,78,77,0
232,78,51,1
233,78,213,1
234,78,132,1
235,79,77,0
236,79,51,1
237,79,213,1
238,79,132,1
239,80,77,0
240,80,51,1
241,80,213,1
242,80,132,1
243,81,89,0
244,81,109,2
245,81,190,2
246,81,28,2
247,82,89,0
248,82,109,2
249,82,190,2
250,82,28,2
251,83,89,0
252,83,109,2
253,83,190,2
254,83,28,2
255,84,101,0
256,85,101,0
257,86,101,0
258,87,113,0
