ordinal,source_local,target_local,channel
486,162,170,0
487,162,217,2
488,162,55,2
489,162,136,2
490,163,170,0
491,163,217,2
492,163,55,2
493,163,136,2
494,164,170,0
495,164,217,2
496,164,55,2
497,164,136,2
498,165,182,0
499,166,182,0
500,167,182,0
501,168,194,0
502,168,111,1
503,168,30,1
504,168,192,1
505,169,194,0
506,169,111,1
507,169,30,1
508,169,192,1
509,170,194,0
510,170,111,1
511,170,30,1
512,170,192,1
513,171,206,0
514,171,229,2
515,171,67,2
516,171,148,2
517,172,206,0
518,172,229,2
519,172,67,2
520,172,148,2
521,173,206,0
522,173,229,2
523,173,67,2
524,173,148,2
525,174,218,0
526,175,218,0
527,176,218,0
528,177,230,0
529,177,117,1
530,177,36,1
531,177,198,1
532,178,230,0
533,178,117,1
534,178,36,1
535,178,198,1
536,179,230,0
537,179,117,1
538,179,36,1
539,179,198,1
540,180,242,0
541,180,241,2
542,180,79,2
543,180,160,2
544,181,242,0
545,181,241,2
546,181,79,2
547,181,160,2
548,182,242,0
549,182,241,2
550,182,79,2
551,182,160,2
552,183,11,0
553,184,11,0
554,185,11,0
555,186,23,0
556,186,123,1
557,186,42,1
558,186,204,1
559,187,23,0
560,187,123,1
561,187,42,1
562,187,204,1
563,188,23,0
564,188,123,1
565,188,42,1
566,188,204,1
