core_local_id,state,weight,right_Mw_ratio,left_wM_ratio,right_pass,left_pass
0,d5:r2:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
1,d5:r2:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
2,d5:r2:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
3,d5:r5:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
4,d5:r5:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
5,d5:r5:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
6,d5:r8:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
7,d5:r8:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
8,d5:r8:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
9,d5:r11:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
10,d5:r11:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
11,d5:r11:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
12,d5:r14:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
13,d5:r14:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
14,d5:r14:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
15,d5:r17:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
16,d5:r17:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
17,d5:r17:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
18,d5:r20:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
19,d5:r20:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
20,d5:r20:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
21,d5:r23:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
22,d5:r23:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
23,d5:r23:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
24,d5:r26:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
25,d5:r26:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
26,d5:r26:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
27,d5:r29:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
28,d5:r29:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
29,d5:r29:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
30,d5:r32:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
31,d5:r32:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
32,d5:r32:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
33,d5:r35:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
34,d5:r35:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
35,d5:r35:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
36,d5:r38:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
37,d5:r38:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
38,d5:r38:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
39,d5:r41:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
40,d5:r41:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
41,d5:r41:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
42,d5:r44:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
43,d5:r44:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
44,d5:r44:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
45,d5:r47:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
46,d5:r47:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
47,d5:r47:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
48,d5:r50:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
49,d5:r50:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
50,d5:r50:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
51,d5:r53:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
52,d5:r53:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
53,d5:r53:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
54,d5:r56:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
55,d5:r56:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
56,d5:r56:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
57,d5:r59:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
58,d5:r59:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
59,d5:r59:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
60,d5:r62:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
61,d5:r62:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
62,d5:r62:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
63,d5:r65:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
64,d5:r65:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
65,d5:r65:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
66,d5:r68:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
67,d5:r68:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
68,d5:r68:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
69,d5:r71:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
70,d5:r71:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
71,d5:r71:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
72,d5:r74:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
73,d5:r74:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
74,d5:r74:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
75,d5:r77:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
76,d5:r77:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
77,d5:r77:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
78,d5:r80:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
79,d5:r80:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
80,d5:r80:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
81,d5:r83:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
82,d5:r83:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
83,d5:r83:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
84,d5:r86:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
85,d5:r86:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
86,d5:r86:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
87,d5:r89:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
88,d5:r89:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
89,d5:r89:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
90,d5:r92:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
91,d5:r92:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
92,d5:r92:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
93,d5:r95:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
94,d5:r95:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
95,d5:r95:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
96,d5:r98:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
97,d5:r98:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
98,d5:r98:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
99,d5:r101:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
100,d5:r101:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
101,d5:r101:peven:b2,3.664000000000000156e-03,9.619386884084496492e-01,1.029601686515084991e+00,no,yes
102,d5:r104:podd:b0,5.581000000000000023e-03,2.006213084228249954e-01,1.029582817727073607e+00,no,yes
103,d5:r104:peven:b1,3.099999999999999891e-03,3.611830717121891077e-01,1.029767330776845347e+00,no,yes
104,d5:r104:peven:b2,3.664000000000000156e-03,3.055861141669722336e-01,1.029601686515084991e+00,no,yes
105,d5:r107:podd:b0,5.581000000000000023e-03,1.597000823789725965e+00,1.029582817727073607e+00,yes,yes
106,d5:r107:peven:b1,3.099999999999999891e-03,2.875116644377567532e+00,1.029767330776845347e+00,yes,yes
107,d5:r107:peven:b2,3.664000000000000156e-03,2.432549562655692998e+00,1.029601686515084991e+00,yes,yes
108,d5:r110:podd:b0,5.581000000000000023e-03,6.315254173675971527e-01,1.029582817727073607e+00,no,yes
109,d5:r110:peven:b1,3.099999999999999891e-03,1.136949469138245128e+00,1.029767330776845347e+00,yes,yes
