source_id,source,branch,target,target_id,multiplicity_fraction,route,rule_derived
0,d1:r0:podd:b0,retarded,d1:r0:peven:b2,2,1,VISIBLE,yes
1,d1:r0:peven:b1,retarded,d1:r0:peven:b2,2,1,VISIBLE,yes
2,d1:r0:peven:b2,retarded,d1:r0:peven:b2,2,1,VISIBLE,yes
3,d1:r1:podd:b0,retarded,d1:r1:peven:b2,5,1,VISIBLE,yes
4,d1:r1:peven:b1,retarded,d1:r1:peven:b2,5,1,VISIBLE,yes
5,d1:r1:peven:b2,retarded,d1:r1:peven:b2,5,1,VISIBLE,yes
6,d1:r2:podd:b0,retarded,d1:r2:peven:b2,8,1,VISIBLE,yes
6,d1:r2:podd:b0,advanced,Q_K:DEPTH_ZERO,,1,TAIL_DEPTH_ZERO,yes
7,d1:r2:peven:b1,retarded,d1:r2:peven:b2,8,1,VISIBLE,yes
7,d1:r2:peven:b1,advanced,Q_K:DEPTH_ZERO,,1,TAIL_DEPTH_ZERO,yes
8,d1:r2:peven:b2,retarded,d1:r2:peven:b2,8,1,VISIBLE,yes
8,d1:r2:peven:b2,advanced,Q_K:DEPTH_ZERO,,1,TAIL_DEPTH_ZERO,yes
9,d2:r0:podd:b0,retarded,d2:r0:peven:b2,11,1,VISIBLE,yes
10,d2:r0:peven:b1,retarded,d2:r0:peven:b2,11,1,VISIBLE,yes
11,d2:r0:peven:b2,retarded,d2:r0:peven:b2,11,1,VISIBLE,yes
12,d2:r1:podd:b0,retarded,d2:r4:peven:b2,23,1,VISIBLE,yes
13,d2:r1:peven:b1,retarded,d2:r4:peven:b2,23,1,VISIBLE,yes
14,d2:r1:peven:b2,retarded,d2:r4:peven:b2,23,1,VISIBLE,yes
15,d2:r2:podd:b0,retarded,d2:r8:peven:b2,35,1,VISIBLE,yes
15,d2:r2:podd:b0,advanced,d1:r1:podd:b0,3,1/1,VISIBLE,yes
16,d2:r2:peven:b1,retarded,d2:r8:peven:b2,35,1,VISIBLE,yes
16,d2:r2:peven:b1,advanced,d1:r1:podd:b0,3,1/1,VISIBLE,yes
17,d2:r2:peven:b2,retarded,d2:r8:peven:b2,35,1,VISIBLE,yes
17,d2:r2:peven:b2,advanced,d1:r1:podd:b0,3,1/1,VISIBLE,yes
18,d2:r3:podd:b0,retarded,d2:r3:peven:b2,20,1,VISIBLE,yes
19,d2:r3:peven:b1,retarded,d2:r3:peven:b2,20,1,VISIBLE,yes
20,d2:r3:peven:b2,retarded,d2:r3:peven:b2,20,1,VISIBLE,yes
21,d2:r4:podd:b0,retarded,d2:r7:peven:b2,32,1,VISIBLE,yes
22,d2:r4:peven:b1,retarded,d2:r7:peven:b2,32,1,VISIBLE,yes
23,d2:r4:peven:b2,retarded,d2:r7:peven:b2,32,1,VISIBLE,yes
24,d2:r5:podd:b0,retarded,d2:r2:peven:b2,17,1,VISIBLE,yes
24,d2:r5:podd:b0,advanced,d1:r0:podd:b0,0,1/1,VISIBLE,yes
25,d2:r5:peven:b1,retarded,d2:r2:peven:b2,17,1,VISIBLE,yes
25,d2:r5:peven:b1,advanced,d1:r0:podd:b0,0,1/1,VISIBLE,yes
26,d2:r5:peven:b2,retarded,d2:r2:peven:b2,17,1,VISIBLE,yes
26,d2:r5:peven:b2,advanced,d1:r0:podd:b0,0,1/1,VISIBLE,yes
27,d2:r6:podd:b0,retarded,d2:r6:peven:b2,29,1,VISIBLE,yes
28,d2:r6:peven:b1,retarded,d2:r6:peven:b2,29,1,VISIBLE,yes
29,d2:r6:peven:b2,retarded,d2:r6:peven:b2,29,1,VISIBLE,yes
30,d2:r7:podd:b0,retarded,d2:r1:peven:b2,14,1,VISIBLE,yes
31,d2:r7:peven:b1,retarded,d2:r1:peven:b2,14,1,VISIBLE,yes
32,d2:r7:peven:b2,retarded,d2:r1:peven:b2,14,1,VISIBLE,yes
33,d2:r8:podd:b0,retarded,d2:r5:peven:b2,26,1,VISIBLE,yes
33,d2:r8:podd:b0,advanced,d1:r2:podd:b0,6,1/1,VISIBLE,yes
34,d2:r8:peven:b1,retarded,d2:r5:peven:b2,26,1,VISIBLE,yes
34,d2:r8:peven:b1,advanced,d1:r2:podd:b0,6,1/1,VISIBLE,yes
35,d2:r8:peven:b2,retarded,d2:r5:peven:b2,26,1,VISIBLE,yes
35,d2:r8:peven:b2,advanced,d1:r2:podd:b0,6,1/1,VISIBLE,yes
36,d3:r0:podd:b0,retarded,d3:r0:peven:b2,38,1,VISIBLE,yes
37,d3:r0:peven:b1,retarded,d3:r0:peven:b2,38,1,VISIBLE,yes
38,d3:r0:peven:b2,retarded,d3:r0:peven:b2,38,1,VISIBLE,yes
39,d3:r1:podd:b0,retarded,d3:r4:peven:b2,50,1,VISIBLE,yes
40,d3:r1:peven:b1,retarded,d3:r4:peven:b2,50,1,VISIBLE,yes
41,d3:r1:peven:b2,retarded,d3:r4:peven:b2,50,1,VISIBLE,yes
42,d3:r2:podd:b0,retarded,d3:r8:peven:b2,62,1,VISIBLE,yes
42,d3:r2:podd:b0,advanced,d2:r1:podd:b0,12,1/1,VISIBLE,yes
43,d3:r2:peven:b1,retarded,d3:r8:peven:b2,62,1,VISIBLE,yes
43,d3:r2:peven:b1,advanced,d2:r1:podd:b0,12,1/1,VISIBLE,yes
44,d3:r2:peven:b2,retarded,d3:r8:peven:b2,62,1,VISIBLE,yes
44,d3:r2:peven:b2,advanced,d2:r1:podd:b0,12,1/1,VISIBLE,yes
45,d3:r3:podd:b0,retarded,d3:r12:peven:b2,74,1,VISIBLE,yes
46,d3:r3:peven:b1,retarded,d3:r12:peven:b2,74,1,VISIBLE,yes
47,d3:r3:peven:b2,retarded,d3:r12:peven:b2,74,1,VISIBLE,yes
48,d3:r4:podd:b0,retarded,d3:r16:peven:b2,86,1,VISIBLE,yes
49,d3:r4:peven:b1,retarded,d3:r16:peven:b2,86,1,VISIBLE,yes
50,d3:r4:peven:b2,retarded,d3:r16:peven:b2,86,1,VISIBLE,yes
51,d3:r5:podd:b0,retarded,d3:r20:peven:b2,98,1,VISIBLE,yes
51,d3:r5:podd:b0,advanced,d2:r3:podd:b0,18,1/1,VISIBLE,yes
52,d3:r5:peven:b1,retarded,d3:r20:peven:b2,98,1,VISIBLE,yes
52,d3:r5:peven:b1,advanced,d2:r3:podd:b0,18,1/1,VISIBLE,yes
53,d3:r5:peven:b2,retarded,d3:r20:peven:b2,98,1,VISIBLE,yes
53,d3:r5:peven:b2,advanced,d2:r3:podd:b0,18,1/1,VISIBLE,yes
54,d3:r6:podd:b0,retarded,d3:r24:peven:b2,110,1,VISIBLE,yes
55,d3:r6:peven:b1,retarded,d3:r24:peven:b2,110,1,VISIBLE,yes
