state_id,state,depth,residue,parity,nu2_bucket,has_advanced_branch,naive_visible_column_sum
0,d1:r0:podd:b0,1,0,odd,0,no,1/1
1,d1:r0:peven:b1,1,0,even,1,no,1/1
2,d1:r0:peven:b2,1,0,even,2,no,1/1
3,d1:r1:podd:b0,1,1,odd,0,no,1/1
4,d1:r1:peven:b1,1,1,even,1,no,1/1
5,d1:r1:peven:b2,1,1,even,2,no,1/1
6,d1:r2:podd:b0,1,2,odd,0,yes,1/1
7,d1:r2:peven:b1,1,2,even,1,yes,1/1
8,d1:r2:peven:b2,1,2,even,2,yes,1/1
9,d2:r0:podd:b0,2,0,odd,0,no,1/1
10,d2:r0:peven:b1,2,0,even,1,no,1/1
11,d2:r0:peven:b2,2,0,even,2,no,1/1
12,d2:r1:podd:b0,2,1,odd,0,no,1/1
13,d2:r1:peven:b1,2,1,even,1,no,1/1
14,d2:r1:peven:b2,2,1,even,2,no,1/1
15,d2:r2:podd:b0,2,2,odd,0,yes,2/1
16,d2:r2:peven:b1,2,2,even,1,yes,2/1
17,d2:r2:peven:b2,2,2,even,2,yes,2/1
18,d2:r3:podd:b0,2,3,odd,0,no,1/1
19,d2:r3:peven:b1,2,3,even,1,no,1/1
20,d2:r3:peven:b2,2,3,even,2,no,1/1
21,d2:r4:podd:b0,2,4,odd,0,no,1/1
22,d2:r4:peven:b1,2,4,even,1,no,1/1
23,d2:r4:peven:b2,2,4,even,2,no,1/1
24,d2:r5:podd:b0,2,5,odd,0,yes,2/1
25,d2:r5:peven:b1,2,5,even,1,yes,2/1
26,d2:r5:peven:b2,2,5,even,2,yes,2/1
27,d2:r6:podd:b0,2,6,odd,0,no,1/1
28,d2:r6:peven:b1,2,6,even,1,no,1/1
29,d2:r6:peven:b2,2,6,even,2,no,1/1
30,d2:r7:podd:b0,2,7,odd,0,no,1/1
31,d2:r7:peven:b1,2,7,even,1,no,1/1
32,d2:r7:peven:b2,2,7,even,2,no,1/1
33,d2:r8:podd:b0,2,8,odd,0,yes,2/1
34,d2:r8:peven:b1,2,8,even,1,yes,2/1
35,d2:r8:peven:b2,2,8,even,2,yes,2/1
36,d3:r0:podd:b0,3,0,odd,0,no,1/1
37,d3:r0:peven:b1,3,0,even,1,no,1/1
38,d3:r0:peven:b2,3,0,even,2,no,1/1
39,d3:r1:podd:b0,3,1,odd,0,no,1/1
40,d3:r1:peven:b1,3,1,even,1,no,1/1
41,d3:r1:peven:b2,3,1,even,2,no,1/1
42,d3:r2:podd:b0,3,2,odd,0,yes,2/1
43,d3:r2:peven:b1,3,2,even,1,yes,2/1
44,d3:r2:peven:b2,3,2,even,2,yes,2/1
45,d3:r3:podd:b0,3,3,odd,0,no,1/1
46,d3:r3:peven:b1,3,3,even,1,no,1/1
47,d3:r3:peven:b2,3,3,even,2,no,1/1
48,d3:r4:podd:b0,3,4,odd,0,no,1/1
49,d3:r4:peven:b1,3,4,even,1,no,1/1
50,d3:r4:peven:b2,3,4,even,2,no,1/1
51,d3:r5:podd:b0,3,5,odd,0,yes,2/1
52,d3:r5:peven:b1,3,5,even,1,yes,2/1
53,d3:r5:peven:b2,3,5,even,2,yes,2/1
54,d3:r6:podd:b0,3,6,odd,0,no,1/1
55,d3:r6:peven:b1,3,6,even,1,no,1/1
56,d3:r6:peven:b2,3,6,even,2,no,1/1
57,d3:r7:podd:b0,3,7,odd,0,no,1/1
58,d3:r7:peven:b1,3,7,even,1,no,1/1
59,d3:r7:peven:b2,3,7,even,2,no,1/1
60,d3:r8:podd:b0,3,8,odd,0,yes,2/1
61,d3:r8:peven:b1,3,8,even,1,yes,2/1
62,d3:r8:peven:b2,3,8,even,2,yes,2/1
63,d3:r9:podd:b0,3,9,odd,0,no,1/1
64,d3:r9:peven:b1,3,9,even,1,no,1/1
65,d3:r9:peven:b2,3,9,even,2,no,1/1
66,d3:r10:podd:b0,3,10,odd,0,no,1/1
67,d3:r10:peven:b1,3,10,even,1,no,1/1
68,d3:r10:peven:b2,3,10,even,2,no,1/1
69,d3:r11:podd:b0,3,11,odd,0,yes,2/1
70,d3:r11:peven:b1,3,11,even,1,yes,2/1
71,d3:r11:peven:b2,3,11,even,2,yes,2/1
72,d3:r12:podd:b0,3,12,odd,0,no,1/1
73,d3:r12:peven:b1,3,12,even,1,no,1/1
74,d3:r12:peven:b2,3,12,even,2,no,1/1
75,d3:r13:podd:b0,3,13,odd,0,no,1/1
76,d3:r13:peven:b1,3,13,even,1,no,1/1
77,d3:r13:peven:b2,3,13,even,2,no,1/1
78,d3:r14:podd:b0,3,14,odd,0,yes,2/1
79,d3:r14:peven:b1,3,14,even,1,yes,2/1
80,d3:r14:peven:b2,3,14,even,2,yes,2/1
81,d3:r15:podd:b0,3,15,odd,0,no,1/1
82,d3:r15:peven:b1,3,15,even,1,no,1/1
83,d3:r15:peven:b2,3,15,even,2,no,1/1
84,d3:r16:podd:b0,3,16,odd,0,no,1/1
85,d3:r16:peven:b1,3,16,even,1,no,1/1
86,d3:r16:peven:b2,3,16,even,2,no,1/1
87,d3:r17:podd:b0,3,17,odd,0,yes,2/1
88,d3:r17:peven:b1,3,17,even,1,yes,2/1
89,d3:r17:peven:b2,3,17,even,2,yes,2/1
90,d3:r18:podd:b0,3,18,odd,0,no,1/1
91,d3:r18:peven:b1,3,18,even,1,no,1/1
92,d3:r18:peven:b2,3,18,even,2,no,1/1
93,d3:r19:podd:b0,3,19,odd,0,no,1/1
94,d3:r19:peven:b1,3,19,even,1,no,1/1
95,d3:r19:peven:b2,3,19,even,2,no,1/1
96,d3:r20:podd:b0,3,20,odd,0,yes,2/1
97,d3:r20:peven:b1,3,20,even,1,yes,2/1
98,d3:r20:peven:b2,3,20,even,2,yes,2/1
99,d3:r21:podd:b0,3,21,odd,0,no,1/1
100,d3:r21:peven:b1,3,21,even,1,no,1/1
101,d3:r21:peven:b2,3,21,even,2,no,1/1
102,d3:r22:podd:b0,3,22,odd,0,no,1/1
103,d3:r22:peven:b1,3,22,even,1,no,1/1
104,d3:r22:peven:b2,3,22,even,2,no,1/1
105,d3:r23:podd:b0,3,23,odd,0,yes,2/1
106,d3:r23:peven:b1,3,23,even,1,yes,2/1
107,d3:r23:peven:b2,3,23,even,2,yes,2/1
108,d3:r24:podd:b0,3,24,odd,0,no,1/1
109,d3:r24:peven:b1,3,24,even,1,no,1/1
110,d3:r24:peven:b2,3,24,even,2,no,1/1
111,d3:r25:podd:b0,3,25,odd,0,no,1/1
112,d3:r25:peven:b1,3,25,even,1,no,1/1
113,d3:r25:peven:b2,3,25,even,2,no,1/1
114,d3:r26:podd:b0,3,26,odd,0,yes,2/1
115,d3:r26:peven:b1,3,26,even,1,yes,2/1
116,d3:r26:peven:b2,3,26,even,2,yes,2/1
117,d4:r0:podd:b0,4,0,odd,0,no,1/1
118,d4:r0:peven:b1,4,0,even,1,no,1/1
119,d4:r0:peven:b2,4,0,even,2,no,1/1
120,d4:r1:podd:b0,4,1,odd,0,no,1/1
121,d4:r1:peven:b1,4,1,even,1,no,1/1
122,d4:r1:peven:b2,4,1,even,2,no,1/1
123,d4:r2:podd:b0,4,2,odd,0,yes,2/1
124,d4:r2:peven:b1,4,2,even,1,yes,2/1
125,d4:r2:peven:b2,4,2,even,2,yes,2/1
126,d4:r3:podd:b0,4,3,odd,0,no,1/1
127,d4:r3:peven:b1,4,3,even,1,no,1/1
128,d4:r3:peven:b2,4,3,even,2,no,1/1
129,d4:r4:podd:b0,4,4,odd,0,no,1/1
130,d4:r4:peven:b1,4,4,even,1,no,1/1
131,d4:r4:peven:b2,4,4,even,2,no,1/1
132,d4:r5:podd:b0,4,5,odd,0,yes,2/1
133,d4:r5:peven:b1,4,5,even,1,yes,2/1
134,d4:r5:peven:b2,4,5,even,2,yes,2/1
135,d4:r6:podd:b0,4,6,odd,0,no,1/1
136,d4:r6:peven:b1,4,6,even,1,no,1/1
137,d4:r6:peven:b2,4,6,even,2,no,1/1
138,d4:r7:podd:b0,4,7,odd,0,no,1/1
139,d4:r7:peven:b1,4,7,even,1,no,1/1
140,d4:r7:peven:b2,4,7,even,2,no,1/1
141,d4:r8:podd:b0,4,8,odd,0,yes,2/1
142,d4:r8:peven:b1,4,8,even,1,yes,2/1
143,d4:r8:peven:b2,4,8,even,2,yes,2/1
144,d4:r9:podd:b0,4,9,odd,0,no,1/1
145,d4:r9:peven:b1,4,9,even,1,no,1/1
146,d4:r9:peven:b2,4,9,even,2,no,1/1
147,d4:r10:podd:b0,4,10,odd,0,no,1/1
148,d4:r10:peven:b1,4,10,even,1,no,1/1
149,d4:r10:peven:b2,4,10,even,2,no,1/1
150,d4:r11:podd:b0,4,11,odd,0,yes,2/1
151,d4:r11:peven:b1,4,11,even,1,yes,2/1
152,d4:r11:peven:b2,4,11,even,2,yes,2/1
153,d4:r12:podd:b0,4,12,odd,0,no,1/1
154,d4:r12:peven:b1,4,12,even,1,no,1/1
155,d4:r12:peven:b2,4,12,even,2,no,1/1
156,d4:r13:podd:b0,4,13,odd,0,no,1/1
157,d4:r13:peven:b1,4,13,even,1,no,1/1
158,d4:r13:peven:b2,4,13,even,2,no,1/1
159,d4:r14:podd:b0,4,14,odd,0,yes,2/1
160,d4:r14:peven:b1,4,14,even,1,yes,2/1
161,d4:r14:peven:b2,4,14,even,2,yes,2/1
162,d4:r15:podd:b0,4,15,odd,0,no,1/1
163,d4:r15:peven:b1,4,15,even,1,no,1/1
164,d4:r15:peven:b2,4,15,even,2,no,1/1
165,d4:r16:podd:b0,4,16,odd,0,no,1/1
166,d4:r16:peven:b1,4,16,even,1,no,1/1
167,d4:r16:peven:b2,4,16,even,2,no,1/1
168,d4:r17:podd:b0,4,17,odd,0,yes,2/1
169,d4:r17:peven:b1,4,17,even,1,yes,2/1
170,d4:r17:peven:b2,4,17,even,2,yes,2/1
171,d4:r18:podd:b0,4,18,odd,0,no,1/1
172,d4:r18:peven:b1,4,18,even,1,no,1/1
173,d4:r18:peven:b2,4,18,even,2,no,1/1
174,d4:r19:podd:b0,4,19,odd,0,no,1/1
175,d4:r19:peven:b1,4,19,even,1,no,1/1
176,d4:r19:peven:b2,4,19,even,2,no,1/1
177,d4:r20:podd:b0,4,20,odd,0,yes,2/1
178,d4:r20:peven:b1,4,20,even,1,yes,2/1
179,d4:r20:peven:b2,4,20,even,2,yes,2/1
180,d4:r21:podd:b0,4,21,odd,0,no,1/1
181,d4:r21:peven:b1,4,21,even,1,no,1/1
182,d4:r21:peven:b2,4,21,even,2,no,1/1
183,d4:r22:podd:b0,4,22,odd,0,no,1/1
184,d4:r22:peven:b1,4,22,even,1,no,1/1
185,d4:r22:peven:b2,4,22,even,2,no,1/1
186,d4:r23:podd:b0,4,23,odd,0,yes,2/1
187,d4:r23:peven:b1,4,23,even,1,yes,2/1
188,d4:r23:peven:b2,4,23,even,2,yes,2/1
189,d4:r24:podd:b0,4,24,odd,0,no,1/1
190,d4:r24:peven:b1,4,24,even,1,no,1/1
191,d4:r24:peven:b2,4,24,even,2,no,1/1
192,d4:r25:podd:b0,4,25,odd,0,no,1/1
193,d4:r25:peven:b1,4,25,even,1,no,1/1
194,d4:r25:peven:b2,4,25,even,2,no,1/1
195,d4:r26:podd:b0,4,26,odd,0,yes,2/1
196,d4:r26:peven:b1,4,26,even,1,yes,2/1
197,d4:r26:peven:b2,4,26,even,2,yes,2/1
198,d4:r27:podd:b0,4,27,odd,0,no,1/1
199,d4:r27:peven:b1,4,27,even,1,no,1/1
200,d4:r27:peven:b2,4,27,even,2,no,1/1
201,d4:r28:podd:b0,4,28,odd,0,no,1/1
202,d4:r28:peven:b1,4,28,even,1,no,1/1
203,d4:r28:peven:b2,4,28,even,2,no,1/1
204,d4:r29:podd:b0,4,29,odd,0,yes,2/1
205,d4:r29:peven:b1,4,29,even,1,yes,2/1
206,d4:r29:peven:b2,4,29,even,2,yes,2/1
207,d4:r30:podd:b0,4,30,odd,0,no,1/1
208,d4:r30:peven:b1,4,30,even,1,no,1/1
209,d4:r30:peven:b2,4,30,even,2,no,1/1
210,d4:r31:podd:b0,4,31,odd,0,no,1/1
211,d4:r31:peven:b1,4,31,even,1,no,1/1
212,d4:r31:peven:b2,4,31,even,2,no,1/1
213,d4:r32:podd:b0,4,32,odd,0,yes,2/1
214,d4:r32:peven:b1,4,32,even,1,yes,2/1
215,d4:r32:peven:b2,4,32,even,2,yes,2/1
216,d4:r33:podd:b0,4,33,odd,0,no,1/1
217,d4:r33:peven:b1,4,33,even,1,no,1/1
218,d4:r33:peven:b2,4,33,even,2,no,1/1
219,d4:r34:podd:b0,4,34,odd,0,no,1/1
220,d4:r34:peven:b1,4,34,even,1,no,1/1
221,d4:r34:peven:b2,4,34,even,2,no,1/1
222,d4:r35:podd:b0,4,35,odd,0,yes,2/1
223,d4:r35:peven:b1,4,35,even,1,yes,2/1
224,d4:r35:peven:b2,4,35,even,2,yes,2/1
225,d4:r36:podd:b0,4,36,odd,0,no,1/1
226,d4:r36:peven:b1,4,36,even,1,no,1/1
227,d4:r36:peven:b2,4,36,even,2,no,1/1
228,d4:r37:podd:b0,4,37,odd,0,no,1/1
229,d4:r37:peven:b1,4,37,even,1,no,1/1
230,d4:r37:peven:b2,4,37,even,2,no,1/1
231,d4:r38:podd:b0,4,38,odd,0,yes,2/1
232,d4:r38:peven:b1,4,38,even,1,yes,2/1
233,d4:r38:peven:b2,4,38,even,2,yes,2/1
234,d4:r39:podd:b0,4,39,odd,0,no,1/1
235,d4:r39:peven:b1,4,39,even,1,no,1/1
236,d4:r39:peven:b2,4,39,even,2,no,1/1
237,d4:r40:podd:b0,4,40,odd,0,no,1/1
238,d4:r40:peven:b1,4,40,even,1,no,1/1
239,d4:r40:peven:b2,4,40,even,2,no,1/1
240,d4:r41:podd:b0,4,41,odd,0,yes,2/1
241,d4:r41:peven:b1,4,41,even,1,yes,2/1
242,d4:r41:peven:b2,4,41,even,2,yes,2/1
243,d4:r42:podd:b0,4,42,odd,0,no,1/1
244,d4:r42:peven:b1,4,42,even,1,no,1/1
245,d4:r42:peven:b2,4,42,even,2,no,1/1
246,d4:r43:podd:b0,4,43,odd,0,no,1/1
247,d4:r43:peven:b1,4,43,even,1,no,1/1
248,d4:r43:peven:b2,4,43,even,2,no,1/1
249,d4:r44:podd:b0,4,44,odd,0,yes,2/1
250,d4:r44:peven:b1,4,44,even,1,yes,2/1
251,d4:r44:peven:b2,4,44,even,2,yes,2/1
252,d4:r45:podd:b0,4,45,odd,0,no,1/1
253,d4:r45:peven:b1,4,45,even,1,no,1/1
254,d4:r45:peven:b2,4,45,even,2,no,1/1
255,d4:r46:podd:b0,4,46,odd,0,no,1/1
256,d4:r46:peven:b1,4,46,even,1,no,1/1
257,d4:r46:peven:b2,4,46,even,2,no,1/1
258,d4:r47:podd:b0,4,47,odd,0,yes,2/1
259,d4:r47:peven:b1,4,47,even,1,yes,2/1
260,d4:r47:peven:b2,4,47,even,2,yes,2/1
261,d4:r48:podd:b0,4,48,odd,0,no,1/1
262,d4:r48:peven:b1,4,48,even,1,no,1/1
263,d4:r48:peven:b2,4,48,even,2,no,1/1
264,d4:r49:podd:b0,4,49,odd,0,no,1/1
265,d4:r49:peven:b1,4,49,even,1,no,1/1
266,d4:r49:peven:b2,4,49,even,2,no,1/1
267,d4:r50:podd:b0,4,50,odd,0,yes,2/1
268,d4:r50:peven:b1,4,50,even,1,yes,2/1
269,d4:r50:peven:b2,4,50,even,2,yes,2/1
270,d4:r51:podd:b0,4,51,odd,0,no,1/1
271,d4:r51:peven:b1,4,51,even,1,no,1/1
272,d4:r51:peven:b2,4,51,even,2,no,1/1
273,d4:r52:podd:b0,4,52,odd,0,no,1/1
274,d4:r52:peven:b1,4,52,even,1,no,1/1
275,d4:r52:peven:b2,4,52,even,2,no,1/1
276,d4:r53:podd:b0,4,53,odd,0,yes,2/1
277,d4:r53:peven:b1,4,53,even,1,yes,2/1
278,d4:r53:peven:b2,4,53,even,2,yes,2/1
279,d4:r54:podd:b0,4,54,odd,0,no,1/1
280,d4:r54:peven:b1,4,54,even,1,no,1/1
281,d4:r54:peven:b2,4,54,even,2,no,1/1
282,d4:r55:podd:b0,4,55,odd,0,no,1/1
283,d4:r55:peven:b1,4,55,even,1,no,1/1
284,d4:r55:peven:b2,4,55,even,2,no,1/1
285,d4:r56:podd:b0,4,56,odd,0,yes,2/1
286,d4:r56:peven:b1,4,56,even,1,yes,2/1
287,d4:r56:peven:b2,4,56,even,2,yes,2/1
288,d4:r57:podd:b0,4,57,odd,0,no,1/1
289,d4:r57:peven:b1,4,57,even,1,no,1/1
290,d4:r57:peven:b2,4,57,even,2,no,1/1
291,d4:r58:podd:b0,4,58,odd,0,no,1/1
292,d4:r58:peven:b1,4,58,even,1,no,1/1
293,d4:r58:peven:b2,4,58,even,2,no,1/1
294,d4:r59:podd:b0,4,59,odd,0,yes,2/1
295,d4:r59:peven:b1,4,59,even,1,yes,2/1
296,d4:r59:peven:b2,4,59,even,2,yes,2/1
297,d4:r60:podd:b0,4,60,odd,0,no,1/1
298,d4:r60:peven:b1,4,60,even,1,no,1/1
299,d4:r60:peven:b2,4,60,even,2,no,1/1
300,d4:r61:podd:b0,4,61,odd,0,no,1/1
301,d4:r61:peven:b1,4,61,even,1,no,1/1
302,d4:r61:peven:b2,4,61,even,2,no,1/1
303,d4:r62:podd:b0,4,62,odd,0,yes,2/1
304,d4:r62:peven:b1,4,62,even,1,yes,2/1
305,d4:r62:peven:b2,4,62,even,2,yes,2/1
306,d4:r63:podd:b0,4,63,odd,0,no,1/1
307,d4:r63:peven:b1,4,63,even,1,no,1/1
308,d4:r63:peven:b2,4,63,even,2,no,1/1
309,d4:r64:podd:b0,4,64,odd,0,no,1/1
310,d4:r64:peven:b1,4,64,even,1,no,1/1
311,d4:r64:peven:b2,4,64,even,2,no,1/1
312,d4:r65:podd:b0,4,65,odd,0,yes,2/1
313,d4:r65:peven:b1,4,65,even,1,yes,2/1
314,d4:r65:peven:b2,4,65,even,2,yes,2/1
315,d4:r66:podd:b0,4,66,odd,0,no,1/1
316,d4:r66:peven:b1,4,66,even,1,no,1/1
317,d4:r66:peven:b2,4,66,even,2,no,1/1
318,d4:r67:podd:b0,4,67,odd,0,no,1/1
319,d4:r67:peven:b1,4,67,even,1,no,1/1
320,d4:r67:peven:b2,4,67,even,2,no,1/1
321,d4:r68:podd:b0,4,68,odd,0,yes,2/1
322,d4:r68:peven:b1,4,68,even,1,yes,2/1
323,d4:r68:peven:b2,4,68,even,2,yes,2/1
324,d4:r69:podd:b0,4,69,odd,0,no,1/1
325,d4:r69:peven:b1,4,69,even,1,no,1/1
326,d4:r69:peven:b2,4,69,even,2,no,1/1
