source_id,source,channel,child_mod3,target_id,target,weight_decimal,weight_formula,memberwise_precedent
0,d5:r0:podd:b0,retarded,,2,d5:r0:peven:b2,0.308641975308642,rho_star^(-2),retarded core
1,d5:r0:peven:b1,retarded,,2,d5:r0:peven:b2,0.308641975308642,rho_star^(-2),retarded core
2,d5:r0:peven:b2,retarded,,2,d5:r0:peven:b2,0.308641975308642,rho_star^(-2),retarded core
3,d5:r1:podd:b0,retarded,,14,d5:r4:peven:b2,0.308641975308642,rho_star^(-2),retarded core
4,d5:r1:peven:b1,retarded,,14,d5:r4:peven:b2,0.308641975308642,rho_star^(-2),retarded core
5,d5:r1:peven:b2,retarded,,14,d5:r4:peven:b2,0.308641975308642,rho_star^(-2),retarded core
6,d5:r2:podd:b0,retarded,,26,d5:r8:peven:b2,0.308641975308642,rho_star^(-2),retarded core
6,d5:r2:podd:b0,advanced_parity_lift_c1,1,7,d5:r2:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
7,d5:r2:peven:b1,retarded,,26,d5:r8:peven:b2,0.308641975308642,rho_star^(-2),retarded core
7,d5:r2:peven:b1,advanced_parity_lift_c1,1,7,d5:r2:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
8,d5:r2:peven:b2,retarded,,26,d5:r8:peven:b2,0.308641975308642,rho_star^(-2),retarded core
8,d5:r2:peven:b2,advanced_parity_lift_c1,1,7,d5:r2:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
9,d5:r3:podd:b0,retarded,,38,d5:r12:peven:b2,0.308641975308642,rho_star^(-2),retarded core
10,d5:r3:peven:b1,retarded,,38,d5:r12:peven:b2,0.308641975308642,rho_star^(-2),retarded core
11,d5:r3:peven:b2,retarded,,38,d5:r12:peven:b2,0.308641975308642,rho_star^(-2),retarded core
12,d5:r4:podd:b0,retarded,,50,d5:r16:peven:b2,0.308641975308642,rho_star^(-2),retarded core
13,d5:r4:peven:b1,retarded,,50,d5:r16:peven:b2,0.308641975308642,rho_star^(-2),retarded core
14,d5:r4:peven:b2,retarded,,50,d5:r16:peven:b2,0.308641975308642,rho_star^(-2),retarded core
15,d5:r5:podd:b0,retarded,,62,d5:r20:peven:b2,0.308641975308642,rho_star^(-2),retarded core
16,d5:r5:peven:b1,retarded,,62,d5:r20:peven:b2,0.308641975308642,rho_star^(-2),retarded core
17,d5:r5:peven:b2,retarded,,62,d5:r20:peven:b2,0.308641975308642,rho_star^(-2),retarded core
18,d5:r6:podd:b0,retarded,,74,d5:r24:peven:b2,0.308641975308642,rho_star^(-2),retarded core
19,d5:r6:peven:b1,retarded,,74,d5:r24:peven:b2,0.308641975308642,rho_star^(-2),retarded core
20,d5:r6:peven:b2,retarded,,74,d5:r24:peven:b2,0.308641975308642,rho_star^(-2),retarded core
21,d5:r7:podd:b0,retarded,,86,d5:r28:peven:b2,0.308641975308642,rho_star^(-2),retarded core
22,d5:r7:peven:b1,retarded,,86,d5:r28:peven:b2,0.308641975308642,rho_star^(-2),retarded core
23,d5:r7:peven:b2,retarded,,86,d5:r28:peven:b2,0.308641975308642,rho_star^(-2),retarded core
24,d5:r8:podd:b0,retarded,,98,d5:r32:peven:b2,0.308641975308642,rho_star^(-2),retarded core
24,d5:r8:podd:b0,advanced_direct_c2,2,15,d5:r5:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
25,d5:r8:peven:b1,retarded,,98,d5:r32:peven:b2,0.308641975308642,rho_star^(-2),retarded core
25,d5:r8:peven:b1,advanced_direct_c2,2,15,d5:r5:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
26,d5:r8:peven:b2,retarded,,98,d5:r32:peven:b2,0.308641975308642,rho_star^(-2),retarded core
26,d5:r8:peven:b2,advanced_direct_c2,2,15,d5:r5:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
27,d5:r9:podd:b0,retarded,,110,d5:r36:peven:b2,0.308641975308642,rho_star^(-2),retarded core
28,d5:r9:peven:b1,retarded,,110,d5:r36:peven:b2,0.308641975308642,rho_star^(-2),retarded core
29,d5:r9:peven:b2,retarded,,110,d5:r36:peven:b2,0.308641975308642,rho_star^(-2),retarded core
30,d5:r10:podd:b0,retarded,,122,d5:r40:peven:b2,0.308641975308642,rho_star^(-2),retarded core
31,d5:r10:peven:b1,retarded,,122,d5:r40:peven:b2,0.308641975308642,rho_star^(-2),retarded core
32,d5:r10:peven:b2,retarded,,122,d5:r40:peven:b2,0.308641975308642,rho_star^(-2),retarded core
33,d5:r11:podd:b0,retarded,,134,d5:r44:peven:b2,0.308641975308642,rho_star^(-2),retarded core
33,d5:r11:podd:b0,advanced_parity_lift_c1,1,43,d5:r14:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
34,d5:r11:peven:b1,retarded,,134,d5:r44:peven:b2,0.308641975308642,rho_star^(-2),retarded core
34,d5:r11:peven:b1,advanced_parity_lift_c1,1,43,d5:r14:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
35,d5:r11:peven:b2,retarded,,134,d5:r44:peven:b2,0.308641975308642,rho_star^(-2),retarded core
35,d5:r11:peven:b2,advanced_parity_lift_c1,1,43,d5:r14:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
36,d5:r12:podd:b0,retarded,,146,d5:r48:peven:b2,0.308641975308642,rho_star^(-2),retarded core
37,d5:r12:peven:b1,retarded,,146,d5:r48:peven:b2,0.308641975308642,rho_star^(-2),retarded core
38,d5:r12:peven:b2,retarded,,146,d5:r48:peven:b2,0.308641975308642,rho_star^(-2),retarded core
39,d5:r13:podd:b0,retarded,,158,d5:r52:peven:b2,0.308641975308642,rho_star^(-2),retarded core
40,d5:r13:peven:b1,retarded,,158,d5:r52:peven:b2,0.308641975308642,rho_star^(-2),retarded core
41,d5:r13:peven:b2,retarded,,158,d5:r52:peven:b2,0.308641975308642,rho_star^(-2),retarded core
42,d5:r14:podd:b0,retarded,,170,d5:r56:peven:b2,0.308641975308642,rho_star^(-2),retarded core
43,d5:r14:peven:b1,retarded,,170,d5:r56:peven:b2,0.308641975308642,rho_star^(-2),retarded core
44,d5:r14:peven:b2,retarded,,170,d5:r56:peven:b2,0.308641975308642,rho_star^(-2),retarded core
45,d5:r15:podd:b0,retarded,,182,d5:r60:peven:b2,0.308641975308642,rho_star^(-2),retarded core
46,d5:r15:peven:b1,retarded,,182,d5:r60:peven:b2,0.308641975308642,rho_star^(-2),retarded core
47,d5:r15:peven:b2,retarded,,182,d5:r60:peven:b2,0.308641975308642,rho_star^(-2),retarded core
48,d5:r16:podd:b0,retarded,,194,d5:r64:peven:b2,0.308641975308642,rho_star^(-2),retarded core
49,d5:r16:peven:b1,retarded,,194,d5:r64:peven:b2,0.308641975308642,rho_star^(-2),retarded core
50,d5:r16:peven:b2,retarded,,194,d5:r64:peven:b2,0.308641975308642,rho_star^(-2),retarded core
51,d5:r17:podd:b0,retarded,,206,d5:r68:peven:b2,0.308641975308642,rho_star^(-2),retarded core
51,d5:r17:podd:b0,advanced_direct_c2,2,33,d5:r11:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
52,d5:r17:peven:b1,retarded,,206,d5:r68:peven:b2,0.308641975308642,rho_star^(-2),retarded core
52,d5:r17:peven:b1,advanced_direct_c2,2,33,d5:r11:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
53,d5:r17:peven:b2,retarded,,206,d5:r68:peven:b2,0.308641975308642,rho_star^(-2),retarded core
53,d5:r17:peven:b2,advanced_direct_c2,2,33,d5:r11:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
54,d5:r18:podd:b0,retarded,,218,d5:r72:peven:b2,0.308641975308642,rho_star^(-2),retarded core
55,d5:r18:peven:b1,retarded,,218,d5:r72:peven:b2,0.308641975308642,rho_star^(-2),retarded core
56,d5:r18:peven:b2,retarded,,218,d5:r72:peven:b2,0.308641975308642,rho_star^(-2),retarded core
57,d5:r19:podd:b0,retarded,,230,d5:r76:peven:b2,0.308641975308642,rho_star^(-2),retarded core
58,d5:r19:peven:b1,retarded,,230,d5:r76:peven:b2,0.308641975308642,rho_star^(-2),retarded core
