source_id,source,channel,child_mod3,tail_weight_decimal,tail_formula,tail_name
15,d5:r5:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
16,d5:r5:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
17,d5:r5:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
42,d5:r14:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
43,d5:r14:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
44,d5:r14:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
69,d5:r23:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
70,d5:r23:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
71,d5:r23:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
96,d5:r32:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
97,d5:r32:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
98,d5:r32:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
123,d5:r41:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
124,d5:r41:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
125,d5:r41:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
150,d5:r50:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
151,d5:r50:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
152,d5:r50:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
177,d5:r59:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
178,d5:r59:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
179,d5:r59:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
204,d5:r68:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
205,d5:r68:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
206,d5:r68:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
231,d5:r77:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
232,d5:r77:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
233,d5:r77:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
258,d5:r86:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
259,d5:r86:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
260,d5:r86:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
285,d5:r95:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
286,d5:r95:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
287,d5:r95:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
312,d5:r104:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
313,d5:r104:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
314,d5:r104:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
339,d5:r113:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
340,d5:r113:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
341,d5:r113:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
366,d5:r122:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
367,d5:r122:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
368,d5:r122:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
393,d5:r131:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
394,d5:r131:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
395,d5:r131:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
420,d5:r140:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
421,d5:r140:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
422,d5:r140:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
447,d5:r149:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
448,d5:r149:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
449,d5:r149:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
474,d5:r158:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
475,d5:r158:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
476,d5:r158:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
501,d5:r167:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
502,d5:r167:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
503,d5:r167:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
528,d5:r176:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
529,d5:r176:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
530,d5:r176:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
555,d5:r185:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
556,d5:r185:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
557,d5:r185:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
582,d5:r194:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
583,d5:r194:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
584,d5:r194:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
609,d5:r203:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
610,d5:r203:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
611,d5:r203:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
636,d5:r212:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
637,d5:r212:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
638,d5:r212:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
663,d5:r221:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
664,d5:r221:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
665,d5:r221:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
690,d5:r230:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
691,d5:r230:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
692,d5:r230:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
717,d5:r239:podd:b0,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
718,d5:r239:peven:b1,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
719,d5:r239:peven:b2,advanced_sterile_tail_c0,0,1.410343310520570,rho_star^(log_2(3)-1),Q
