source_id,source,branch,target_id,target,weight_decimal,weight_formula,multiplicity,rule_derived
0,d5:r0:podd:b0,retarded_return,2,d5:r0:peven:b2,0.308641975308642,rho_star^(-2),1,yes
1,d5:r0:peven:b1,retarded_return,2,d5:r0:peven:b2,0.308641975308642,rho_star^(-2),1,yes
2,d5:r0:peven:b2,retarded_return,2,d5:r0:peven:b2,0.308641975308642,rho_star^(-2),1,yes
3,d5:r1:podd:b0,retarded_return,14,d5:r4:peven:b2,0.308641975308642,rho_star^(-2),1,yes
4,d5:r1:peven:b1,retarded_return,14,d5:r4:peven:b2,0.308641975308642,rho_star^(-2),1,yes
5,d5:r1:peven:b2,retarded_return,14,d5:r4:peven:b2,0.308641975308642,rho_star^(-2),1,yes
6,d5:r2:podd:b0,retarded_return,26,d5:r8:peven:b2,0.308641975308642,rho_star^(-2),1,yes
6,d5:r2:podd:b0,advanced_rebased_return,3,d5:r1:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
6,d5:r2:podd:b0,advanced_rebased_return,246,d5:r82:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
6,d5:r2:podd:b0,advanced_rebased_return,489,d5:r163:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
7,d5:r2:peven:b1,retarded_return,26,d5:r8:peven:b2,0.308641975308642,rho_star^(-2),1,yes
7,d5:r2:peven:b1,advanced_rebased_return,3,d5:r1:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
7,d5:r2:peven:b1,advanced_rebased_return,246,d5:r82:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
7,d5:r2:peven:b1,advanced_rebased_return,489,d5:r163:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
8,d5:r2:peven:b2,retarded_return,26,d5:r8:peven:b2,0.308641975308642,rho_star^(-2),1,yes
8,d5:r2:peven:b2,advanced_rebased_return,3,d5:r1:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
8,d5:r2:peven:b2,advanced_rebased_return,246,d5:r82:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
8,d5:r2:peven:b2,advanced_rebased_return,489,d5:r163:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
9,d5:r3:podd:b0,retarded_return,38,d5:r12:peven:b2,0.308641975308642,rho_star^(-2),1,yes
10,d5:r3:peven:b1,retarded_return,38,d5:r12:peven:b2,0.308641975308642,rho_star^(-2),1,yes
11,d5:r3:peven:b2,retarded_return,38,d5:r12:peven:b2,0.308641975308642,rho_star^(-2),1,yes
12,d5:r4:podd:b0,retarded_return,50,d5:r16:peven:b2,0.308641975308642,rho_star^(-2),1,yes
13,d5:r4:peven:b1,retarded_return,50,d5:r16:peven:b2,0.308641975308642,rho_star^(-2),1,yes
14,d5:r4:peven:b2,retarded_return,50,d5:r16:peven:b2,0.308641975308642,rho_star^(-2),1,yes
15,d5:r5:podd:b0,retarded_return,62,d5:r20:peven:b2,0.308641975308642,rho_star^(-2),1,yes
15,d5:r5:podd:b0,advanced_rebased_return,9,d5:r3:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
15,d5:r5:podd:b0,advanced_rebased_return,252,d5:r84:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
15,d5:r5:podd:b0,advanced_rebased_return,495,d5:r165:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
16,d5:r5:peven:b1,retarded_return,62,d5:r20:peven:b2,0.308641975308642,rho_star^(-2),1,yes
16,d5:r5:peven:b1,advanced_rebased_return,9,d5:r3:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
16,d5:r5:peven:b1,advanced_rebased_return,252,d5:r84:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
16,d5:r5:peven:b1,advanced_rebased_return,495,d5:r165:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
17,d5:r5:peven:b2,retarded_return,62,d5:r20:peven:b2,0.308641975308642,rho_star^(-2),1,yes
17,d5:r5:peven:b2,advanced_rebased_return,9,d5:r3:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
17,d5:r5:peven:b2,advanced_rebased_return,252,d5:r84:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
17,d5:r5:peven:b2,advanced_rebased_return,495,d5:r165:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
18,d5:r6:podd:b0,retarded_return,74,d5:r24:peven:b2,0.308641975308642,rho_star^(-2),1,yes
19,d5:r6:peven:b1,retarded_return,74,d5:r24:peven:b2,0.308641975308642,rho_star^(-2),1,yes
20,d5:r6:peven:b2,retarded_return,74,d5:r24:peven:b2,0.308641975308642,rho_star^(-2),1,yes
21,d5:r7:podd:b0,retarded_return,86,d5:r28:peven:b2,0.308641975308642,rho_star^(-2),1,yes
22,d5:r7:peven:b1,retarded_return,86,d5:r28:peven:b2,0.308641975308642,rho_star^(-2),1,yes
23,d5:r7:peven:b2,retarded_return,86,d5:r28:peven:b2,0.308641975308642,rho_star^(-2),1,yes
24,d5:r8:podd:b0,retarded_return,98,d5:r32:peven:b2,0.308641975308642,rho_star^(-2),1,yes
24,d5:r8:podd:b0,advanced_rebased_return,15,d5:r5:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
24,d5:r8:podd:b0,advanced_rebased_return,258,d5:r86:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
24,d5:r8:podd:b0,advanced_rebased_return,501,d5:r167:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
25,d5:r8:peven:b1,retarded_return,98,d5:r32:peven:b2,0.308641975308642,rho_star^(-2),1,yes
25,d5:r8:peven:b1,advanced_rebased_return,15,d5:r5:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
25,d5:r8:peven:b1,advanced_rebased_return,258,d5:r86:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
25,d5:r8:peven:b1,advanced_rebased_return,501,d5:r167:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
26,d5:r8:peven:b2,retarded_return,98,d5:r32:peven:b2,0.308641975308642,rho_star^(-2),1,yes
26,d5:r8:peven:b2,advanced_rebased_return,15,d5:r5:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
26,d5:r8:peven:b2,advanced_rebased_return,258,d5:r86:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
26,d5:r8:peven:b2,advanced_rebased_return,501,d5:r167:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
27,d5:r9:podd:b0,retarded_return,110,d5:r36:peven:b2,0.308641975308642,rho_star^(-2),1,yes
28,d5:r9:peven:b1,retarded_return,110,d5:r36:peven:b2,0.308641975308642,rho_star^(-2),1,yes
