source_id,source,branch,target_id,target,route,multiplicity,scale_weight,scale_weight_decimal,rule_derived
0,d1:r0:podd:b0,retarded,2,d1:r0:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
1,d1:r0:peven:b1,retarded,2,d1:r0:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
2,d1:r0:peven:b2,retarded,2,d1:r0:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
3,d1:r1:podd:b0,retarded,5,d1:r1:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
4,d1:r1:peven:b1,retarded,5,d1:r1:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
5,d1:r1:peven:b2,retarded,5,d1:r1:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
6,d1:r2:podd:b0,retarded,8,d1:r2:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
6,d1:r2:podd:b0,advanced,,Q_K:DEPTH_ZERO,TAIL_DEPTH_ZERO,1,rho_star^(alpha-2),0.783524061400316,yes
7,d1:r2:peven:b1,retarded,8,d1:r2:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
7,d1:r2:peven:b1,advanced,,Q_K:DEPTH_ZERO,TAIL_DEPTH_ZERO,1,rho_star^(alpha-2),0.783524061400316,yes
8,d1:r2:peven:b2,retarded,8,d1:r2:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
8,d1:r2:peven:b2,advanced,,Q_K:DEPTH_ZERO,TAIL_DEPTH_ZERO,1,rho_star^(alpha-2),0.783524061400316,yes
9,d2:r0:podd:b0,retarded,11,d2:r0:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
10,d2:r0:peven:b1,retarded,11,d2:r0:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
11,d2:r0:peven:b2,retarded,11,d2:r0:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
12,d2:r1:podd:b0,retarded,23,d2:r4:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
13,d2:r1:peven:b1,retarded,23,d2:r4:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
14,d2:r1:peven:b2,retarded,23,d2:r4:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
15,d2:r2:podd:b0,retarded,35,d2:r8:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
15,d2:r2:podd:b0,advanced,3,d1:r1:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
16,d2:r2:peven:b1,retarded,35,d2:r8:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
16,d2:r2:peven:b1,advanced,3,d1:r1:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
17,d2:r2:peven:b2,retarded,35,d2:r8:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
17,d2:r2:peven:b2,advanced,3,d1:r1:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
18,d2:r3:podd:b0,retarded,20,d2:r3:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
19,d2:r3:peven:b1,retarded,20,d2:r3:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
20,d2:r3:peven:b2,retarded,20,d2:r3:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
21,d2:r4:podd:b0,retarded,32,d2:r7:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
22,d2:r4:peven:b1,retarded,32,d2:r7:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
23,d2:r4:peven:b2,retarded,32,d2:r7:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
24,d2:r5:podd:b0,retarded,17,d2:r2:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
24,d2:r5:podd:b0,advanced,0,d1:r0:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
25,d2:r5:peven:b1,retarded,17,d2:r2:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
25,d2:r5:peven:b1,advanced,0,d1:r0:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
26,d2:r5:peven:b2,retarded,17,d2:r2:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
26,d2:r5:peven:b2,advanced,0,d1:r0:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
27,d2:r6:podd:b0,retarded,29,d2:r6:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
28,d2:r6:peven:b1,retarded,29,d2:r6:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
29,d2:r6:peven:b2,retarded,29,d2:r6:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
30,d2:r7:podd:b0,retarded,14,d2:r1:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
31,d2:r7:peven:b1,retarded,14,d2:r1:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
32,d2:r7:peven:b2,retarded,14,d2:r1:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
33,d2:r8:podd:b0,retarded,26,d2:r5:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
33,d2:r8:podd:b0,advanced,6,d1:r2:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
34,d2:r8:peven:b1,retarded,26,d2:r5:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
34,d2:r8:peven:b1,advanced,6,d1:r2:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
35,d2:r8:peven:b2,retarded,26,d2:r5:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
35,d2:r8:peven:b2,advanced,6,d1:r2:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
36,d3:r0:podd:b0,retarded,38,d3:r0:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
37,d3:r0:peven:b1,retarded,38,d3:r0:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
38,d3:r0:peven:b2,retarded,38,d3:r0:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
39,d3:r1:podd:b0,retarded,50,d3:r4:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
40,d3:r1:peven:b1,retarded,50,d3:r4:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
41,d3:r1:peven:b2,retarded,50,d3:r4:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
42,d3:r2:podd:b0,retarded,62,d3:r8:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
42,d3:r2:podd:b0,advanced,12,d2:r1:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
43,d3:r2:peven:b1,retarded,62,d3:r8:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
43,d3:r2:peven:b1,advanced,12,d2:r1:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
44,d3:r2:peven:b2,retarded,62,d3:r8:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
44,d3:r2:peven:b2,advanced,12,d2:r1:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
45,d3:r3:podd:b0,retarded,74,d3:r12:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
46,d3:r3:peven:b1,retarded,74,d3:r12:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
47,d3:r3:peven:b2,retarded,74,d3:r12:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
48,d3:r4:podd:b0,retarded,86,d3:r16:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
49,d3:r4:peven:b1,retarded,86,d3:r16:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
50,d3:r4:peven:b2,retarded,86,d3:r16:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
51,d3:r5:podd:b0,retarded,98,d3:r20:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
51,d3:r5:podd:b0,advanced,18,d2:r3:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
52,d3:r5:peven:b1,retarded,98,d3:r20:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
52,d3:r5:peven:b1,advanced,18,d2:r3:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
53,d3:r5:peven:b2,retarded,98,d3:r20:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
53,d3:r5:peven:b2,advanced,18,d2:r3:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
54,d3:r6:podd:b0,retarded,110,d3:r24:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
55,d3:r6:peven:b1,retarded,110,d3:r24:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
56,d3:r6:peven:b2,retarded,110,d3:r24:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
57,d3:r7:podd:b0,retarded,41,d3:r1:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
58,d3:r7:peven:b1,retarded,41,d3:r1:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
59,d3:r7:peven:b2,retarded,41,d3:r1:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
60,d3:r8:podd:b0,retarded,53,d3:r5:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
60,d3:r8:podd:b0,advanced,24,d2:r5:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
61,d3:r8:peven:b1,retarded,53,d3:r5:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
61,d3:r8:peven:b1,advanced,24,d2:r5:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
62,d3:r8:peven:b2,retarded,53,d3:r5:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
62,d3:r8:peven:b2,advanced,24,d2:r5:podd:b0,VISIBLE,1/1,rho_star^(alpha-2),0.783524061400316,yes
63,d3:r9:podd:b0,retarded,65,d3:r9:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
64,d3:r9:peven:b1,retarded,65,d3:r9:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
65,d3:r9:peven:b2,retarded,65,d3:r9:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
66,d3:r10:podd:b0,retarded,77,d3:r13:peven:b2,VISIBLE,1,25/81,0.308641975308642,yes
