state_id,state,depth,residue,parity,nu2_bucket,has_advanced_branch,weighted_out_sum_decimal
0,d1:r0:podd:b0,1,0,odd,0,no,0.308641975308642
1,d1:r0:peven:b1,1,0,even,1,no,0.308641975308642
2,d1:r0:peven:b2,1,0,even,2,no,0.308641975308642
3,d1:r1:podd:b0,1,1,odd,0,no,0.308641975308642
4,d1:r1:peven:b1,1,1,even,1,no,0.308641975308642
5,d1:r1:peven:b2,1,1,even,2,no,0.308641975308642
6,d1:r2:podd:b0,1,2,odd,0,yes,0.308641975308642
7,d1:r2:peven:b1,1,2,even,1,yes,0.308641975308642
8,d1:r2:peven:b2,1,2,even,2,yes,0.308641975308642
9,d2:r0:podd:b0,2,0,odd,0,no,0.308641975308642
10,d2:r0:peven:b1,2,0,even,1,no,0.308641975308642
11,d2:r0:peven:b2,2,0,even,2,no,0.308641975308642
12,d2:r1:podd:b0,2,1,odd,0,no,0.308641975308642
13,d2:r1:peven:b1,2,1,even,1,no,0.308641975308642
14,d2:r1:peven:b2,2,1,even,2,no,0.308641975308642
15,d2:r2:podd:b0,2,2,odd,0,yes,1.092166036708959
16,d2:r2:peven:b1,2,2,even,1,yes,1.092166036708959
17,d2:r2:peven:b2,2,2,even,2,yes,1.092166036708959
18,d2:r3:podd:b0,2,3,odd,0,no,0.308641975308642
19,d2:r3:peven:b1,2,3,even,1,no,0.308641975308642
20,d2:r3:peven:b2,2,3,even,2,no,0.308641975308642
21,d2:r4:podd:b0,2,4,odd,0,no,0.308641975308642
22,d2:r4:peven:b1,2,4,even,1,no,0.308641975308642
23,d2:r4:peven:b2,2,4,even,2,no,0.308641975308642
24,d2:r5:podd:b0,2,5,odd,0,yes,1.092166036708959
25,d2:r5:peven:b1,2,5,even,1,yes,1.092166036708959
26,d2:r5:peven:b2,2,5,even,2,yes,1.092166036708959
27,d2:r6:podd:b0,2,6,odd,0,no,0.308641975308642
28,d2:r6:peven:b1,2,6,even,1,no,0.308641975308642
29,d2:r6:peven:b2,2,6,even,2,no,0.308641975308642
30,d2:r7:podd:b0,2,7,odd,0,no,0.308641975308642
31,d2:r7:peven:b1,2,7,even,1,no,0.308641975308642
32,d2:r7:peven:b2,2,7,even,2,no,0.308641975308642
33,d2:r8:podd:b0,2,8,odd,0,yes,1.092166036708959
34,d2:r8:peven:b1,2,8,even,1,yes,1.092166036708959
35,d2:r8:peven:b2,2,8,even,2,yes,1.092166036708959
36,d3:r0:podd:b0,3,0,odd,0,no,0.308641975308642
37,d3:r0:peven:b1,3,0,even,1,no,0.308641975308642
38,d3:r0:peven:b2,3,0,even,2,no,0.308641975308642
39,d3:r1:podd:b0,3,1,odd,0,no,0.308641975308642
40,d3:r1:peven:b1,3,1,even,1,no,0.308641975308642
41,d3:r1:peven:b2,3,1,even,2,no,0.308641975308642
42,d3:r2:podd:b0,3,2,odd,0,yes,1.092166036708959
43,d3:r2:peven:b1,3,2,even,1,yes,1.092166036708959
44,d3:r2:peven:b2,3,2,even,2,yes,1.092166036708959
45,d3:r3:podd:b0,3,3,odd,0,no,0.308641975308642
46,d3:r3:peven:b1,3,3,even,1,no,0.308641975308642
47,d3:r3:peven:b2,3,3,even,2,no,0.308641975308642
48,d3:r4:podd:b0,3,4,odd,0,no,0.308641975308642
49,d3:r4:peven:b1,3,4,even,1,no,0.308641975308642
50,d3:r4:peven:b2,3,4,even,2,no,0.308641975308642
51,d3:r5:podd:b0,3,5,odd,0,yes,1.092166036708959
52,d3:r5:peven:b1,3,5,even,1,yes,1.092166036708959
53,d3:r5:peven:b2,3,5,even,2,yes,1.092166036708959
54,d3:r6:podd:b0,3,6,odd,0,no,0.308641975308642
55,d3:r6:peven:b1,3,6,even,1,no,0.308641975308642
56,d3:r6:peven:b2,3,6,even,2,no,0.308641975308642
57,d3:r7:podd:b0,3,7,odd,0,no,0.308641975308642
58,d3:r7:peven:b1,3,7,even,1,no,0.308641975308642
59,d3:r7:peven:b2,3,7,even,2,no,0.308641975308642
60,d3:r8:podd:b0,3,8,odd,0,yes,1.092166036708959
61,d3:r8:peven:b1,3,8,even,1,yes,1.092166036708959
62,d3:r8:peven:b2,3,8,even,2,yes,1.092166036708959
63,d3:r9:podd:b0,3,9,odd,0,no,0.308641975308642
64,d3:r9:peven:b1,3,9,even,1,no,0.308641975308642
65,d3:r9:peven:b2,3,9,even,2,no,0.308641975308642
66,d3:r10:podd:b0,3,10,odd,0,no,0.308641975308642
67,d3:r10:peven:b1,3,10,even,1,no,0.308641975308642
68,d3:r10:peven:b2,3,10,even,2,no,0.308641975308642
69,d3:r11:podd:b0,3,11,odd,0,yes,1.092166036708959
70,d3:r11:peven:b1,3,11,even,1,yes,1.092166036708959
71,d3:r11:peven:b2,3,11,even,2,yes,1.092166036708959
72,d3:r12:podd:b0,3,12,odd,0,no,0.308641975308642
73,d3:r12:peven:b1,3,12,even,1,no,0.308641975308642
74,d3:r12:peven:b2,3,12,even,2,no,0.308641975308642
75,d3:r13:podd:b0,3,13,odd,0,no,0.308641975308642
76,d3:r13:peven:b1,3,13,even,1,no,0.308641975308642
77,d3:r13:peven:b2,3,13,even,2,no,0.308641975308642
78,d3:r14:podd:b0,3,14,odd,0,yes,1.092166036708959
79,d3:r14:peven:b1,3,14,even,1,yes,1.092166036708959
80,d3:r14:peven:b2,3,14,even,2,yes,1.092166036708959
81,d3:r15:podd:b0,3,15,odd,0,no,0.308641975308642
82,d3:r15:peven:b1,3,15,even,1,no,0.308641975308642
83,d3:r15:peven:b2,3,15,even,2,no,0.308641975308642
84,d3:r16:podd:b0,3,16,odd,0,no,0.308641975308642
85,d3:r16:peven:b1,3,16,even,1,no,0.308641975308642
86,d3:r16:peven:b2,3,16,even,2,no,0.308641975308642
87,d3:r17:podd:b0,3,17,odd,0,yes,1.092166036708959
88,d3:r17:peven:b1,3,17,even,1,yes,1.092166036708959
89,d3:r17:peven:b2,3,17,even,2,yes,1.092166036708959
90,d3:r18:podd:b0,3,18,odd,0,no,0.308641975308642
91,d3:r18:peven:b1,3,18,even,1,no,0.308641975308642
92,d3:r18:peven:b2,3,18,even,2,no,0.308641975308642
93,d3:r19:podd:b0,3,19,odd,0,no,0.308641975308642
94,d3:r19:peven:b1,3,19,even,1,no,0.308641975308642
95,d3:r19:peven:b2,3,19,even,2,no,0.308641975308642
96,d3:r20:podd:b0,3,20,odd,0,yes,1.092166036708959
97,d3:r20:peven:b1,3,20,even,1,yes,1.092166036708959
98,d3:r20:peven:b2,3,20,even,2,yes,1.092166036708959
99,d3:r21:podd:b0,3,21,odd,0,no,0.308641975308642
100,d3:r21:peven:b1,3,21,even,1,no,0.308641975308642
101,d3:r21:peven:b2,3,21,even,2,no,0.308641975308642
102,d3:r22:podd:b0,3,22,odd,0,no,0.308641975308642
103,d3:r22:peven:b1,3,22,even,1,no,0.308641975308642
104,d3:r22:peven:b2,3,22,even,2,no,0.308641975308642
105,d3:r23:podd:b0,3,23,odd,0,yes,1.092166036708959
106,d3:r23:peven:b1,3,23,even,1,yes,1.092166036708959
107,d3:r23:peven:b2,3,23,even,2,yes,1.092166036708959
108,d3:r24:podd:b0,3,24,odd,0,no,0.308641975308642
109,d3:r24:peven:b1,3,24,even,1,no,0.308641975308642
110,d3:r24:peven:b2,3,24,even,2,no,0.308641975308642
111,d3:r25:podd:b0,3,25,odd,0,no,0.308641975308642
112,d3:r25:peven:b1,3,25,even,1,no,0.308641975308642
113,d3:r25:peven:b2,3,25,even,2,no,0.308641975308642
114,d3:r26:podd:b0,3,26,odd,0,yes,1.092166036708959
115,d3:r26:peven:b1,3,26,even,1,yes,1.092166036708959
116,d3:r26:peven:b2,3,26,even,2,yes,1.092166036708959
117,d4:r0:podd:b0,4,0,odd,0,no,0.308641975308642
118,d4:r0:peven:b1,4,0,even,1,no,0.308641975308642
119,d4:r0:peven:b2,4,0,even,2,no,0.308641975308642
120,d4:r1:podd:b0,4,1,odd,0,no,0.308641975308642
121,d4:r1:peven:b1,4,1,even,1,no,0.308641975308642
122,d4:r1:peven:b2,4,1,even,2,no,0.308641975308642
123,d4:r2:podd:b0,4,2,odd,0,yes,1.092166036708959
124,d4:r2:peven:b1,4,2,even,1,yes,1.092166036708959
125,d4:r2:peven:b2,4,2,even,2,yes,1.092166036708959
126,d4:r3:podd:b0,4,3,odd,0,no,0.308641975308642
127,d4:r3:peven:b1,4,3,even,1,no,0.308641975308642
128,d4:r3:peven:b2,4,3,even,2,no,0.308641975308642
129,d4:r4:podd:b0,4,4,odd,0,no,0.308641975308642
130,d4:r4:peven:b1,4,4,even,1,no,0.308641975308642
131,d4:r4:peven:b2,4,4,even,2,no,0.308641975308642
132,d4:r5:podd:b0,4,5,odd,0,yes,1.092166036708959
133,d4:r5:peven:b1,4,5,even,1,yes,1.092166036708959
134,d4:r5:peven:b2,4,5,even,2,yes,1.092166036708959
135,d4:r6:podd:b0,4,6,odd,0,no,0.308641975308642
136,d4:r6:peven:b1,4,6,even,1,no,0.308641975308642
137,d4:r6:peven:b2,4,6,even,2,no,0.308641975308642
138,d4:r7:podd:b0,4,7,odd,0,no,0.308641975308642
139,d4:r7:peven:b1,4,7,even,1,no,0.308641975308642
140,d4:r7:peven:b2,4,7,even,2,no,0.308641975308642
141,d4:r8:podd:b0,4,8,odd,0,yes,1.092166036708959
142,d4:r8:peven:b1,4,8,even,1,yes,1.092166036708959
143,d4:r8:peven:b2,4,8,even,2,yes,1.092166036708959
144,d4:r9:podd:b0,4,9,odd,0,no,0.308641975308642
145,d4:r9:peven:b1,4,9,even,1,no,0.308641975308642
146,d4:r9:peven:b2,4,9,even,2,no,0.308641975308642
147,d4:r10:podd:b0,4,10,odd,0,no,0.308641975308642
148,d4:r10:peven:b1,4,10,even,1,no,0.308641975308642
149,d4:r10:peven:b2,4,10,even,2,no,0.308641975308642
150,d4:r11:podd:b0,4,11,odd,0,yes,1.092166036708959
151,d4:r11:peven:b1,4,11,even,1,yes,1.092166036708959
152,d4:r11:peven:b2,4,11,even,2,yes,1.092166036708959
153,d4:r12:podd:b0,4,12,odd,0,no,0.308641975308642
154,d4:r12:peven:b1,4,12,even,1,no,0.308641975308642
155,d4:r12:peven:b2,4,12,even,2,no,0.308641975308642
