hook,source,passed,detail
H1_retarded_target,d5:r0:podd:b0,yes,target=d5:r0:peven:b2 expected=d5:r0:peven:b2
H1_retarded_window_identity,d5:r0:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r0:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r0:podd:b0,yes,y=10
H1_retarded_target,d5:r0:peven:b1,yes,target=d5:r0:peven:b2 expected=d5:r0:peven:b2
H1_retarded_window_identity,d5:r0:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r0:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r0:peven:b1,yes,y=10
H1_retarded_target,d5:r0:peven:b2,yes,target=d5:r0:peven:b2 expected=d5:r0:peven:b2
H1_retarded_window_identity,d5:r0:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r0:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r0:peven:b2,yes,y=10
H1_retarded_target,d5:r1:podd:b0,yes,target=d5:r4:peven:b2 expected=d5:r4:peven:b2
H1_retarded_window_identity,d5:r1:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r1:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r1:podd:b0,yes,y=10
H1_retarded_target,d5:r1:peven:b1,yes,target=d5:r4:peven:b2 expected=d5:r4:peven:b2
H1_retarded_window_identity,d5:r1:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r1:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r1:peven:b1,yes,y=10
H1_retarded_target,d5:r1:peven:b2,yes,target=d5:r4:peven:b2 expected=d5:r4:peven:b2
H1_retarded_window_identity,d5:r1:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r1:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r1:peven:b2,yes,y=10
H1_retarded_target,d5:r2:podd:b0,yes,target=d5:r8:peven:b2 expected=d5:r8:peven:b2
H1_retarded_window_identity,d5:r2:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r2:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r2:podd:b0,yes,y=10
advanced_parity_lift_c1_advanced_integrality,d5:r2:podd:b0,yes,3c+1=1462 2a=1462
H3_lift_child_mod3,d5:r2:podd:b0,yes,c_mod3=1
H3_lift_route,d5:r2:podd:b0,yes,T(2c)=487 c=487
H3_lift_target,d5:r2:podd:b0,yes,target=d5:r2:peven:b1 expected=d5:r2:peven:b1
H3_lift_parity_window_exact,d5:r2:podd:b0,yes,y=8
H3_lift_parity_window_exact,d5:r2:podd:b0,yes,y=9
H3_lift_parity_window_exact,d5:r2:podd:b0,yes,y=10
H1_retarded_target,d5:r2:peven:b1,yes,target=d5:r8:peven:b2 expected=d5:r8:peven:b2
H1_retarded_window_identity,d5:r2:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r2:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r2:peven:b1,yes,y=10
advanced_parity_lift_c1_advanced_integrality,d5:r2:peven:b1,yes,3c+1=4 2a=4
H3_lift_child_mod3,d5:r2:peven:b1,yes,c_mod3=1
H3_lift_route,d5:r2:peven:b1,yes,T(2c)=1 c=1
H3_lift_target,d5:r2:peven:b1,yes,target=d5:r2:peven:b1 expected=d5:r2:peven:b1
H3_lift_parity_window_exact,d5:r2:peven:b1,yes,y=8
H3_lift_parity_window_exact,d5:r2:peven:b1,yes,y=9
H3_lift_parity_window_exact,d5:r2:peven:b1,yes,y=10
H1_retarded_target,d5:r2:peven:b2,yes,target=d5:r8:peven:b2 expected=d5:r8:peven:b2
H1_retarded_window_identity,d5:r2:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r2:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r2:peven:b2,yes,y=10
advanced_parity_lift_c1_advanced_integrality,d5:r2:peven:b2,yes,3c+1=2920 2a=2920
H3_lift_child_mod3,d5:r2:peven:b2,yes,c_mod3=1
H3_lift_route,d5:r2:peven:b2,yes,T(2c)=973 c=973
H3_lift_target,d5:r2:peven:b2,yes,target=d5:r2:peven:b1 expected=d5:r2:peven:b1
H3_lift_parity_window_exact,d5:r2:peven:b2,yes,y=8
H3_lift_parity_window_exact,d5:r2:peven:b2,yes,y=9
H3_lift_parity_window_exact,d5:r2:peven:b2,yes,y=10
H1_retarded_target,d5:r3:podd:b0,yes,target=d5:r12:peven:b2 expected=d5:r12:peven:b2
H1_retarded_window_identity,d5:r3:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r3:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r3:podd:b0,yes,y=10
H1_retarded_target,d5:r3:peven:b1,yes,target=d5:r12:peven:b2 expected=d5:r12:peven:b2
H1_retarded_window_identity,d5:r3:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r3:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r3:peven:b1,yes,y=10
H1_retarded_target,d5:r3:peven:b2,yes,target=d5:r12:peven:b2 expected=d5:r12:peven:b2
H1_retarded_window_identity,d5:r3:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r3:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r3:peven:b2,yes,y=10
H1_retarded_target,d5:r4:podd:b0,yes,target=d5:r16:peven:b2 expected=d5:r16:peven:b2
H1_retarded_window_identity,d5:r4:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r4:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r4:podd:b0,yes,y=10
H1_retarded_target,d5:r4:peven:b1,yes,target=d5:r16:peven:b2 expected=d5:r16:peven:b2
H1_retarded_window_identity,d5:r4:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r4:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r4:peven:b1,yes,y=10
H1_retarded_target,d5:r4:peven:b2,yes,target=d5:r16:peven:b2 expected=d5:r16:peven:b2
H1_retarded_window_identity,d5:r4:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r4:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r4:peven:b2,yes,y=10
H1_retarded_target,d5:r5:podd:b0,yes,target=d5:r20:peven:b2 expected=d5:r20:peven:b2
H1_retarded_window_identity,d5:r5:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r5:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r5:podd:b0,yes,y=10
H1_retarded_target,d5:r5:peven:b1,yes,target=d5:r20:peven:b2 expected=d5:r20:peven:b2
H1_retarded_window_identity,d5:r5:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r5:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r5:peven:b1,yes,y=10
H1_retarded_target,d5:r5:peven:b2,yes,target=d5:r20:peven:b2 expected=d5:r20:peven:b2
H1_retarded_window_identity,d5:r5:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r5:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r5:peven:b2,yes,y=10
H1_retarded_target,d5:r6:podd:b0,yes,target=d5:r24:peven:b2 expected=d5:r24:peven:b2
H1_retarded_window_identity,d5:r6:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r6:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r6:podd:b0,yes,y=10
H1_retarded_target,d5:r6:peven:b1,yes,target=d5:r24:peven:b2 expected=d5:r24:peven:b2
H1_retarded_window_identity,d5:r6:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r6:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r6:peven:b1,yes,y=10
H1_retarded_target,d5:r6:peven:b2,yes,target=d5:r24:peven:b2 expected=d5:r24:peven:b2
H1_retarded_window_identity,d5:r6:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r6:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r6:peven:b2,yes,y=10
H1_retarded_target,d5:r7:podd:b0,yes,target=d5:r28:peven:b2 expected=d5:r28:peven:b2
H1_retarded_window_identity,d5:r7:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r7:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r7:podd:b0,yes,y=10
H1_retarded_target,d5:r7:peven:b1,yes,target=d5:r28:peven:b2 expected=d5:r28:peven:b2
H1_retarded_window_identity,d5:r7:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r7:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r7:peven:b1,yes,y=10
H1_retarded_target,d5:r7:peven:b2,yes,target=d5:r28:peven:b2 expected=d5:r28:peven:b2
H1_retarded_window_identity,d5:r7:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r7:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r7:peven:b2,yes,y=10
H1_retarded_target,d5:r8:podd:b0,yes,target=d5:r32:peven:b2 expected=d5:r32:peven:b2
H1_retarded_window_identity,d5:r8:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r8:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r8:podd:b0,yes,y=10
advanced_direct_c2_advanced_integrality,d5:r8:podd:b0,yes,3c+1=1474 2a=1474
H2_direct_child_mod3,d5:r8:podd:b0,yes,c_mod3=2
H2_direct_target,d5:r8:podd:b0,yes,target=d5:r5:podd:b0 expected=d5:r5:podd:b0
H2_direct_window_le_target,d5:r8:podd:b0,yes,y=8
H2_direct_window_le_target,d5:r8:podd:b0,yes,y=9
H2_direct_window_le_target,d5:r8:podd:b0,yes,y=10
H1_retarded_target,d5:r8:peven:b1,yes,target=d5:r32:peven:b2 expected=d5:r32:peven:b2
H1_retarded_window_identity,d5:r8:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r8:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r8:peven:b1,yes,y=10
advanced_direct_c2_advanced_integrality,d5:r8:peven:b1,yes,3c+1=2932 2a=2932
H2_direct_child_mod3,d5:r8:peven:b1,yes,c_mod3=2
H2_direct_target,d5:r8:peven:b1,yes,target=d5:r5:podd:b0 expected=d5:r5:podd:b0
H2_direct_window_le_target,d5:r8:peven:b1,yes,y=8
H2_direct_window_le_target,d5:r8:peven:b1,yes,y=9
H2_direct_window_le_target,d5:r8:peven:b1,yes,y=10
H1_retarded_target,d5:r8:peven:b2,yes,target=d5:r32:peven:b2 expected=d5:r32:peven:b2
H1_retarded_window_identity,d5:r8:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r8:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r8:peven:b2,yes,y=10
advanced_direct_c2_advanced_integrality,d5:r8:peven:b2,yes,3c+1=16 2a=16
H2_direct_child_mod3,d5:r8:peven:b2,yes,c_mod3=2
H2_direct_target,d5:r8:peven:b2,yes,target=d5:r5:podd:b0 expected=d5:r5:podd:b0
H2_direct_window_le_target,d5:r8:peven:b2,yes,y=8
H2_direct_window_le_target,d5:r8:peven:b2,yes,y=9
H2_direct_window_le_target,d5:r8:peven:b2,yes,y=10
H1_retarded_target,d5:r9:podd:b0,yes,target=d5:r36:peven:b2 expected=d5:r36:peven:b2
H1_retarded_window_identity,d5:r9:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r9:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r9:podd:b0,yes,y=10
H1_retarded_target,d5:r9:peven:b1,yes,target=d5:r36:peven:b2 expected=d5:r36:peven:b2
H1_retarded_window_identity,d5:r9:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r9:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r9:peven:b1,yes,y=10
H1_retarded_target,d5:r9:peven:b2,yes,target=d5:r36:peven:b2 expected=d5:r36:peven:b2
H1_retarded_window_identity,d5:r9:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r9:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r9:peven:b2,yes,y=10
H1_retarded_target,d5:r10:podd:b0,yes,target=d5:r40:peven:b2 expected=d5:r40:peven:b2
H1_retarded_window_identity,d5:r10:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r10:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r10:podd:b0,yes,y=10
H1_retarded_target,d5:r10:peven:b1,yes,target=d5:r40:peven:b2 expected=d5:r40:peven:b2
H1_retarded_window_identity,d5:r10:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r10:peven:b1,yes,y=9
