state,root_count,root_min,root_max,frozen_weight,weighted_base_mass,distance_to_target_state,positive_witness
d5:r101:peven:b1,10,830,9578,0.0031,0.031,4,True
d5:r101:peven:b2,11,344,10064,0.003664,0.040304,4,True
d5:r101:podd:b0,22,101,10307,0.005581,0.122782,4,True
d5:r104:peven:b1,11,590,10310,0.0031,0.0341,6,True
d5:r104:peven:b2,11,104,9824,0.003664,0.040304,6,True
d5:r104:podd:b0,21,347,10067,0.005581,0.117201,6,True
d5:r107:peven:b1,11,350,10070,0.0031,0.0341,4,True
d5:r107:peven:b2,10,836,9584,0.003664,0.03664,4,True
d5:r107:podd:b0,22,107,10313,0.005581,0.122782,4,True
d5:r110:peven:b1,11,110,9830,0.0031,0.0341,5,True
d5:r110:peven:b2,11,596,10316,0.003664,0.040304,5,True
d5:r110:podd:b0,21,353,10073,0.005581,0.117201,5,True
d5:r113:peven:b1,10,842,9590,0.0031,0.031,6,True
d5:r113:peven:b2,11,356,10076,0.003664,0.040304,6,True
d5:r113:podd:b0,22,113,10319,0.005581,0.122782,6,True
d5:r116:peven:b1,11,602,10322,0.0031,0.0341,4,True
d5:r116:peven:b2,11,116,9836,0.003664,0.040304,4,True
d5:r116:podd:b0,21,359,10079,0.005581,0.117201,4,True
d5:r119:peven:b1,11,362,10082,0.0031,0.0341,4,True
d5:r119:peven:b2,10,848,9596,0.003664,0.03664,4,True
d5:r119:podd:b0,22,119,10325,0.005581,0.122782,4,True
d5:r11:peven:b1,11,254,9974,0.0031,0.0341,5,True
d5:r11:peven:b2,10,740,9488,0.003664,0.03664,5,True
d5:r11:podd:b0,22,11,10217,0.005581,0.122782,5,True
d5:r122:peven:b1,11,122,9842,0.0031,0.0341,6,True
d5:r122:peven:b2,11,608,10328,0.003664,0.040304,6,True
d5:r122:podd:b0,21,365,10085,0.005581,0.117201,6,True
d5:r125:peven:b1,10,854,9602,0.0031,0.031,1,True
d5:r125:peven:b2,11,368,10088,0.003664,0.040304,1,True
d5:r125:podd:b0,22,125,10331,0.005581,0.122782,1,True
d5:r128:peven:b1,11,614,10334,0.0031,0.0341,5,True
d5:r128:peven:b2,11,128,9848,0.003664,0.040304,5,True
d5:r128:podd:b0,21,371,10091,0.005581,0.117201,5,True
d5:r131:peven:b1,11,374,10094,0.0031,0.0341,6,True
d5:r131:peven:b2,10,860,9608,0.003664,0.03664,6,True
d5:r131:podd:b0,22,131,10337,0.005581,0.122782,6,True
d5:r134:peven:b1,11,134,9854,0.0031,0.0341,5,True
d5:r134:peven:b2,11,620,10340,0.003664,0.040304,5,True
d5:r134:podd:b0,21,377,10097,0.005581,0.117201,5,True
d5:r137:peven:b1,10,866,9614,0.0031,0.031,4,True
d5:r137:peven:b2,11,380,10100,0.003664,0.040304,4,True
d5:r137:podd:b0,22,137,10343,0.005581,0.122782,4,True
d5:r140:peven:b1,11,626,10346,0.0031,0.0341,5,True
d5:r140:peven:b2,11,140,9860,0.003664,0.040304,5,True
d5:r140:podd:b0,21,383,10103,0.005581,0.117201,5,True
d5:r143:peven:b1,11,386,10106,0.0031,0.0341,5,True
d5:r143:peven:b2,10,872,9620,0.003664,0.03664,5,True
d5:r143:podd:b0,22,143,10349,0.005581,0.122782,5,True
d5:r146:peven:b1,11,146,9866,0.0031,0.0341,5,True
d5:r146:peven:b2,11,632,10352,0.003664,0.040304,5,True
d5:r146:podd:b0,21,389,10109,0.005581,0.117201,5,True
d5:r149:peven:b1,10,878,9626,0.0031,0.031,6,True
d5:r149:peven:b2,11,392,10112,0.003664,0.040304,6,True
d5:r149:podd:b0,22,149,10355,0.005581,0.122782,6,True
d5:r14:peven:b1,11,14,9734,0.0031,0.0341,4,True
d5:r14:peven:b2,11,500,10220,0.003664,0.040304,4,True
d5:r14:podd:b0,21,257,9977,0.005581,0.117201,4,True
d5:r152:peven:b1,11,638,10358,0.0031,0.0341,4,True
d5:r152:peven:b2,11,152,9872,0.003664,0.040304,4,True
d5:r152:podd:b0,21,395,10115,0.005581,0.117201,4,True
d5:r155:peven:b1,11,398,10118,0.0031,0.0341,2,True
d5:r155:peven:b2,10,884,9632,0.003664,0.03664,2,True
d5:r155:podd:b0,22,155,10361,0.005581,0.122782,2,True
d5:r158:peven:b1,11,158,9878,0.0031,0.0341,6,True
d5:r158:peven:b2,11,644,10364,0.003664,0.040304,6,True
d5:r158:podd:b0,21,401,10121,0.005581,0.117201,6,True
d5:r161:peven:b1,10,890,9638,0.0031,0.031,3,True
d5:r161:peven:b2,11,404,10124,0.003664,0.040304,3,True
d5:r161:podd:b0,22,161,10367,0.005581,0.122782,3,True
d5:r164:peven:b1,10,650,9398,0.0031,0.031,4,True
d5:r164:peven:b2,11,164,9884,0.003664,0.040304,4,True
d5:r164:podd:b0,21,407,10127,0.005581,0.117201,4,True
d5:r167:peven:b1,11,410,10130,0.0031,0.0341,5,True
d5:r167:peven:b2,10,896,9644,0.003664,0.03664,5,True
d5:r167:podd:b0,21,167,9887,0.005581,0.117201,5,True
d5:r170:peven:b1,11,170,9890,0.0031,0.0341,5,True
d5:r170:peven:b2,10,656,9404,0.003664,0.03664,5,True
d5:r170:podd:b0,21,413,10133,0.005581,0.117201,5,True
d5:r173:peven:b1,10,902,9650,0.0031,0.031,5,True
d5:r173:peven:b2,11,416,10136,0.003664,0.040304,5,True
d5:r173:podd:b0,21,173,9893,0.005581,0.117201,5,True
d5:r176:peven:b1,10,662,9410,0.0031,0.031,5,True
d5:r176:peven:b2,11,176,9896,0.003664,0.040304,5,True
d5:r176:podd:b0,21,419,10139,0.005581,0.117201,5,True
d5:r179:peven:b1,11,422,10142,0.0031,0.0341,5,True
d5:r179:peven:b2,10,908,9656,0.003664,0.03664,5,True
d5:r179:podd:b0,21,179,9899,0.005581,0.117201,5,True
