component_id,size,spectral_radius_decimal,is_sink
0,1,0.000000000000000000e+00,no
1,1,0.000000000000000000e+00,no
2,1,0.000000000000000000e+00,no
3,1,0.000000000000000000e+00,no
4,1,0.000000000000000000e+00,no
5,1,0.000000000000000000e+00,no
6,1,0.000000000000000000e+00,no
7,1,0.000000000000000000e+00,no
8,1,0.000000000000000000e+00,no
9,1,0.000000000000000000e+00,no
10,1,0.000000000000000000e+00,no
11,1,0.000000000000000000e+00,no
12,1,0.000000000000000000e+00,no
13,1,0.000000000000000000e+00,no
14,1,0.000000000000000000e+00,no
15,1,0.000000000000000000e+00,no
16,1,0.000000000000000000e+00,no
17,1,0.000000000000000000e+00,no
18,1,0.000000000000000000e+00,no
19,1,0.000000000000000000e+00,no
20,1,0.000000000000000000e+00,no
21,1,0.000000000000000000e+00,no
22,1,0.000000000000000000e+00,no
23,1,0.000000000000000000e+00,no
24,1,0.000000000000000000e+00,no
25,1,0.000000000000000000e+00,no
26,1,0.000000000000000000e+00,no
27,1,0.000000000000000000e+00,no
28,1,0.000000000000000000e+00,no
29,1,0.000000000000000000e+00,no
30,1,0.000000000000000000e+00,no
31,1,0.000000000000000000e+00,no
32,1,0.000000000000000000e+00,no
33,1,0.000000000000000000e+00,no
34,1,0.000000000000000000e+00,no
35,1,0.000000000000000000e+00,no
36,1,0.000000000000000000e+00,no
37,1,0.000000000000000000e+00,no
38,1,0.000000000000000000e+00,no
39,1,0.000000000000000000e+00,no
40,1,0.000000000000000000e+00,no
41,1,0.000000000000000000e+00,no
42,1,0.000000000000000000e+00,no
43,1,0.000000000000000000e+00,no
44,1,0.000000000000000000e+00,no
45,1,0.000000000000000000e+00,no
46,1,0.000000000000000000e+00,no
47,1,0.000000000000000000e+00,no
48,1,0.000000000000000000e+00,no
49,1,0.000000000000000000e+00,no
50,1,0.000000000000000000e+00,no
51,1,0.000000000000000000e+00,no
52,1,0.000000000000000000e+00,no
53,1,0.000000000000000000e+00,no
54,1,0.000000000000000000e+00,no
55,1,0.000000000000000000e+00,no
56,1,0.000000000000000000e+00,no
57,1,0.000000000000000000e+00,no
58,1,0.000000000000000000e+00,no
59,1,0.000000000000000000e+00,no
60,1,0.000000000000000000e+00,no
61,1,0.000000000000000000e+00,no
62,1,0.000000000000000000e+00,no
63,1,0.000000000000000000e+00,no
64,1,0.000000000000000000e+00,no
65,1,0.000000000000000000e+00,no
66,1,0.000000000000000000e+00,no
67,1,0.000000000000000000e+00,no
68,1,0.000000000000000000e+00,no
69,1,0.000000000000000000e+00,no
70,1,0.000000000000000000e+00,no
71,1,0.000000000000000000e+00,no
72,1,0.000000000000000000e+00,no
73,1,0.000000000000000000e+00,no
74,1,0.000000000000000000e+00,no
75,1,0.000000000000000000e+00,no
76,1,0.000000000000000000e+00,no
77,1,0.000000000000000000e+00,no
78,1,0.000000000000000000e+00,no
79,1,0.000000000000000000e+00,no
80,1,0.000000000000000000e+00,no
81,1,0.000000000000000000e+00,no
82,1,0.000000000000000000e+00,no
83,1,0.000000000000000000e+00,no
84,1,0.000000000000000000e+00,no
85,1,0.000000000000000000e+00,no
86,1,0.000000000000000000e+00,no
87,1,0.000000000000000000e+00,no
88,1,0.000000000000000000e+00,no
89,1,0.000000000000000000e+00,no
90,1,0.000000000000000000e+00,no
91,1,0.000000000000000000e+00,no
92,1,0.000000000000000000e+00,no
93,1,0.000000000000000000e+00,no
94,1,0.000000000000000000e+00,no
95,1,0.000000000000000000e+00,no
96,1,0.000000000000000000e+00,no
97,1,0.000000000000000000e+00,no
98,1,0.000000000000000000e+00,no
99,1,0.000000000000000000e+00,no
100,1,0.000000000000000000e+00,no
101,1,0.000000000000000000e+00,no
102,1,0.000000000000000000e+00,no
103,1,0.000000000000000000e+00,no
104,1,0.000000000000000000e+00,no
105,1,0.000000000000000000e+00,no
106,1,0.000000000000000000e+00,no
107,1,0.000000000000000000e+00,no
108,1,3.086419753086419582e-01,yes
109,1,0.000000000000000000e+00,no
110,1,0.000000000000000000e+00,no
111,1,0.000000000000000000e+00,no
112,1,0.000000000000000000e+00,no
113,1,0.000000000000000000e+00,no
114,1,0.000000000000000000e+00,no
115,1,0.000000000000000000e+00,no
116,1,0.000000000000000000e+00,no
117,1,0.000000000000000000e+00,no
118,1,0.000000000000000000e+00,no
119,1,0.000000000000000000e+00,no
120,1,0.000000000000000000e+00,no
