source_id,source,deep_lift,channel,target_id,target,weight_decimal,multiplicity
0,d5:r0:podd:b0,,retarded,2,d5:r0:peven:b2,3.086419753086419582e-01,1
1,d5:r0:peven:b1,,retarded,2,d5:r0:peven:b2,3.086419753086419582e-01,1
2,d5:r0:peven:b2,,retarded,2,d5:r0:peven:b2,3.086419753086419582e-01,1
3,d5:r1:podd:b0,,retarded,14,d5:r4:peven:b2,3.086419753086419582e-01,1
4,d5:r1:peven:b1,,retarded,14,d5:r4:peven:b2,3.086419753086419582e-01,1
5,d5:r1:peven:b2,,retarded,14,d5:r4:peven:b2,3.086419753086419582e-01,1
6,d5:r2:podd:b0,,retarded,26,d5:r8:peven:b2,3.086419753086419582e-01,1
6,d5:r2:podd:b0,0,advanced_parity_lift_c1,7,d5:r2:peven:b1,2.611746871334388875e-01,1/3
6,d5:r2:podd:b0,1,advanced_parity_lift_c1,250,d5:r83:peven:b1,2.611746871334388875e-01,1/3
6,d5:r2:podd:b0,2,advanced_parity_lift_c1,493,d5:r164:peven:b1,2.611746871334388875e-01,1/3
7,d5:r2:peven:b1,,retarded,26,d5:r8:peven:b2,3.086419753086419582e-01,1
7,d5:r2:peven:b1,0,advanced_parity_lift_c1,7,d5:r2:peven:b1,2.611746871334388875e-01,1/3
7,d5:r2:peven:b1,1,advanced_parity_lift_c1,250,d5:r83:peven:b1,2.611746871334388875e-01,1/3
7,d5:r2:peven:b1,2,advanced_parity_lift_c1,493,d5:r164:peven:b1,2.611746871334388875e-01,1/3
8,d5:r2:peven:b2,,retarded,26,d5:r8:peven:b2,3.086419753086419582e-01,1
8,d5:r2:peven:b2,0,advanced_parity_lift_c1,7,d5:r2:peven:b1,2.611746871334388875e-01,1/3
8,d5:r2:peven:b2,1,advanced_parity_lift_c1,250,d5:r83:peven:b1,2.611746871334388875e-01,1/3
8,d5:r2:peven:b2,2,advanced_parity_lift_c1,493,d5:r164:peven:b1,2.611746871334388875e-01,1/3
9,d5:r3:podd:b0,,retarded,38,d5:r12:peven:b2,3.086419753086419582e-01,1
10,d5:r3:peven:b1,,retarded,38,d5:r12:peven:b2,3.086419753086419582e-01,1
11,d5:r3:peven:b2,,retarded,38,d5:r12:peven:b2,3.086419753086419582e-01,1
12,d5:r4:podd:b0,,retarded,50,d5:r16:peven:b2,3.086419753086419582e-01,1
13,d5:r4:peven:b1,,retarded,50,d5:r16:peven:b2,3.086419753086419582e-01,1
14,d5:r4:peven:b2,,retarded,50,d5:r16:peven:b2,3.086419753086419582e-01,1
15,d5:r5:podd:b0,,retarded,62,d5:r20:peven:b2,3.086419753086419582e-01,1
16,d5:r5:peven:b1,,retarded,62,d5:r20:peven:b2,3.086419753086419582e-01,1
17,d5:r5:peven:b2,,retarded,62,d5:r20:peven:b2,3.086419753086419582e-01,1
18,d5:r6:podd:b0,,retarded,74,d5:r24:peven:b2,3.086419753086419582e-01,1
19,d5:r6:peven:b1,,retarded,74,d5:r24:peven:b2,3.086419753086419582e-01,1
20,d5:r6:peven:b2,,retarded,74,d5:r24:peven:b2,3.086419753086419582e-01,1
21,d5:r7:podd:b0,,retarded,86,d5:r28:peven:b2,3.086419753086419582e-01,1
