source_id,source,deep_lift,channel,tail_weight_decimal,multiplicity,tail_name
15,d5:r5:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
15,d5:r5:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
15,d5:r5:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
16,d5:r5:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
16,d5:r5:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
16,d5:r5:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
17,d5:r5:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
17,d5:r5:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
17,d5:r5:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
42,d5:r14:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
42,d5:r14:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
42,d5:r14:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
43,d5:r14:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
43,d5:r14:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
43,d5:r14:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
44,d5:r14:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
44,d5:r14:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
44,d5:r14:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
69,d5:r23:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
69,d5:r23:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
69,d5:r23:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
70,d5:r23:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
70,d5:r23:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
70,d5:r23:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
71,d5:r23:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
71,d5:r23:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
71,d5:r23:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
96,d5:r32:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
96,d5:r32:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
96,d5:r32:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
97,d5:r32:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
97,d5:r32:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
97,d5:r32:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
98,d5:r32:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
98,d5:r32:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
98,d5:r32:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
123,d5:r41:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
123,d5:r41:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
123,d5:r41:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
124,d5:r41:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
124,d5:r41:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
124,d5:r41:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
125,d5:r41:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
125,d5:r41:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
125,d5:r41:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
150,d5:r50:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
150,d5:r50:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
150,d5:r50:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
151,d5:r50:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
151,d5:r50:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
151,d5:r50:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
152,d5:r50:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
152,d5:r50:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
152,d5:r50:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
177,d5:r59:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
177,d5:r59:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
177,d5:r59:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
178,d5:r59:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
178,d5:r59:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
178,d5:r59:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
179,d5:r59:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
179,d5:r59:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
179,d5:r59:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
204,d5:r68:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
204,d5:r68:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
204,d5:r68:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
205,d5:r68:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
205,d5:r68:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
