core_local_id,state_id,state,residue_mod_9,parity,bucket
0,7,d5:r2:peven:b1,2,even,1
1,8,d5:r2:peven:b2,2,even,2
2,15,d5:r5:podd:b0,5,odd,0
3,17,d5:r5:peven:b2,5,even,2
4,26,d5:r8:peven:b2,8,even,2
5,33,d5:r11:podd:b0,2,odd,0
6,34,d5:r11:peven:b1,2,even,1
7,35,d5:r11:peven:b2,2,even,2
8,43,d5:r14:peven:b1,5,even,1
9,44,d5:r14:peven:b2,5,even,2
10,51,d5:r17:podd:b0,8,odd,0
11,53,d5:r17:peven:b2,8,even,2
12,62,d5:r20:peven:b2,2,even,2
13,69,d5:r23:podd:b0,5,odd,0
14,70,d5:r23:peven:b1,5,even,1
15,71,d5:r23:peven:b2,5,even,2
16,79,d5:r26:peven:b1,8,even,1
17,80,d5:r26:peven:b2,8,even,2
18,87,d5:r29:podd:b0,2,odd,0
19,89,d5:r29:peven:b2,2,even,2
20,98,d5:r32:peven:b2,5,even,2
21,105,d5:r35:podd:b0,8,odd,0
22,106,d5:r35:peven:b1,8,even,1
23,107,d5:r35:peven:b2,8,even,2
24,115,d5:r38:peven:b1,2,even,1
25,116,d5:r38:peven:b2,2,even,2
26,123,d5:r41:podd:b0,5,odd,0
27,125,d5:r41:peven:b2,5,even,2
28,134,d5:r44:peven:b2,8,even,2
29,141,d5:r47:podd:b0,2,odd,0
30,142,d5:r47:peven:b1,2,even,1
31,143,d5:r47:peven:b2,2,even,2
32,151,d5:r50:peven:b1,5,even,1
33,152,d5:r50:peven:b2,5,even,2
34,159,d5:r53:podd:b0,8,odd,0
35,161,d5:r53:peven:b2,8,even,2
36,170,d5:r56:peven:b2,2,even,2
37,177,d5:r59:podd:b0,5,odd,0
38,178,d5:r59:peven:b1,5,even,1
39,179,d5:r59:peven:b2,5,even,2
40,187,d5:r62:peven:b1,8,even,1
41,188,d5:r62:peven:b2,8,even,2
42,195,d5:r65:podd:b0,2,odd,0
43,197,d5:r65:peven:b2,2,even,2
44,206,d5:r68:peven:b2,5,even,2
45,213,d5:r71:podd:b0,8,odd,0
46,214,d5:r71:peven:b1,8,even,1
47,215,d5:r71:peven:b2,8,even,2
48,223,d5:r74:peven:b1,2,even,1
49,224,d5:r74:peven:b2,2,even,2
50,231,d5:r77:podd:b0,5,odd,0
51,233,d5:r77:peven:b2,5,even,2
52,242,d5:r80:peven:b2,8,even,2
53,249,d5:r83:podd:b0,2,odd,0
54,251,d5:r83:peven:b2,2,even,2
55,259,d5:r86:peven:b1,5,even,1
56,260,d5:r86:peven:b2,5,even,2
57,267,d5:r89:podd:b0,8,odd,0
58,269,d5:r89:peven:b2,8,even,2
59,278,d5:r92:peven:b2,2,even,2
60,285,d5:r95:podd:b0,5,odd,0
61,287,d5:r95:peven:b2,5,even,2
62,295,d5:r98:peven:b1,8,even,1
63,296,d5:r98:peven:b2,8,even,2
64,303,d5:r101:podd:b0,2,odd,0
65,305,d5:r101:peven:b2,2,even,2
66,314,d5:r104:peven:b2,5,even,2
67,321,d5:r107:podd:b0,8,odd,0
68,323,d5:r107:peven:b2,8,even,2
69,331,d5:r110:peven:b1,2,even,1
70,332,d5:r110:peven:b2,2,even,2
71,339,d5:r113:podd:b0,5,odd,0
72,341,d5:r113:peven:b2,5,even,2
73,350,d5:r116:peven:b2,8,even,2
74,357,d5:r119:podd:b0,2,odd,0
75,359,d5:r119:peven:b2,2,even,2
76,367,d5:r122:peven:b1,5,even,1
77,368,d5:r122:peven:b2,5,even,2
78,375,d5:r125:podd:b0,8,odd,0
79,377,d5:r125:peven:b2,8,even,2
80,386,d5:r128:peven:b2,2,even,2
81,393,d5:r131:podd:b0,5,odd,0
82,395,d5:r131:peven:b2,5,even,2
83,403,d5:r134:peven:b1,8,even,1
84,404,d5:r134:peven:b2,8,even,2
85,411,d5:r137:podd:b0,2,odd,0
86,413,d5:r137:peven:b2,2,even,2
87,422,d5:r140:peven:b2,5,even,2
88,429,d5:r143:podd:b0,8,odd,0
89,431,d5:r143:peven:b2,8,even,2
90,439,d5:r146:peven:b1,2,even,1
91,440,d5:r146:peven:b2,2,even,2
92,447,d5:r149:podd:b0,5,odd,0
93,449,d5:r149:peven:b2,5,even,2
94,458,d5:r152:peven:b2,8,even,2
95,465,d5:r155:podd:b0,2,odd,0
96,467,d5:r155:peven:b2,2,even,2
97,475,d5:r158:peven:b1,5,even,1
98,476,d5:r158:peven:b2,5,even,2
99,483,d5:r161:podd:b0,8,odd,0
100,485,d5:r161:peven:b2,8,even,2
101,494,d5:r164:peven:b2,2,even,2
102,503,d5:r167:peven:b2,5,even,2
103,511,d5:r170:peven:b1,8,even,1
104,512,d5:r170:peven:b2,8,even,2
105,521,d5:r173:peven:b2,2,even,2
106,530,d5:r176:peven:b2,5,even,2
107,539,d5:r179:peven:b2,8,even,2
108,547,d5:r182:peven:b1,2,even,1
109,548,d5:r182:peven:b2,2,even,2
110,557,d5:r185:peven:b2,5,even,2
111,566,d5:r188:peven:b2,8,even,2
112,575,d5:r191:peven:b2,2,even,2
113,583,d5:r194:peven:b1,5,even,1
114,584,d5:r194:peven:b2,5,even,2
115,593,d5:r197:peven:b2,8,even,2
116,602,d5:r200:peven:b2,2,even,2
117,611,d5:r203:peven:b2,5,even,2
118,619,d5:r206:peven:b1,8,even,1
119,620,d5:r206:peven:b2,8,even,2
120,629,d5:r209:peven:b2,2,even,2
