core_local_id,state_id,state,residue_mod_9,parity,bucket,integer_weight_over_D,rational_weight_decimal,lhs_wM_decimal,rhs_1_plus_delta_w_decimal,ratio_lhs_over_rhs,passes
0,7,d5:r2:peven:b1,2,even,1,6978,6.977999999999999828e-03,7.080706942874664608e-03,7.047780000000000017e-03,1.004671959521248548e+00,yes
1,8,d5:r2:peven:b2,2,even,2,2059,2.059000000000000066e-03,2.090123456790123676e-03,2.079590000000000084e-03,1.005065160339357000e+00,yes
2,15,d5:r5:podd:b0,5,odd,0,3820,3.820000000000000045e-03,3.877033760621047265e-03,3.858199999999999998e-03,1.004881488938118128e+00,yes
3,17,d5:r5:peven:b2,5,even,2,16258,1.625800000000000162e-02,1.649876543209876853e-02,1.642058000000000059e-02,1.004761429383052684e+00,yes
4,26,d5:r8:peven:b2,8,even,2,2749,2.749000000000000141e-03,2.789197530864197857e-03,2.776490000000000381e-03,1.004576832930857755e+00,yes
5,33,d5:r11:podd:b0,2,odd,0,17911,1.791099999999999984e-02,1.817368389936806564e-02,1.809010999999999952e-02,1.004619866842604292e+00,yes
6,34,d5:r11:peven:b1,2,even,1,89,8.899999999999999491e-05,9.088879112243678123e-05,8.988999999999999486e-05,1.011111259566545684e+00,yes
7,35,d5:r11:peven:b2,2,even,2,1441,1.441000000000000007e-03,1.462345679012345794e-03,1.455410000000000080e-03,1.004765446858511213e+00,yes
8,43,d5:r14:peven:b1,5,even,1,15011,1.501100000000000004e-02,1.523249127768356442e-02,1.516111000000000021e-02,1.004708182823260687e+00,yes
9,44,d5:r14:peven:b2,5,even,2,9300,9.299999999999999239e-03,9.438271604938272899e-03,9.392999999999998573e-03,1.004819717336130624e+00,yes
10,51,d5:r17:podd:b0,8,odd,0,6660,6.660000000000000121e-03,6.758365144014570787e-03,6.726600000000000114e-03,1.004722317963691935e+00,yes
11,53,d5:r17:peven:b2,8,even,2,6226,6.225999999999999764e-03,6.318827160493828247e-03,6.288259999999999510e-03,1.004860988650887244e+00,yes
12,62,d5:r20:peven:b2,2,even,2,6107,6.106999999999999582e-03,6.196913580246914827e-03,6.168069999999999456e-03,1.004676273169227141e+00,yes
13,69,d5:r23:podd:b0,5,odd,0,15061,1.506099999999999973e-02,1.528106976949037722e-02,1.521161000000000041e-02,1.004566233915435536e+00,yes
14,70,d5:r23:peven:b1,5,even,1,2808,2.808000000000000166e-03,2.849677011312953291e-03,2.836080000000000371e-03,1.004794297520857249e+00,yes
15,71,d5:r23:peven:b2,5,even,2,6204,6.204000000000000313e-03,6.296604938271605292e-03,6.266040000000000498e-03,1.004877871553900848e+00,yes
16,79,d5:r26:peven:b1,8,even,1,4715,4.714999999999999573e-03,4.784981442971736332e-03,4.762149999999999717e-03,1.004794356114724785e+00,yes
17,80,d5:r26:peven:b2,8,even,2,77,7.700000000000000139e-05,7.839506172839507076e-05,7.776999999999999571e-05,1.008037311667674851e+00,yes
18,87,d5:r29:podd:b0,2,odd,0,8218,8.217999999999999611e-03,8.339359995108130627e-03,8.300179999999999017e-03,1.004720378968664729e+00,yes
19,89,d5:r29:peven:b2,2,even,2,1192,1.191999999999999917e-03,1.209567901234568027e-03,1.203920000000000034e-03,1.004691259580842599e+00,yes
20,98,d5:r32:peven:b2,5,even,2,836,8.360000000000000460e-04,8.484567901234569328e-04,8.443600000000000541e-04,1.004851947183022398e+00,yes
21,105,d5:r35:podd:b0,8,odd,0,6424,6.424000000000000023e-03,6.518606781226073989e-03,6.488240000000000153e-03,1.004680280203271492e+00,yes
22,106,d5:r35:peven:b1,8,even,1,4376,4.375999999999999682e-03,4.441014380016997110e-03,4.419760000000000008e-03,1.004808944380916058e+00,yes
