a,state,c,y,x,lhs_row_mass,retarded_first_hit_count,advanced_direct_first_hit_count,parity_lift_first_hit_count,first_hit_fibre_total,fibre_sets_disjoint,fibre_total_over_lhs
5,d5:r5:podd:b0,3,8,1280,0.0038770337606210473,463,0,0,463,yes,119421.19377516945
8,d5:r8:peven:b2,5,8,2048,0.002789197530864198,91,677,0,768,yes,275348.0137213677
11,d5:r11:podd:b0,7,8,2816,0.018173683899368066,450,0,259,709,yes,39012.45360741932
14,d5:r14:peven:b1,9,8,3584,0.015232491277683564,331,0,0,331,yes,21729.86637352835
17,d5:r17:podd:b0,11,8,4352,0.006758365144014571,80,1066,0,1146,yes,169567.63589711263
20,d5:r20:peven:b2,13,8,5120,0.006196913580246915,1571,0,1393,2964,yes,478302.6197828468
23,d5:r23:podd:b0,15,8,5888,0.015281069769490377,1651,0,0,1651,yes,108042.174069274
26,d5:r26:peven:b1,17,8,6656,0.004784981442971736,81,1725,0,1806,yes,377430.93082475464
29,d5:r29:podd:b0,19,8,7424,0.00833935999510813,306,0,743,1049,yes,125789.02944774462
32,d5:r32:peven:b2,21,8,8192,0.0008484567901234569,342,0,0,342,yes,403084.75809385226
35,d5:r35:podd:b0,23,8,8960,0.006518606781226074,88,2450,0,2538,yes,389347.0008514046
38,d5:r38:peven:b1,25,8,9728,0.007372961417776983,766,0,183,949,yes,128713.54483313333
41,d5:r41:podd:b0,27,8,10496,0.0753913120071876,318,0,0,318,yes,4217.992651058822
44,d5:r44:peven:b2,29,8,11264,0.00600030864197531,88,1505,0,1593,yes,265486.34329509793
47,d5:r47:podd:b0,31,8,12032,0.04474173118295456,733,0,674,1407,yes,31447.15152497341
50,d5:r50:peven:b1,33,8,12800,0.009478290570759634,225,0,0,225,yes,23738.457722969706
53,d5:r53:podd:b0,35,8,13568,0.0026190075276366987,62,3982,0,4044,yes,1544096.3637279673
56,d5:r56:peven:b2,37,8,14336,0.007503395061728395,150,0,1215,1365,yes,181917.65044630002
59,d5:r59:podd:b0,39,8,15104,0.035114727745341155,531,0,0,531,yes,15121.860088191925
62,d5:r62:peven:b1,41,8,15872,0.052554876418426266,385,580,0,965,yes,18361.759474362712
65,d5:r65:podd:b0,43,8,16640,0.019373886056621072,410,0,604,1014,yes,52338.49301252926
68,d5:r68:peven:b2,45,8,17408,0.003977160493827161,210,0,0,210,yes,52801.48998913549
71,d5:r71:podd:b0,47,8,18176,0.02197173843459996,127,2118,0,2245,yes,102176.71244732686
74,d5:r74:peven:b1,49,8,18944,0.005793376909993944,373,0,1221,1594,yes,275141.7739194991
77,d5:r77:podd:b0,51,8,19712,0.0040364025547098715,572,0,0,572,yes,141710.34535010948
80,d5:r80:peven:b2,53,8,20480,0.0018848765432098766,81,5934,0,6015,yes,3191190.4372032094
83,d5:r83:podd:b0,55,8,21248,0.04312829843571903,209,0,590,799,yes,18526.11925302077
86,d5:r86:peven:b1,57,8,22016,0.016041088109048692,802,0,0,802,yes,49996.608368954476
89,d5:r89:podd:b0,59,8,22784,0.012143055903582108,123,785,0,908,yes,74775.24662734584
92,d5:r92:peven:b2,61,8,23552,0.00742993827160494,422,0,6158,6580,yes,885606.2808956091
95,d5:r95:podd:b0,63,8,24320,0.01561250044746271,639,0,0,639,yes,40928.741821355594
98,d5:r98:peven:b1,65,8,25088,0.005258229976057528,58,1874,0,1932,yes,367424.02078209573
101,d5:r101:podd:b0,67,8,25856,0.005188653039405178,759,0,1043,1802,yes,347296.2995048479
104,d5:r104:peven:b2,69,8,26624,0.0014790123456790124,212,0,0,212,yes,143338.898163606
107,d5:r107:podd:b0,71,8,27392,0.014058302119269043,77,3461,0,3538,yes,251666.23750037586
110,d5:r110:peven:b1,73,8,28160,0.03331309251855728,176,0,735,911,yes,27346.605527316966
113,d5:r113:podd:b0,75,8,28928,0.011227743095054258,378,0,0,378,yes,33666.605728314746
116,d5:r116:peven:b2,77,8,29696,0.0029043209876543213,99,942,0,1041,yes,358431.45589798084
119,d5:r119:podd:b0,79,8,30464,0.00018898600360975638,651,0,150,801,yes,4238409.113375465
122,d5:r122:peven:b1,81,8,31232,0.0057369631775731214,8150,0,0,8150,yes,1420612.2207407393
125,d5:r125:podd:b0,83,8,32000,0.02877241387793015,570,1294,0,1864,yes,64784.275935561294
