a,t,known_cycle_root,c,c_mod3,c_mod9,lifted_2c,lifted_mod9,t_mod3,expected_lifted_mod9,c_mod3_is_one,lifted_tracked_class,lifted_residue_expected,T_lifted_eq_c,T_c_eq_a,direct_advanced_ratio,lifted_shift_ratio,ideal_advanced_ratio,shift_alpha_minus_2_accounting_ok
2,0,yes,1,1,1,2,2,0,2,yes,yes,yes,yes,yes,3/4,3/4,3/4,yes
11,1,no,7,1,7,14,5,1,5,yes,yes,yes,yes,yes,21/22,21/22,21/22,yes
20,2,no,13,1,4,26,8,2,8,yes,yes,yes,yes,yes,39/40,39/40,39/40,yes
29,3,no,19,1,1,38,2,0,2,yes,yes,yes,yes,yes,57/58,57/58,57/58,yes
38,4,no,25,1,7,50,5,1,5,yes,yes,yes,yes,yes,75/76,75/76,75/76,yes
47,5,no,31,1,4,62,8,2,8,yes,yes,yes,yes,yes,93/94,93/94,93/94,yes
56,6,no,37,1,1,74,2,0,2,yes,yes,yes,yes,yes,111/112,111/112,111/112,yes
65,7,no,43,1,7,86,5,1,5,yes,yes,yes,yes,yes,129/130,129/130,129/130,yes
74,8,no,49,1,4,98,8,2,8,yes,yes,yes,yes,yes,147/148,147/148,147/148,yes
83,9,no,55,1,1,110,2,0,2,yes,yes,yes,yes,yes,165/166,165/166,165/166,yes
92,10,no,61,1,7,122,5,1,5,yes,yes,yes,yes,yes,183/184,183/184,183/184,yes
101,11,no,67,1,4,134,8,2,8,yes,yes,yes,yes,yes,201/202,201/202,201/202,yes
110,12,no,73,1,1,146,2,0,2,yes,yes,yes,yes,yes,219/220,219/220,219/220,yes
119,13,no,79,1,7,158,5,1,5,yes,yes,yes,yes,yes,237/238,237/238,237/238,yes
128,14,no,85,1,4,170,8,2,8,yes,yes,yes,yes,yes,255/256,255/256,255/256,yes
137,15,no,91,1,1,182,2,0,2,yes,yes,yes,yes,yes,273/274,273/274,273/274,yes
146,16,no,97,1,7,194,5,1,5,yes,yes,yes,yes,yes,291/292,291/292,291/292,yes
155,17,no,103,1,4,206,8,2,8,yes,yes,yes,yes,yes,309/310,309/310,309/310,yes
164,18,no,109,1,1,218,2,0,2,yes,yes,yes,yes,yes,327/328,327/328,327/328,yes
173,19,no,115,1,7,230,5,1,5,yes,yes,yes,yes,yes,345/346,345/346,345/346,yes
182,20,no,121,1,4,242,8,2,8,yes,yes,yes,yes,yes,363/364,363/364,363/364,yes
191,21,no,127,1,1,254,2,0,2,yes,yes,yes,yes,yes,381/382,381/382,381/382,yes
200,22,no,133,1,7,266,5,1,5,yes,yes,yes,yes,yes,399/400,399/400,399/400,yes
209,23,no,139,1,4,278,8,2,8,yes,yes,yes,yes,yes,417/418,417/418,417/418,yes
218,24,no,145,1,1,290,2,0,2,yes,yes,yes,yes,yes,435/436,435/436,435/436,yes
227,25,no,151,1,7,302,5,1,5,yes,yes,yes,yes,yes,453/454,453/454,453/454,yes
236,26,no,157,1,4,314,8,2,8,yes,yes,yes,yes,yes,471/472,471/472,471/472,yes
245,27,no,163,1,1,326,2,0,2,yes,yes,yes,yes,yes,489/490,489/490,489/490,yes
254,28,no,169,1,7,338,5,1,5,yes,yes,yes,yes,yes,507/508,507/508,507/508,yes
263,29,no,175,1,4,350,8,2,8,yes,yes,yes,yes,yes,525/526,525/526,525/526,yes
272,30,no,181,1,1,362,2,0,2,yes,yes,yes,yes,yes,543/544,543/544,543/544,yes
281,31,no,187,1,7,374,5,1,5,yes,yes,yes,yes,yes,561/562,561/562,561/562,yes
290,32,no,193,1,4,386,8,2,8,yes,yes,yes,yes,yes,579/580,579/580,579/580,yes
299,33,no,199,1,1,398,2,0,2,yes,yes,yes,yes,yes,597/598,597/598,597/598,yes
308,34,no,205,1,7,410,5,1,5,yes,yes,yes,yes,yes,615/616,615/616,615/616,yes
317,35,no,211,1,4,422,8,2,8,yes,yes,yes,yes,yes,633/634,633/634,633/634,yes
326,36,no,217,1,1,434,2,0,2,yes,yes,yes,yes,yes,651/652,651/652,651/652,yes
335,37,no,223,1,7,446,5,1,5,yes,yes,yes,yes,yes,669/670,669/670,669/670,yes
344,38,no,229,1,4,458,8,2,8,yes,yes,yes,yes,yes,687/688,687/688,687/688,yes
353,39,no,235,1,1,470,2,0,2,yes,yes,yes,yes,yes,705/706,705/706,705/706,yes
362,40,no,241,1,7,482,5,1,5,yes,yes,yes,yes,yes,723/724,723/724,723/724,yes
371,41,no,247,1,4,494,8,2,8,yes,yes,yes,yes,yes,741/742,741/742,741/742,yes
380,42,no,253,1,1,506,2,0,2,yes,yes,yes,yes,yes,759/760,759/760,759/760,yes
389,43,no,259,1,7,518,5,1,5,yes,yes,yes,yes,yes,777/778,777/778,777/778,yes
398,44,no,265,1,4,530,8,2,8,yes,yes,yes,yes,yes,795/796,795/796,795/796,yes
407,45,no,271,1,1,542,2,0,2,yes,yes,yes,yes,yes,813/814,813/814,813/814,yes
416,46,no,277,1,7,554,5,1,5,yes,yes,yes,yes,yes,831/832,831/832,831/832,yes
425,47,no,283,1,4,566,8,2,8,yes,yes,yes,yes,yes,849/850,849/850,849/850,yes
434,48,no,289,1,1,578,2,0,2,yes,yes,yes,yes,yes,867/868,867/868,867/868,yes
443,49,no,295,1,7,590,5,1,5,yes,yes,yes,yes,yes,885/886,885/886,885/886,yes
452,50,no,301,1,4,602,8,2,8,yes,yes,yes,yes,yes,903/904,903/904,903/904,yes
461,51,no,307,1,1,614,2,0,2,yes,yes,yes,yes,yes,921/922,921/922,921/922,yes
470,52,no,313,1,7,626,5,1,5,yes,yes,yes,yes,yes,939/940,939/940,939/940,yes
479,53,no,319,1,4,638,8,2,8,yes,yes,yes,yes,yes,957/958,957/958,957/958,yes
488,54,no,325,1,1,650,2,0,2,yes,yes,yes,yes,yes,975/976,975/976,975/976,yes
497,55,no,331,1,7,662,5,1,5,yes,yes,yes,yes,yes,993/994,993/994,993/994,yes
