mode,value,lift_indices,lift_slacks
2,321017511/50000000,0;19683;39366,5497547/100000000;0;4536509/10000000
5,70403499/25000000,1;19684;39367,596091/50000000;8669411/25000000;0
8,226669311/50000000,2;19685;39368,3924829/50000000;32465373/100000000;0
11,219618551/50000000,3;19686;39369,5328229/20000000;0;112029/12500000
14,550281/250000,4;19687;39370,0;1376959/12500000;5141443/100000000
17,6460067/1000000,5;19688;39371,20735691/100000000;4443031/100000000;0
20,113070571/12500000,6;19689;39372,3829377/100000000;27846777/25000000;0
23,78618523/50000000,7;19690;39373,1485041/50000000;1077879/25000000;0
26,916237119/100000000,8;19691;39374,24142853/50000000;0;10364959/50000000
29,122668669/20000000,9;19692;39375,0;114655253/100000000;87892877/100000000
32,100614421/50000000,10;19693;39376,1525017/20000000;980221/10000000;0
35,272498341/100000000,11;19694;39377,12034433/100000000;7713173/20000000;0
38,70406331/12500000,12;19695;39378,664981/3125000;5315603/25000000;0
41,113909901/50000000,13;19696;39379,0;6250749/100000000;3662153/25000000
44,430436461/50000000,14;19697;39380,5037659/6250000;0;11274487/50000000
47,769940297/100000000,15;19698;39381,0;44325453/100000000;19195181/50000000
50,81567523/50000000,16;19699;39382,4321741/50000000;0;3300331/50000000
53,197738213/50000000,17;19700;39383,28937867/100000000;8233813/100000000;0
56,707016983/100000000,18;19701;39384,0;35383139/100000000;129021/781250
59,341988419/100000000,19;19702;39385,0;16186547/100000000;1626667/50000000
62,244187283/50000000,20;19703;39386,1070321/20000000;6070259/50000000;0
65,238525433/50000000,21;19704;39387,88929557/100000000;63485531/100000000;0
68,78432163/50000000,22;19705;39388,0;4490489/100000000;63769/1562500
71,539160007/50000000,23;19706;39389,30697319/50000000;0;27420223/100000000
74,18700369/2500000,24;19707;39390,6516753/50000000;7856911/100000000;0
77,1699121/500000,25;19708;39391,2123049/6250000;0;119191061/100000000
80,303391193/50000000,26;19709;39392,244613/25000000;49456993/100000000;0
83,473608073/100000000,27;19710;39393,15787947/100000000;0;7494661/20000000
86,371747491/100000000,28;19711;39394,29176751/100000000;6367891/12500000;0
89,130124561/25000000,29;19712;39395,51754831/100000000;18335331/100000000;0
92,50505679/10000000,30;19713;39396,238503/2500000;138489/1000000;0
95,393968733/100000000,31;19714;39397,0;31852707/50000000;4413819/6250000
98,688893917/100000000,32;19715;39398,2826173/12500000;30527141/50000000;0
101,10034481/1000000,33;19716;39399,25747027/50000000;68324363/100000000;0
104,178811381/100000000,34;19717;39400,112489/50000000;4715223/100000000;0
107,309893023/20000000,35;19718;39401,4480267/20000000;76749513/100000000;0
110,212093941/50000000,36;19719;39402,0;27480841/100000000;39267967/100000000
113,41674149/20000000,37;19720;39403,346243/2000000;0;3561191/100000000
116,129839133/25000000,38;19721;39404,3831111/12500000;144899813/100000000;0
119,232685053/50000000,39;19722;39405,2018083/100000000;384173/6250000;0
122,323405839/100000000,40;19723;39406,5510293/12500000;0;426743/12500000
125,424119397/50000000,41;19724;39407,2915083/25000000;17757171/100000000;0
128,161590407/25000000,42;19725;39408,979693/4000000;31485409/100000000;0
131,12151181/5000000,43;19726;39409,0;953937/6250000;8896821/25000000
134,383713489/50000000,44;19727;39410,6289533/100000000;0;2095207/5000000
137,2176850661/100000000,45;19728;39411,22776067/6250000;0;213192041/100000000
140,40616559/20000000,46;19729;39412,178633/50000000;11794067/100000000;0
143,314052731/50000000,47;19730;39413,52298327/100000000;0;135614541/100000000
146,97646499/25000000,48;19731;39414,46703551/100000000;49420559/100000000;0
149,93027563/50000000,49;19732;39415,0;6709/312500;19569679/100000000
152,1369358199/100000000,50;19733;39416,484449/500000;124634031/100000000;0
155,502942901/25000000,51;19734;39417,276282263/50000000;0;41317933/50000000
