asset_kind,path,status,sha256,description
source_doc,docs/KL2003_F2_K2_GENERATOR_REGRESSION_SCOPING_v1.md,present,274bf7d1e3d707d265653f85c4c1d9123c22124458736b8db35fb8a11155f5cc,regression contract for future generator
source_doc,docs/KL2003_AUDIT_READY_FIDELITY_PACKAGE_v1.md,present,ec3e82a792d15148fb1c7a0eccad55c5ec50161d89d94fb27766e77892438585,audit-ready theorem and dependency package
source_doc,docs/KL2003_META_ERRATA_M1_PHI5_REINSTATEMENT_v1.md,present,faf6f1e137ffbdb6a4e036ed8e6b01c142a9909f74679b732002b42399064967,source-fidelity correction requiring phi25 in M1V3
source_doc,docs/KL2003_M0C_ROWS_V3_PHI5_CONTRACT_AND_RECHECK_SCOPING_v1.md,present,2bf6382461d70a91db7d4f208f0788df3d02e57826f0d08cf9fcb7c77b4ccc14,V3 row contract scoping
source_doc,docs/KL2003_M0C_ROWS_V3_PHI5_LEAN_MIGRATION_v1.md,present,a79b3f25539b051e44d475d94e32ff60a697da54d9e01ae0ddda440803c79295,V3 Lean migration record
source_doc,docs/KL2003_ROW28_V3_MOD8_CP_SPLIT_AND_ROWSV3_FINAL_LEAN_v1.md,present,e13ee511a07cb03e09acf63768da08b02ba5236953537ef4b09cb9e7ae3b598a,row28 V3 final seam record
source_doc,docs/KL2003_K2_CERTIFICATE_ENDPOINT_UNIFICATION_BLO_UPGRADE_v1.md,present,aeff203ffc57040954a31b4d37e9728f120456f98530565cf201f5d1acf8f915,B_lo endpoint unification record
lean_module,CollatzClassical/KL2003/KL2003M0CRetardedInduction.lean,present,34394817144cfbc1321174216382de80b9e4ee295297a194a7fab8600f3f5d95,"abstract rows V3, assemblies, and induction"
lean_module,CollatzClassical/KL2003/KL2003ConcretePhiRealization.lean,present,1821a02348ff8e7e371a23cd1cd914d82b2f6461dc11a4f7acfe4a8d6ce7c31e,concrete Phi seam and rows V3
lean_module,CollatzClassical/KL2003/KL2003M1Surrogate.lean,present,27ee0bc21023889c4a7c2980821ab2b0e9c041cc9502087069389476b896682e,final k2 surrogate theorem package
lean_module,CollatzClassical/KL2003/KL2003K2CertificateData.lean,present,2b1321e6051fd8c1e4131a1bfee95238eb835580b58529c46c4c4ba336736e2e,exact rational certificate constants and slacks
audit,CollatzClassical/KL2003/KL2003M0CRetardedInductionAxiomAudit.lean,present,d9fc59180f221671f5f93879cb0f6554dcedb131cd0d167636f8b005491e4beb,abstract induction axiom audit
audit,CollatzClassical/KL2003/KL2003ConcretePhiRealizationAxiomAudit.lean,present,b449ce85177b3007185769f69f5e195c65f08951fc9c7057f73a85b1f5fb7191,concrete seam axiom audit
audit,CollatzClassical/KL2003/KL2003M1SurrogateAxiomAudit.lean,present,6bea0c1bd5621ac4f6dd2d8d915093264d83140d2b6b40e591810399787b580b,M1 surrogate axiom audit
certificate_data,CollatzClassical/KL2003/KL2003K2CertificateData.lean,present,2b1321e6051fd8c1e4131a1bfee95238eb835580b58529c46c4c4ba336736e2e,k2 rational data baseline
output_artifact,outputs/KL2003_K2_INTERIOR_RATIONAL_CERTIFICATE_v1,present,directory,rational certificate script outputs
output_artifact,outputs/KL2003_FIGURE_A1_GRAPH_TRANSCRIPTION_v1,present,directory,Figure A1 graph transcription custody
output_artifact,outputs/KL2003_ROW28_V3_LITERAL_WORD_TABLE_RECOVERY_v1,present,directory,literal table recovery attempt custody
