edge_id,parent,child,inverse_step,shift_delta,derivation_source_ref
GE00,G00,G01,D3_retarded_4m,-2,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-445:D3_formula
GE01,G00,G02,D3_kminus1_min,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:450-451:phi_kminus1_min
GE02,G02,G03,D3_advanced_min_class_5,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:443-445:D3_advanced_min
GE03,G02,G04,D3_advanced_min_class_8,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:443-445:D3_advanced_min
GE04,G02,G05,D3_advanced_min_class_2,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:443-445:D3_advanced_min
GE05,G05,G06,D1_retarded_4m,-2,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-445:D1_formula
GE06,G05,G07,D1_kminus1_min,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:450-451:phi_kminus1_min
GE07,G07,G08,D1_advanced_min_class_2,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-437:D1_advanced_min
GE08,G07,G09,D1_advanced_min_class_5,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-437:D1_advanced_min
GE09,G07,G10,D1_advanced_min_class_8,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-437:D1_advanced_min
GE10,G08,G11,D1_retarded_4m,-2,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-445:D1_formula
GE11,G08,G12,D1_kminus1_min,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:450-451:phi_kminus1_min
GE12,G12,G13,D1_advanced_min_class_2,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-437:D1_advanced_min
GE13,G12,G14,D1_advanced_min_class_5,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-437:D1_advanced_min
GE14,G12,G15,D1_advanced_min_class_8,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-437:D1_advanced_min
