generated_node_id,parent_generated_node_id,node_kind,mode_class,shift,shift_interval_lower,shift_interval_upper,graph_depth,expansion_depth,inverse_step,inverse_word,status,deletion_reason,derivation_source_ref,path_signature
G00,,p,8,0,0,0,0,0,root,,expanded,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:680-683:row28_D3_root_initialization,p:8:0
G01,G00,p,5,-2,-2,-2,1,1,D3_retarded_4m,D3:retarded,terminal,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-445:D3_formula,p:8:0 -> p:5:-2
G02,G00,m,,,,,1,1,D3_kminus1_min,D3:min,expanded,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:450-451:phi_kminus1_min,p:8:0 -> M
G03,G02,p,5,alpha-1,7/12,3/5,2,1,D3_advanced_min_class_5,D3:min class:5,terminal,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:443-445:D3_advanced_min,p:8:0 -> M -> p:5:alpha-1
G04,G02,p,8,alpha-1,7/12,3/5,2,1,D3_advanced_min_class_8,D3:min class:8,deleted,same mode 8 ancestor G00 has 0 < alpha-1,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:443-445:D3_advanced_min,p:8:0 -> M -> p:8:alpha-1
G05,G02,p,2,alpha-1,7/12,3/5,2,1,D3_advanced_min_class_2,D3:min class:2,expanded,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:443-445:D3_advanced_min,p:8:0 -> M -> p:2:alpha-1
G06,G05,p,8,alpha-3,-17/12,-7/5,3,2,D1_retarded_4m,D3:min class:2 D1:retarded,terminal,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-445:D1_formula,p:8:0 -> M -> p:2:alpha-1 -> p:8:alpha-3
G07,G05,m,,,,,3,2,D1_kminus1_min,D3:min class:2 D1:min,expanded,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:450-451:phi_kminus1_min,p:8:0 -> M -> p:2:alpha-1 -> M
G08,G07,p,2,2*alpha-3,1/6,1/5,4,2,D1_advanced_min_class_2,D3:min class:2 D1:min class:2,expanded,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-437:D1_advanced_min,p:8:0 -> M -> p:2:alpha-1 -> M -> p:2:2*alpha-3
G09,G07,p,5,2*alpha-3,1/6,1/5,4,2,D1_advanced_min_class_5,D3:min class:2 D1:min class:5,terminal,,/Users/MoiTam/Documents/Codex/2026-07-05/tarea-krasikov-m1-feasibility-reconstruction-v2/work/sources/kl2003_src/30apr02.tex:433-437:D1_advanced_min,p:8:0 -> M -> p:2:alpha-1 -> M -> p:5:2*alpha-3
