root_mode,edge_id,parent_id,child_id,inverse_step,shift_delta
8,k3m8_E000,k3m8_G000,k3m8_G001,D3_retarded_4m,-2
8,k3m8_E001,k3m8_G000,k3m8_G002,D3_kminus1_min,
8,k3m8_E002,k3m8_G002,k3m8_G003,D3_advanced_min_class_5,
8,k3m8_E003,k3m8_G002,k3m8_G004,D3_advanced_min_class_14,
8,k3m8_E004,k3m8_G002,k3m8_G005,D3_advanced_min_class_23,
8,k3m8_E005,k3m8_G003,k3m8_G006,D2_retarded_4m,-2
8,k3m8_E006,k3m8_G004,k3m8_G007,D2_retarded_4m,-2
8,k3m8_E007,k3m8_G005,k3m8_G008,D2_retarded_4m,-2
17,k3m17_E000,k3m17_G000,k3m17_G001,D3_retarded_4m,-2
17,k3m17_E001,k3m17_G000,k3m17_G002,D3_kminus1_min,
17,k3m17_E002,k3m17_G002,k3m17_G003,D3_advanced_min_class_2,
17,k3m17_E003,k3m17_G002,k3m17_G004,D3_advanced_min_class_11,
17,k3m17_E004,k3m17_G002,k3m17_G005,D3_advanced_min_class_20,
17,k3m17_E005,k3m17_G003,k3m17_G006,D1_retarded_4m,-2
17,k3m17_E006,k3m17_G003,k3m17_G007,D1_kminus1_min,
17,k3m17_E007,k3m17_G007,k3m17_G008,D1_advanced_min_class_2,
17,k3m17_E008,k3m17_G007,k3m17_G009,D1_advanced_min_class_11,
17,k3m17_E009,k3m17_G007,k3m17_G010,D1_advanced_min_class_20,
17,k3m17_E010,k3m17_G004,k3m17_G011,D1_retarded_4m,-2
17,k3m17_E011,k3m17_G004,k3m17_G012,D1_kminus1_min,
17,k3m17_E012,k3m17_G012,k3m17_G013,D1_advanced_min_class_5,
17,k3m17_E013,k3m17_G012,k3m17_G014,D1_advanced_min_class_14,
17,k3m17_E014,k3m17_G012,k3m17_G015,D1_advanced_min_class_23,
17,k3m17_E015,k3m17_G005,k3m17_G016,D1_retarded_4m,-2
17,k3m17_E016,k3m17_G005,k3m17_G017,D1_kminus1_min,
17,k3m17_E017,k3m17_G017,k3m17_G018,D1_advanced_min_class_8,
17,k3m17_E018,k3m17_G017,k3m17_G019,D1_advanced_min_class_17,
17,k3m17_E019,k3m17_G017,k3m17_G020,D1_advanced_min_class_26,
17,k3m17_E020,k3m17_G008,k3m17_G021,D1_retarded_4m,-2
17,k3m17_E021,k3m17_G008,k3m17_G022,D1_kminus1_min,
17,k3m17_E022,k3m17_G022,k3m17_G023,D1_advanced_min_class_2,
17,k3m17_E023,k3m17_G022,k3m17_G024,D1_advanced_min_class_11,
17,k3m17_E024,k3m17_G022,k3m17_G025,D1_advanced_min_class_20,
17,k3m17_E025,k3m17_G009,k3m17_G026,D1_retarded_4m,-2
17,k3m17_E026,k3m17_G009,k3m17_G027,D1_kminus1_min,
17,k3m17_E027,k3m17_G027,k3m17_G028,D1_advanced_min_class_5,
17,k3m17_E028,k3m17_G027,k3m17_G029,D1_advanced_min_class_14,
17,k3m17_E029,k3m17_G027,k3m17_G030,D1_advanced_min_class_23,
17,k3m17_E030,k3m17_G010,k3m17_G031,D1_retarded_4m,-2
17,k3m17_E031,k3m17_G010,k3m17_G032,D1_kminus1_min,
17,k3m17_E032,k3m17_G032,k3m17_G033,D1_advanced_min_class_8,
17,k3m17_E033,k3m17_G032,k3m17_G034,D1_advanced_min_class_17,
17,k3m17_E034,k3m17_G032,k3m17_G035,D1_advanced_min_class_26,
17,k3m17_E035,k3m17_G013,k3m17_G036,D2_retarded_4m,-2
17,k3m17_E036,k3m17_G014,k3m17_G037,D2_retarded_4m,-2
17,k3m17_E037,k3m17_G015,k3m17_G038,D2_retarded_4m,-2
17,k3m17_E038,k3m17_G018,k3m17_G039,D3_retarded_4m,-2
17,k3m17_E039,k3m17_G018,k3m17_G040,D3_kminus1_min,
17,k3m17_E040,k3m17_G040,k3m17_G041,D3_advanced_min_class_5,
17,k3m17_E041,k3m17_G040,k3m17_G042,D3_advanced_min_class_14,
17,k3m17_E042,k3m17_G040,k3m17_G043,D3_advanced_min_class_23,
17,k3m17_E043,k3m17_G020,k3m17_G044,D3_retarded_4m,-2
17,k3m17_E044,k3m17_G020,k3m17_G045,D3_kminus1_min,
17,k3m17_E045,k3m17_G045,k3m17_G046,D3_advanced_min_class_8,
17,k3m17_E046,k3m17_G045,k3m17_G047,D3_advanced_min_class_17,
17,k3m17_E047,k3m17_G045,k3m17_G048,D3_advanced_min_class_26,
17,k3m17_E048,k3m17_G041,k3m17_G049,D2_retarded_4m,-2
17,k3m17_E049,k3m17_G042,k3m17_G050,D2_retarded_4m,-2
17,k3m17_E050,k3m17_G043,k3m17_G051,D2_retarded_4m,-2
17,k3m17_E051,k3m17_G046,k3m17_G052,D3_retarded_4m,-2
17,k3m17_E052,k3m17_G046,k3m17_G053,D3_kminus1_min,
17,k3m17_E053,k3m17_G053,k3m17_G054,D3_advanced_min_class_5,
17,k3m17_E054,k3m17_G053,k3m17_G055,D3_advanced_min_class_14,
17,k3m17_E055,k3m17_G053,k3m17_G056,D3_advanced_min_class_23,
17,k3m17_E056,k3m17_G054,k3m17_G057,D2_retarded_4m,-2
17,k3m17_E057,k3m17_G055,k3m17_G058,D2_retarded_4m,-2
17,k3m17_E058,k3m17_G056,k3m17_G059,D2_retarded_4m,-2
26,k3m26_E000,k3m26_G000,k3m26_G001,D3_retarded_4m,-2
26,k3m26_E001,k3m26_G000,k3m26_G002,D3_kminus1_min,
26,k3m26_E002,k3m26_G002,k3m26_G003,D3_advanced_min_class_8,
26,k3m26_E003,k3m26_G002,k3m26_G004,D3_advanced_min_class_17,
26,k3m26_E004,k3m26_G002,k3m26_G005,D3_advanced_min_class_26,
26,k3m26_E005,k3m26_G003,k3m26_G006,D3_retarded_4m,-2
26,k3m26_E006,k3m26_G003,k3m26_G007,D3_kminus1_min,
26,k3m26_E007,k3m26_G007,k3m26_G008,D3_advanced_min_class_5,
26,k3m26_E008,k3m26_G007,k3m26_G009,D3_advanced_min_class_14,
26,k3m26_E009,k3m26_G007,k3m26_G010,D3_advanced_min_class_23,
26,k3m26_E010,k3m26_G004,k3m26_G011,D3_retarded_4m,-2
26,k3m26_E011,k3m26_G004,k3m26_G012,D3_kminus1_min,
26,k3m26_E012,k3m26_G012,k3m26_G013,D3_advanced_min_class_2,
26,k3m26_E013,k3m26_G012,k3m26_G014,D3_advanced_min_class_11,
26,k3m26_E014,k3m26_G012,k3m26_G015,D3_advanced_min_class_20,
26,k3m26_E015,k3m26_G008,k3m26_G016,D2_retarded_4m,-2
26,k3m26_E016,k3m26_G009,k3m26_G017,D2_retarded_4m,-2
26,k3m26_E017,k3m26_G010,k3m26_G018,D2_retarded_4m,-2
26,k3m26_E018,k3m26_G013,k3m26_G019,D1_retarded_4m,-2
26,k3m26_E019,k3m26_G013,k3m26_G020,D1_kminus1_min,
26,k3m26_E020,k3m26_G020,k3m26_G021,D1_advanced_min_class_2,
26,k3m26_E021,k3m26_G020,k3m26_G022,D1_advanced_min_class_11,
26,k3m26_E022,k3m26_G020,k3m26_G023,D1_advanced_min_class_20,
26,k3m26_E023,k3m26_G014,k3m26_G024,D1_retarded_4m,-2
26,k3m26_E024,k3m26_G014,k3m26_G025,D1_kminus1_min,
26,k3m26_E025,k3m26_G025,k3m26_G026,D1_advanced_min_class_5,
26,k3m26_E026,k3m26_G025,k3m26_G027,D1_advanced_min_class_14,
26,k3m26_E027,k3m26_G025,k3m26_G028,D1_advanced_min_class_23,
26,k3m26_E028,k3m26_G015,k3m26_G029,D1_retarded_4m,-2
26,k3m26_E029,k3m26_G015,k3m26_G030,D1_kminus1_min,
26,k3m26_E030,k3m26_G030,k3m26_G031,D1_advanced_min_class_8,
26,k3m26_E031,k3m26_G030,k3m26_G032,D1_advanced_min_class_17,
26,k3m26_E032,k3m26_G030,k3m26_G033,D1_advanced_min_class_26,
26,k3m26_E033,k3m26_G021,k3m26_G034,D1_retarded_4m,-2
26,k3m26_E034,k3m26_G021,k3m26_G035,D1_kminus1_min,
26,k3m26_E035,k3m26_G035,k3m26_G036,D1_advanced_min_class_2,
26,k3m26_E036,k3m26_G035,k3m26_G037,D1_advanced_min_class_11,
26,k3m26_E037,k3m26_G035,k3m26_G038,D1_advanced_min_class_20,
26,k3m26_E038,k3m26_G022,k3m26_G039,D1_retarded_4m,-2
26,k3m26_E039,k3m26_G022,k3m26_G040,D1_kminus1_min,
26,k3m26_E040,k3m26_G040,k3m26_G041,D1_advanced_min_class_5,
26,k3m26_E041,k3m26_G040,k3m26_G042,D1_advanced_min_class_14,
26,k3m26_E042,k3m26_G040,k3m26_G043,D1_advanced_min_class_23,
26,k3m26_E043,k3m26_G023,k3m26_G044,D1_retarded_4m,-2
26,k3m26_E044,k3m26_G023,k3m26_G045,D1_kminus1_min,
26,k3m26_E045,k3m26_G045,k3m26_G046,D1_advanced_min_class_8,
26,k3m26_E046,k3m26_G045,k3m26_G047,D1_advanced_min_class_17,
26,k3m26_E047,k3m26_G045,k3m26_G048,D1_advanced_min_class_26,
26,k3m26_E048,k3m26_G026,k3m26_G049,D2_retarded_4m,-2
26,k3m26_E049,k3m26_G027,k3m26_G050,D2_retarded_4m,-2
26,k3m26_E050,k3m26_G028,k3m26_G051,D2_retarded_4m,-2
26,k3m26_E051,k3m26_G031,k3m26_G052,D3_retarded_4m,-2
26,k3m26_E052,k3m26_G031,k3m26_G053,D3_kminus1_min,
26,k3m26_E053,k3m26_G053,k3m26_G054,D3_advanced_min_class_5,
26,k3m26_E054,k3m26_G053,k3m26_G055,D3_advanced_min_class_14,
26,k3m26_E055,k3m26_G053,k3m26_G056,D3_advanced_min_class_23,
26,k3m26_E056,k3m26_G036,k3m26_G057,D1_retarded_4m,-2
26,k3m26_E057,k3m26_G036,k3m26_G058,D1_kminus1_min,
26,k3m26_E058,k3m26_G058,k3m26_G059,D1_advanced_min_class_2,
26,k3m26_E059,k3m26_G058,k3m26_G060,D1_advanced_min_class_11,
26,k3m26_E060,k3m26_G058,k3m26_G061,D1_advanced_min_class_20,
26,k3m26_E061,k3m26_G037,k3m26_G062,D1_retarded_4m,-2
26,k3m26_E062,k3m26_G037,k3m26_G063,D1_kminus1_min,
26,k3m26_E063,k3m26_G063,k3m26_G064,D1_advanced_min_class_5,
26,k3m26_E064,k3m26_G063,k3m26_G065,D1_advanced_min_class_14,
26,k3m26_E065,k3m26_G063,k3m26_G066,D1_advanced_min_class_23,
26,k3m26_E066,k3m26_G038,k3m26_G067,D1_retarded_4m,-2
26,k3m26_E067,k3m26_G038,k3m26_G068,D1_kminus1_min,
