root_mode,node_id,parent_id,kind,mode,shift,graph_depth,expansion_depth,status,inverse_word,deletion_reason
8,k3m8_G000,,p,8,0,0,0,expanded,[],
8,k3m8_G001,k3m8_G000,p,5,-2,1,1,terminal,"[""D3:retarded""]",
8,k3m8_G002,k3m8_G000,m,,,1,1,expanded,"[""D3:min""]",
8,k3m8_G003,k3m8_G002,p,5,alpha-1,2,1,expanded,"[""D3:min"", ""class:5""]",
8,k3m8_G004,k3m8_G002,p,14,alpha-1,2,1,expanded,"[""D3:min"", ""class:14""]",
8,k3m8_G005,k3m8_G002,p,23,alpha-1,2,1,expanded,"[""D3:min"", ""class:23""]",
8,k3m8_G006,k3m8_G003,p,20,alpha-3,3,2,terminal,"[""D3:min"", ""class:5"", ""D2:retarded""]",
8,k3m8_G007,k3m8_G004,p,2,alpha-3,3,2,terminal,"[""D3:min"", ""class:14"", ""D2:retarded""]",
8,k3m8_G008,k3m8_G005,p,11,alpha-3,3,2,terminal,"[""D3:min"", ""class:23"", ""D2:retarded""]",
17,k3m17_G000,,p,17,0,0,0,expanded,[],
17,k3m17_G001,k3m17_G000,p,14,-2,1,1,terminal,"[""D3:retarded""]",
17,k3m17_G002,k3m17_G000,m,,,1,1,expanded,"[""D3:min""]",
17,k3m17_G003,k3m17_G002,p,2,alpha-1,2,1,expanded,"[""D3:min"", ""class:2""]",
17,k3m17_G004,k3m17_G002,p,11,alpha-1,2,1,expanded,"[""D3:min"", ""class:11""]",
17,k3m17_G005,k3m17_G002,p,20,alpha-1,2,1,expanded,"[""D3:min"", ""class:20""]",
17,k3m17_G006,k3m17_G003,p,8,alpha-3,3,2,terminal,"[""D3:min"", ""class:2"", ""D1:retarded""]",
17,k3m17_G007,k3m17_G003,m,,,3,2,expanded,"[""D3:min"", ""class:2"", ""D1:min""]",
17,k3m17_G008,k3m17_G007,p,2,2*alpha-3,4,2,expanded,"[""D3:min"", ""class:2"", ""D1:min"", ""class:2""]",
17,k3m17_G009,k3m17_G007,p,11,2*alpha-3,4,2,expanded,"[""D3:min"", ""class:2"", ""D1:min"", ""class:11""]",
17,k3m17_G010,k3m17_G007,p,20,2*alpha-3,4,2,expanded,"[""D3:min"", ""class:2"", ""D1:min"", ""class:20""]",
17,k3m17_G011,k3m17_G004,p,17,alpha-3,3,2,terminal,"[""D3:min"", ""class:11"", ""D1:retarded""]",
17,k3m17_G012,k3m17_G004,m,,,3,2,expanded,"[""D3:min"", ""class:11"", ""D1:min""]",
17,k3m17_G013,k3m17_G012,p,5,2*alpha-3,4,2,expanded,"[""D3:min"", ""class:11"", ""D1:min"", ""class:5""]",
17,k3m17_G014,k3m17_G012,p,14,2*alpha-3,4,2,expanded,"[""D3:min"", ""class:11"", ""D1:min"", ""class:14""]",
17,k3m17_G015,k3m17_G012,p,23,2*alpha-3,4,2,expanded,"[""D3:min"", ""class:11"", ""D1:min"", ""class:23""]",
17,k3m17_G016,k3m17_G005,p,26,alpha-3,3,2,terminal,"[""D3:min"", ""class:20"", ""D1:retarded""]",
17,k3m17_G017,k3m17_G005,m,,,3,2,expanded,"[""D3:min"", ""class:20"", ""D1:min""]",
17,k3m17_G018,k3m17_G017,p,8,2*alpha-3,4,2,expanded,"[""D3:min"", ""class:20"", ""D1:min"", ""class:8""]",
17,k3m17_G019,k3m17_G017,p,17,2*alpha-3,4,2,deleted,"[""D3:min"", ""class:20"", ""D1:min"", ""class:17""]",same mode 17: ancestor k3m17_G000 at 0 < 2*alpha-3
17,k3m17_G020,k3m17_G017,p,26,2*alpha-3,4,2,expanded,"[""D3:min"", ""class:20"", ""D1:min"", ""class:26""]",
17,k3m17_G021,k3m17_G008,p,8,2*alpha-5,5,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:2"", ""D1:retarded""]",
17,k3m17_G022,k3m17_G008,m,,,5,3,expanded,"[""D3:min"", ""class:2"", ""D1:min"", ""class:2"", ""D1:min""]",
17,k3m17_G023,k3m17_G022,p,2,3*alpha-5,6,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:2"", ""D1:min"", ""class:2""]",
17,k3m17_G024,k3m17_G022,p,11,3*alpha-5,6,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:2"", ""D1:min"", ""class:11""]",
17,k3m17_G025,k3m17_G022,p,20,3*alpha-5,6,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:2"", ""D1:min"", ""class:20""]",
17,k3m17_G026,k3m17_G009,p,17,2*alpha-5,5,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:11"", ""D1:retarded""]",
17,k3m17_G027,k3m17_G009,m,,,5,3,expanded,"[""D3:min"", ""class:2"", ""D1:min"", ""class:11"", ""D1:min""]",
17,k3m17_G028,k3m17_G027,p,5,3*alpha-5,6,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:11"", ""D1:min"", ""class:5""]",
17,k3m17_G029,k3m17_G027,p,14,3*alpha-5,6,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:11"", ""D1:min"", ""class:14""]",
17,k3m17_G030,k3m17_G027,p,23,3*alpha-5,6,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:11"", ""D1:min"", ""class:23""]",
17,k3m17_G031,k3m17_G010,p,26,2*alpha-5,5,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:20"", ""D1:retarded""]",
17,k3m17_G032,k3m17_G010,m,,,5,3,expanded,"[""D3:min"", ""class:2"", ""D1:min"", ""class:20"", ""D1:min""]",
17,k3m17_G033,k3m17_G032,p,8,3*alpha-5,6,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:20"", ""D1:min"", ""class:8""]",
17,k3m17_G034,k3m17_G032,p,17,3*alpha-5,6,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:20"", ""D1:min"", ""class:17""]",
17,k3m17_G035,k3m17_G032,p,26,3*alpha-5,6,3,terminal,"[""D3:min"", ""class:2"", ""D1:min"", ""class:20"", ""D1:min"", ""class:26""]",
17,k3m17_G036,k3m17_G013,p,20,2*alpha-5,5,3,terminal,"[""D3:min"", ""class:11"", ""D1:min"", ""class:5"", ""D2:retarded""]",
17,k3m17_G037,k3m17_G014,p,2,2*alpha-5,5,3,terminal,"[""D3:min"", ""class:11"", ""D1:min"", ""class:14"", ""D2:retarded""]",
17,k3m17_G038,k3m17_G015,p,11,2*alpha-5,5,3,terminal,"[""D3:min"", ""class:11"", ""D1:min"", ""class:23"", ""D2:retarded""]",
17,k3m17_G039,k3m17_G018,p,5,2*alpha-5,5,3,terminal,"[""D3:min"", ""class:20"", ""D1:min"", ""class:8"", ""D3:retarded""]",
17,k3m17_G040,k3m17_G018,m,,,5,3,expanded,"[""D3:min"", ""class:20"", ""D1:min"", ""class:8"", ""D3:min""]",
17,k3m17_G041,k3m17_G040,p,5,3*alpha-4,6,3,expanded,"[""D3:min"", ""class:20"", ""D1:min"", ""class:8"", ""D3:min"", ""class:5""]",
