mode,slack,strictly_positive
2,1067785136904128278700669/124118813025000000000000000000,true
5,642759893647/165491750700000000,true
8,5072938672679369151027699469/827458753500000000000000000000000,true
11,4196126622403829081293/775742581406250000000000000,true
14,11457449789/3971802016800000,true
17,5112100198512187594643451511/620594065125000000000000000000000,true
20,14974950536292096692497/1241188130250000000000000000,true
23,7783977971/3677594460000000,true
26,15215550978717142830392036941/1241188130250000000000000000000000,true
29,924282387669435282375151/124118813025000000000000000000,true
32,1410372307133/496475252100000000,true
35,17673572266925767232677768991/4964752521000000000000000000000000,true
38,464135543425441830140321/62059406512500000000000000000,true
41,1515588452051/496475252100000000,true
44,10002102471615263378577571061/992950504200000000000000000000000,true
47,620051814260694527731591/62059406512500000000000000000,true
50,118479191381/55163916900000000,true
53,166601550738088600103486663/30646620500000000000000000000000,true
56,222166024518913311993611/24823762605000000000000000000,true
59,12942670831/3102970325625000,true
62,31072157483387918875696603213/4964752521000000000000000000000000,true
65,155018011336842547479623/24823762605000000000000000000,true
68,1096969462367/496475252100000000,true
71,72623318911770065959612153259/4964752521000000000000000000000000,true
74,208403742086844319910629/20686468837500000000000000000,true
77,2051840723281/496475252100000000,true
80,13733966420567758112181219617/1654917507000000000000000000000000,true
83,194265986380039311344971/31029703256250000000000000000,true
86,9107181533/1985901008400000,true
89,219156582395182531772974277/31029703256250000000000000000000,true
92,814521270981433115482451/124118813025000000000000000000,true
95,850329653707/165491750700000000,true
98,45301681096779996888910371559/4964752521000000000000000000000000,true
101,386314685232538900555643/31029703256250000000000000000,true
104,14776550537/6129324100000000,true
107,6598700343081392760517037953/330983501400000000000000000000000,true
110,227143488653575356443641/41372937675000000000000000000,true
113,1384973473483/496475252100000000,true
116,3613211722654011152143783283/620594065125000000000000000000000,true
119,78416047956335706764923/12411881302500000000000000000,true
122,654647367911/165491750700000000,true
125,54980479183430773028385406151/4964752521000000000000000000000000,true
128,548281327898955497952559/62059406512500000000000000000,true
131,786683338291/248237626050000000,true
134,8595382828741357807930107517/827458753500000000000000000000000,true
137,695610803214292540393181/24823762605000000000000000000,true
140,629728487459/248237626050000000,true
143,14182681549477657471160432569/1654917507000000000000000000000000,true
146,28097971171225335738031/5171617209375000000000000000,true
149,9821182357/3878712907031250,true
152,89905387415819661732480844121/4964752521000000000000000000000000,true
155,163964105467027765233331/6895489612500000000000000000,true
158,229332160321/124118813025000000,true
161,176752137320687154524364259/6464521511718750000000000000000,true
164,117699253462489674755269/12411881302500000000000000000,true
167,530889484943/49647525210000000,true
170,23233194666215583102637610383/4964752521000000000000000000000000,true
173,4421149594206055698587/689548961250000000000000000,true
176,190004462167/62059406512500000,true
179,45176805851674622473978352593/4964752521000000000000000000000000,true
182,2054971807190898528498767/62059406512500000000000000000,true
185,926595814457/496475252100000000,true
188,38991673179561887643272434849/2482376260500000000000000000000000,true
191,717117847531363371562903/124118813025000000000000000000,true
194,112224924421/31029703256250000,true
197,14307362906792587343012773843/2482376260500000000000000000000000,true
