mode,row_kind,retarded_mode,auxiliary_mode,target,slack
2,D1,8,2,117415021/20000000,1067785136904128278700669/124118813025000000000000000000
5,D2,20,,265481979/100000000,642759893647/165491750700000000
8,D3,32,5,52351021/12500000,5072938672679369151027699469/827458753500000000000000000000000
11,D1,44,14,46155427/12500000,4196126622403829081293/775742581406250000000000000
14,D2,56,,1574891/800000,11457449789/3971802016800000
17,D3,68,11,140733937/25000000,5112100198512187594643451511/620594065125000000000000000000000
20,D1,80,26,205945977/25000000,14974950536292096692497/1241188130250000000000000000
23,D2,92,,28870823/20000000,7783977971/3677594460000000
26,D3,104,17,418449819/50000000,15215550978717142830392036941/1241188130250000000000000000000000
29,D1,116,38,508600149/100000000,924282387669435282375151/124118813025000000000000000000
32,D2,128,,194398827/100000000,1410372307133/496475252100000000
35,D3,140,23,242925107/100000000,17673572266925767232677768991/4964752521000000000000000000000000
38,D1,152,50,102216901/20000000,464135543425441830140321/62059406512500000000000000000
41,D2,164,,208744069/100000000,1515588452051/496475252100000000
44,D3,176,29,2150219/312500,10002102471615263378577571061/992950504200000000000000000000000
47,D1,188,62,682171003/100000000,620051814260694527731591/62059406512500000000000000000
50,D2,200,,147019051/100000000,118479191381/55163916900000000
53,D3,212,35,371249611/100000000,166601550738088600103486663/30646620500000000000000000000000
56,D1,224,74,6108559/1000000,222166024518913311993611/24823762605000000000000000000
59,D2,236,,1778889/625000,12942670831/3102970325625000
62,D3,248,41,427462501/100000000,31072157483387918875696603213/4964752521000000000000000000000000
65,D1,260,86,426272843/100000000,155018011336842547479623/24823762605000000000000000000
68,D2,272,,151171673/100000000,1096969462367/496475252100000000
71,D3,284,47,499557231/50000000,72623318911770065959612153259/4964752521000000000000000000000000
74,D1,296,98,86027361/12500000,208403742086844319910629/20686468837500000000000000000
77,D2,308,,282520439/100000000,2051840723281/496475252100000000
80,D3,320,53,283245137/50000000,13733966420567758112181219617/1654917507000000000000000000000000
83,D1,332,110,427801907/100000000,194265986380039311344971/31029703256250000000000000000
86,D2,344,,1252427/400000,9107181533/1985901008400000
89,D3,356,59,241356707/50000000,219156582395182531772974277/31029703256250000000000000000000
92,D1,368,122,55990899/12500000,814521270981433115482451/124118813025000000000000000000
95,D2,380,,350823399/100000000,850329653707/165491750700000000
98,D3,392,65,311638799/50000000,45301681096779996888910371559/4964752521000000000000000000000000
101,D1,404,134,849977197/100000000,386314685232538900555643/31029703256250000000000000000
104,D2,416,,164276143/100000000,14776550537/6129324100000000
107,D3,428,71,1361126753/100000000,6598700343081392760517037953/330983501400000000000000000000000
110,D1,440,146,46912107/12500000,227143488653575356443641/41372937675000000000000000000
113,D2,452,,190694477/100000000,1384973473483/496475252100000000
116,D3,464,77,49689737/12500000,3613211722654011152143783283/620594065125000000000000000000000
119,D1,476,158,431742821/100000000,78416047956335706764923/12411881302500000000000000000
122,D2,488,,270194227/100000000,654647367911/165491750700000000
