edge_id,pstex_line,src,dst,raw_start_x,raw_start_y,raw_end_x,raw_end_y,src_snap_distance,dst_snap_distance
E00,143,N14,N02,13425,6375,12075,7425,106.066,106.066
E01,153,N15,N10,13425,8775,12075,9825,106.066,106.066
E02,162,N02,N15,12000,7500,13425,8625,0.0,106.066
E03,171,N02,N06,12000,7500,10575,8625,0.0,106.066
E04,180,N03,N14,12000,5100,13425,6225,0.0,106.066
E05,189,N15,N08,13575,8775,14925,9825,106.066,106.066
E06,198,N09,N01,12000,2700,10575,3825,0.0,106.066
E07,207,N09,N13,12000,2700,13425,3825,0.0,106.066
E08,216,N13,N03,13425,3975,12075,5025,106.066,106.066
E09,225,N03,N00,12000,5100,10575,6225,0.0,106.066
E10,234,N14,N05,13575,6375,14925,7425,106.066,106.066
E11,282,N13,N12,13500,3975,13500,5025,75.0,75.0
E12,291,N14,N11,13500,6375,13500,7425,75.0,75.0
E13,300,N15,N07,13500,8775,13500,9825,75.0,75.0
E14,309,N13,N04,13575,3975,14925,5025,106.066,106.066
