label_id,node_id,overlay_x,overlay_y,mapped_pstex_y,label
LABEL00,N09,12226,-1936,2700,"\phi_2^8 (y) \equiv (8,0)"
LABEL01,N04,15226,-4336,5100,"(8,\alpha -1)"
LABEL02,N08,15226,-9136,9900,"(8, 3\alpha -5)"
LABEL03,N05,15226,-6736,7500,"(8, 2\alpha -3)"
LABEL04,N07,13651,-9136,9900,"(5, 3\alpha -5)"
LABEL05,N06,10351,-7936,8700,"(8, 2\alpha -5)"
LABEL06,N10,11851,-9136,9900,"(2,3\alpha -5)"
LABEL07,N02,11851,-6736,7500,"(2, 2\alpha -3)"
LABEL08,N11,13651,-6736,7500,"(5, 2\alpha -3)"
LABEL09,N12,13651,-4336,5100,"(5, \alpha-1)"
LABEL10,N01,10351,-3136,3900,"(5,-2)"
LABEL11,N03,11851,-4336,5100,"(2, \alpha -1 )"
LABEL12,N00,10351,-5536,6300,"(8, \alpha -3)"
