target,status,elapsed_seconds,exit_code,preexisting,output_tail
CollatzClassical.KL2003.KL2003K11CertificateMatchShard00,PASS,152.660892,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard00
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard01,PASS,162.738318,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard01
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard02,PASS,172.191678,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard02
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard03,PASS,178.066802,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard03
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard04,PASS,207.519355,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard04
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard05,PASS,206.347838,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard05
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard06,PASS,216.744686,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard06
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard07,PASS,1.886235,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard08,PASS,2.236668,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard09,PASS,2.366785,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard10,PASS,2.457718,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard11,PASS,2.366826,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard12,PASS,2.326157,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard13,PASS,2.319048,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard14,PASS,2.461235,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard15,PASS,2.391687,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard16,PASS,2.274868,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard17,PASS,2.457776,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard18,PASS,2.427708,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard19,PASS,2.420409,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard20,PASS,2.426898,0,False,"Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard21,PASS,290.723105,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard21
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard22,PASS,262.551876,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard22
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard23,PASS,260.55202,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard23
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard24,PASS,269.666084,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard24
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard25,PASS,301.01435,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard25
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard26,PASS,285.55996,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard26
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard27,PASS,286.092077,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard27
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard28,PASS,302.19135,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard28
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard29,PASS,310.06166,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard29
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard30,PASS,305.448882,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard30
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard31,PASS,304.36307,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard31
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard32,PASS,317.133633,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard32
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard33,PASS,322.929296,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard33
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard34,PASS,316.140046,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard34
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard35,PASS,318.134815,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard35
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard36,PASS,326.009261,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard36
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard37,PASS,330.02218,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard37
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard38,PASS,327.244747,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard38
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard39,PASS,322.260766,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard39
Build completed successfully.
"
